10月21日21時0分	赤 予選
10月21日21時0分	赤 予選
バスタオル1補正Y lidar(1772,2906),-24	G(1862,5248),N(1890,5272)	RS(0,0)
バスタオル1補正X 台座 lidar(1772,2906),-28	G(1860,5248),N(1888,5270)	RS(0,0)	10
バスタオル1補正Y lidar(1772,2906),-24	G(1860,5246),N(1888,5270)	RS(0,0)
バスタオル1補正X 台座 lidar(1772,2906),-28	G(1857,5246),N(1885,5267)	RS(0,0)	10
バスタオル1補正Y lidar(1772,2906),-24	G(1857,5243),N(1885,5267)	RS(0,0)
バスタオル1補正X 台座 lidar(1775,2910),-25	G(1856,5243),N(1881,5264)	RS(0,0)	10
バスタオル1補正Y lidar(1775,2910),-20	G(1856,5244),N(1881,5264)	RS(0,0)
バスタオル1補正X 台座 lidar(1775,2910),-25	G(1854,5244),N(1879,5262)	RS(0,0)	10
バスタオル1補正Y lidar(1775,2910),-20	G(1854,5242),N(1879,5262)	RS(0,0)
バスタオル1補正X 台座 lidar(1776,2919),-24	G(1850,5242),N(1874,5257)	RS(0,0)	10
バスタオル1補正Y lidar(1776,2919),-11	G(1850,5246),N(1874,5257)	RS(0,0)
バスタオル1補正X 台座 lidar(1776,2919),-24	G(1845,5246),N(1869,5251)	RS(0,0)	10
バスタオル1補正Y lidar(1776,2919),-11	G(1845,5240),N(1869,5251)	RS(0,0)
バスタオル1補正X 台座 lidar(1776,2919),-24	G(1839,5240),N(1863,5245)	RS(0,0)	10
バスタオル1補正Y lidar(1776,2919),-11	G(1839,5234),N(1863,5245)	RS(0,0)
バスタオル1補正X 台座 lidar(1789,2917),-11	G(1847,5234),N(1858,5237)	RS(0,0)	10
バスタオル1補正Y lidar(1789,2917),-13	G(1847,5224),N(1858,5237)	RS(0,0)
バスタオル1補正X 台座 lidar(1789,2917),-11	G(1842,5224),N(1853,5229)	RS(0,0)	10
バスタオル1補正Y lidar(1789,2917),-13	G(1842,5216),N(1853,5229)	RS(0,0)
バスタオル1補正X 台座 lidar(1799,2929),-1	G(1847,5216),N(1848,5222)	RS(0,0)	10
バスタオル1補正Y lidar(1799,2929),-1	G(1847,5221),N(1848,5222)	RS(0,0)
バスタオル1補正X 台座 lidar(1799,2929),-1	G(1844,5221),N(1845,5219)	RS(0,0)	10
バスタオル1補正Y lidar(1799,2929),-1	G(1844,5218),N(1845,5219)	RS(0,0)
バスタオル1補正X 台座 lidar(1799,2929),-1	G(1841,5218),N(1842,5213)	RS(0,0)	11
バスタオル1補正Y lidar(1799,2929),-1	G(1841,5212),N(1842,5213)	RS(0,0)
バスタオル1補正X 台座 lidar(1804,2938),4	G(1843,5212),N(1839,5207)	RS(0,0)	11
バスタオル1補正Y lidar(1804,2938),8	G(1843,5215),N(1839,5207)	RS(0,0)
バスタオル1補正X 台座 lidar(1804,2938),4	G(1840,5215),N(1836,5202)	RS(0,0)	11
バスタオル1補正Y lidar(1804,2938),8	G(1840,5210),N(1836,5202)	RS(0,0)
バスタオル1補正X 台座 lidar(1837,2958),37	G(1870,5210),N(1833,5198)	RS(0,0)	11
バスタオル1補正Y lidar(1837,2958),28	G(1870,5226),N(1833,5198)	RS(0,0)
バスタオル1補正X 台座 lidar(1837,2958),37	G(1867,5226),N(1830,5195)	RS(0,0)	11
バスタオル1補正Y lidar(1837,2958),28	G(1867,5223),N(1830,5195)	RS(0,0)
バスタオル1補正X 台座 lidar(1837,2958),37	G(1867,5223),N(1830,5194)	RS(0,0)	11
バスタオル1補正Y lidar(1837,2958),28	G(1867,5222),N(1830,5194)	RS(0,0)
バスタオル1補正X 無し lidar(1854,2963),54	G(1867,5222),N(1828,5193)	RS(0,0)	11
バスタオル1補正Y lidar(1854,2963),33	G(1867,5226),N(1828,5193)	RS(0,0)
バスタオル1補正X 無し lidar(1854,2963),54	G(1867,5226),N(1828,5193)	RS(0,0)	11
バスタオル1補正Y lidar(1854,2963),33	G(1867,5226),N(1828,5193)	RS(0,0)
バスタオル1補正X 台座 lidar(1838,2974),38	G(1866,5226),N(1828,5192)	RS(0,0)	11
バスタオル1補正Y lidar(1838,2974),44	G(1866,5236),N(1828,5192)	RS(0,0)
バスタオル1補正X 台座 lidar(1838,2974),38	G(1866,5236),N(1828,5192)	RS(0,0)	11
バスタオル1補正Y lidar(1838,2974),44	G(1866,5236),N(1828,5192)	RS(0,0)
バスタオル1補正X 台座 lidar(1838,2974),38	G(1866,5236),N(1828,5189)	RS(0,0)	11
バスタオル1補正Y lidar(1838,2974),44	G(1866,5233),N(1828,5189)	RS(0,0)
バスタオル1補正X 無し lidar(1853,2971),53	G(1866,5233),N(1828,5190)	RS(0,0)	11
バスタオル1補正Y lidar(1853,2971),41	G(1866,5231),N(1828,5190)	RS(0,0)
バスタオル1補正X 無し lidar(1853,2971),53	G(1866,5231),N(1828,5189)	RS(0,0)	11
バスタオル1補正Y lidar(1853,2971),41	G(1866,5230),N(1828,5189)	RS(0,0)
バスタオル1補正X 無し lidar(1911,2978),111	G(1866,5230),N(1829,5190)	RS(0,0)	11
バスタオル1補正Y lidar(1911,2978),48	G(1866,5238),N(1829,5190)	RS(0,0)
バスタオル1補正X 無し lidar(1911,2978),111	G(1866,5238),N(1829,5189)	RS(0,0)	11
バスタオル1補正Y lidar(1911,2978),48	G(1866,5237),N(1829,5189)	RS(0,0)
バスタオル1補正X 無し lidar(1911,2978),111	G(1866,5237),N(1829,5190)	RS(0,0)	11
バスタオル1補正Y lidar(1911,2978),48	G(1866,5238),N(1829,5190)	RS(0,0)
バスタオル1補正X 無し lidar(2170,2968),370	G(1866,5238),N(1830,5189)	RS(0,0)	11
バスタオル1補正Y lidar(2170,2968),38	G(1866,5227),N(1830,5189)	RS(0,0)
バスタオル1補正X 無し lidar(2170,2968),370	G(1866,5227),N(1830,5190)	RS(0,0)	11
バスタオル1補正Y lidar(2170,2968),38	G(1866,5228),N(1830,5190)	RS(0,0)
バスタオル1補正X 無し lidar(2541,2966),741	G(1866,5228),N(1831,5188)	RS(0,0)	11
バスタオル1補正Y lidar(2541,2966),36	G(1866,5224),N(1831,5188)	RS(0,0)
バスタオル1補正X 無し lidar(2541,2966),741	G(1866,5224),N(1831,5189)	RS(0,0)	11
バスタオル1補正Y lidar(2541,2966),36	G(1866,5225),N(1831,5189)	RS(0,0)
バスタオル1補正X 無し lidar(2541,2966),741	G(1866,5225),N(1831,5190)	RS(0,0)	11
バスタオル1補正Y lidar(2541,2966),36	G(1866,5226),N(1831,5190)	RS(0,0)
バスタオル1補正X 無し lidar(2633,2978),833	G(1866,5226),N(1832,5190)	RS(0,0)	11
バスタオル1補正Y lidar(2633,2978),48	G(1866,5238),N(1832,5190)	RS(0,0)
バスタオル1補正X 無し lidar(2633,2978),833	G(1866,5238),N(1833,5190)	RS(0,0)	11
