10月28日18時59分	青 予選
シーツ補正前 lidar(1599,2471) RS_Y:3042,X:-1348	now(-1646.650513,5719.526855,0.121143)	7
シーツ補正X 無視lidar(1679,2487),-2081	G(-3690,6440),N(-1710,5718)	RS(-1224,3090)
シーツ補正X 無視lidar(1742,2494),-2018	G(-3690,6440),N(-1727,5719)	RS(-1224,3090)
シーツ補正X 無視lidar(1742,2494),-2018	G(-3690,6440),N(-1750,5722)	RS(-1176,3120)
シーツ補正X 無視lidar(1742,2494),-2018	G(-3690,6440),N(-1755,5724)	RS(-1126,3108)
シーツ補正X 無視lidar(1786,2497),-1974	G(-3690,6440),N(-1755,5726)	RS(-1126,3108)
シーツ補正X 無視lidar(1786,2497),-1974	G(-3690,6440),N(-1754,5727)	RS(-1082,3114)
シーツ補正X 無視lidar(1795,2499),-1965	G(-3690,6440),N(-1751,5732)	RS(-1082,3114)
シーツ補正X 無視lidar(1795,2499),-1965	G(-3690,6440),N(-1750,5734)	RS(-1054,3121)
シーツ補正X 無視lidar(1787,2497),-1973	G(-3690,6440),N(-1747,5735)	RS(-1041,3135)
シーツ補正X 無視lidar(1787,2497),-1973	G(-3690,6440),N(-1743,5737)	RS(-1031,3128)
シーツ補正X 無視lidar(1773,2480),-1987	G(-3690,6440),N(-1736,5745)	RS(-1031,3128)
シーツ補正X 無視lidar(1773,2480),-1987	G(-3690,6440),N(-1731,5750)	RS(-1030,3126)
シーツ補正X 無視lidar(1773,2480),-1987	G(-3690,6440),N(-1728,5756)	RS(-1030,3126)
シーツ補正X 無視lidar(1755,2480),-2005	G(-3690,6440),N(-1724,5762)	RS(-1036,3117)
シーツ補正X 無視lidar(1755,2480),-2005	G(-3690,6440),N(-1719,5775)	RS(-1050,3122)
シーツ補正X 無視lidar(1737,2464),-2023	G(-3690,6440),N(-1718,5783)	RS(-1050,3122)
シーツ補正X 無視lidar(1737,2464),-2023	G(-3690,6440),N(-1718,5790)	RS(-1063,3116)
シーツ補正X 無視lidar(1735,2444),-2025	G(-3690,6440),N(-1720,5807)	RS(-1065,3093)
シーツ補正X 無視lidar(1735,2444),-2025	G(-3690,6440),N(-1723,5816)	RS(-1065,3093)
シーツ補正X 無視lidar(1745,2419),-2015	G(-3690,6440),N(-1729,5825)	RS(-1064,3067)
シーツ補正X 無視lidar(1745,2419),-2015	G(-3690,6440),N(-1735,5834)	RS(-1064,3067)
シーツ補正X 無視lidar(1745,2419),-2015	G(-3690,6440),N(-1753,5855)	RS(-1060,3043)
シーツ補正X 無視lidar(1759,2398),-2001	G(-3690,6440),N(-1765,5867)	RS(-1052,3024)
シーツ補正X 無視lidar(1759,2398),-2001	G(-3690,6440),N(-1777,5879)	RS(-1052,3024)
シーツ補正X 無視lidar(1788,2367),-1972	G(-3690,6440),N(-1790,5891)	RS(-1040,3005)
シーツ補正X 無視lidar(1788,2367),-1972	G(-3690,6440),N(-1821,5921)	RS(-1033,3005)
シーツ補正X 無視lidar(1826,2317),-1934	G(-3690,6440),N(-1837,5936)	RS(-1033,3005)
シーツ補正X 無視lidar(1826,2317),-1934	G(-3690,6440),N(-1854,5954)	RS(-1018,2994)
シーツ補正X 無視lidar(1871,2248),-1889	G(-3690,6440),N(-1872,5973)	RS(-1018,2994)
シーツ補正X 無視lidar(1871,2248),-1889	G(-3690,6440),N(-1909,6013)	RS(-1007,2995)
シーツ補正X 無視lidar(1871,2248),-1889	G(-3690,6440),N(-1927,6033)	RS(-961,2903)
シーツ補正X 無視lidar(1919,2204),-1841	G(-3690,6440),N(-1947,6054)	RS(-961,2903)
シーツ補正X 無視lidar(1919,2204),-1841	G(-3690,6440),N(-1968,6077)	RS(-940,2896)
シーツ補正X 無視lidar(1979,2143),-1781	G(-3690,6440),N(-2013,6124)	RS(-902,2847)
シーツ補正X 無視lidar(1979,2143),-1781	G(-3690,6440),N(-2036,6149)	RS(-902,2847)
シーツ補正X 無視lidar(2046,2143),-1714	G(-3690,6440),N(-2060,6175)	RS(-879,2828)
シーツ補正X 無視lidar(2046,2143),-1714	G(-3690,6440),N(-2084,6201)	RS(-837,2786)
シーツ補正X 無視lidar(2131,2072),-1629	G(-3690,6440),N(-2134,6254)	RS(-837,2786)
シーツ補正X 無視lidar(2131,2072),-1629	G(-3690,6440),N(-2158,6280)	RS(-795,2753)
シーツ補正X 無視lidar(2131,2072),-1629	G(-3690,6440),N(-2182,6306)	RS(-751,2721)
シーツ補正X 無視lidar(2198,1993),-1562	G(-3690,6440),N(-2231,6353)	RS(-751,2721)
シーツ補正X 無視lidar(2198,1993),-1562	G(-3690,6440),N(-2257,6374)	RS(-707,2682)
シーツ補正X 無視lidar(2263,1903),-1497	G(-3690,6440),N(-2283,6395)	RS(-707,2682)
シーツ補正X 無視lidar(2263,1903),-1497	G(-3690,6440),N(-2310,6413)	RS(-657,2641)
シーツ補正X 無視lidar(2350,1840),-1410	G(-3690,6440),N(-2364,6445)	RS(-604,2601)
シーツ補正X 無視lidar(2350,1840),-1410	G(-3690,6440),N(-2392,6457)	RS(-604,2601)
シーツ補正X 無視lidar(2438,1785),-1322	G(-3690,6440),N(-2419,6465)	RS(-560,2548)
シーツ補正X 無視lidar(2438,1785),-1322	G(-3690,6440),N(-2447,6472)	RS(-504,2499)
シーツ補正X 無視lidar(2438,1785),-1322	G(-3690,6440),N(-2505,6479)	RS(-504,2499)
シーツ補正X 無視lidar(2511,1759),-1249	G(-3690,6440),N(-2534,6480)	RS(-446,2460)
シーツ補正X 無視lidar(2511,1759),-1249	G(-3690,6440),N(-2564,6479)	RS(-384,2402)
シーツ補正X 無視lidar(2605,1763),-1155	G(-3690,6440),N(-2594,6477)	RS(-384,2402)
シーツ補正X 無視lidar(2605,1763),-1155	G(-3690,6440),N(-2657,6471)	RS(-330,2385)
シーツ補正X 無視lidar(2681,1769),-1079	G(-3690,6440),N(-2689,6465)	RS(-269,2377)
シーツ補正X 無視lidar(2681,1769),-1079	G(-3690,6440),N(-2721,6458)	RS(-269,2377)
シーツ補正X 無視lidar(2769,1779),-991	G(-3690,6440),N(-2786,6446)	RS(-206,2369)
シーツ補正X 無視lidar(2769,1779),-991	G(-3690,6440),N(-2820,6439)	RS(-206,2369)
シーツ補正X 無視lidar(2769,1779),-991	G(-3690,6440),N(-2854,6433)	RS(-159,2372)
シーツ補正X 無視lidar(2856,1779),-904	G(-3690,6440),N(-2888,6428)	RS(-95,2373)
シーツ補正X 無視lidar(2856,1779),-904	G(-3690,6440),N(-2959,6421)	RS(-95,2373)
シーツ補正X 無視lidar(2950,1803),-810	G(-3690,6440),N(-2995,6419)	RS(-32,2396)
シーツ補正X 無視lidar(2950,1803),-810	G(-3690,6440),N(-3032,6418)	RS(33,2415)
シーツ補正X 無視lidar(3050,1822),-710	G(-3690,6440),N(-3069,6418)	RS(33,2415)
シーツ補正X 無視lidar(3050,1822),-710	G(-3690,6440),N(-3143,6419)	RS(94,2407)
シーツ補正X 無視lidar(3155,1838),-605	G(-3690,6440),N(-3180,6422)	RS(172,2445)
シーツ補正X 無視lidar(3155,1838),-605	G(-3690,6440),N(-3216,6425)	RS(172,2445)
シーツ補正X 無視lidar(3155,1838),-605	G(-3690,6440),N(-3251,6429)	RS(247,2457)
シーツ補正X 無視lidar(3252,1842),-508	G(-3690,6440),N(-3325,6439)	RS(247,2457)
シーツ補正X 無視lidar(3252,1842),-508	G(-3690,6440),N(-3363,6445)	RS(324,2462)
シーツ補正X 無視lidar(3374,1837),-386	G(-3690,6440),N(-3401,6451)	RS(406,2480)
シーツ補正X 無視lidar(3374,1837),-386	G(-3690,6440),N(-3437,6456)	RS(406,2480)
シーツ補正X lidar(3478,1826),-282	G(-3786,6440),N(-3504,6464)	RS(491,2492)
シーツ補正X lidar(3478,1826),-282	G(-3815,6440),N(-3533,6468)	RS(548,2477)
シーツ補正X lidar(3615,1818),-145	G(-3704,6440),N(-3559,6471)	RS(548,2477)
シーツ補正X lidar(3615,1818),-145	G(-3743,6440),N(-3598,6474)	RS(621,2465)
シーツ補正X lidar(3615,1818),-145	G(-3757,6440),N(-3612,6473)	RS(621,2465)
シーツ補正X 無視lidar(3736,1806),-24	G(-3690,6440),N(-3625,6472)	RS(680,2440)
シーツ補正X 無視lidar(3736,1806),-24	G(-3690,6440),N(-3636,6468)	RS(732,2436)
シーツ補正X 無視lidar(3853,1805),93	G(-3690,6440),N(-3653,6459)	RS(732,2436)
シーツ補正X 無視lidar(3853,1805),93	G(-3690,6440),N(-3661,6454)	RS(764,2430)
展開２ lidar(3942,1820) now(-3668.512451,6449.245605,-0.989702)	RS(802,2431)	7
シーツ補正X lidar(3942,1820),182	G(-3486,6440),N(-3668,6449)	RS(802,2431)
シーツ補正X lidar(3942,1820),182	G(-3491,6440),N(-3673,6444)	RS(802,2431)
シーツ補正X lidar(3833,1820),73	G(-3603,6440),N(-3676,6436)	RS(826,2418)
シーツ補正X lidar(3833,1820),73	G(-3600,6440),N(-3673,6434)	RS(826,2418)
シーツ補正X lidar(3833,1820),73	G(-3597,6440),N(-3670,6432)	RS(846,2427)
シーツ補正X lidar(3763,1833),3	G(-3663,6440),N(-3666,6430)	RS(849,2417)
シーツ補正X lidar(3763,1833),3	G(-3654,6440),N(-3657,6427)	RS(849,2417)
シーツ補正X lidar(3733,1839),-27	G(-3679,6440),N(-3652,6426)	RS(850,2417)
シーツ補正X lidar(3733,1839),-27	G(-3674,6440),N(-3647,6427)	RS(856,2430)
シーツ補正X lidar(3701,1844),-59	G(-3695,6440),N(-3636,6431)	RS(856,2430)
シーツ補正X lidar(3701,1844),-59	G(-3691,6440),N(-3632,6433)	RS(854,2438)
シーツ補正X lidar(3692,1843),-68	G(-3697,6440),N(-3629,6435)	RS(849,2441)
シーツ補正X lidar(3692,1843),-68	G(-3696,6440),N(-3628,6437)	RS(849,2441)
シーツ補正X lidar(3692,1843),-68	G(-3696,6440),N(-3628,6438)	RS(844,2445)
シーツ補正X lidar(3672,1834),-88	G(-3716,6440),N(-3628,6438)	RS(841,2452)
シーツ補正X lidar(3672,1834),-88	G(-3717,6440),N(-3629,6439)	RS(841,2452)
シーツ補正X lidar(3684,1832),-76	G(-3706,6440),N(-3630,6439)	RS(833,2441)
シーツ補正X lidar(3684,1832),-76	G(-3709,6440),N(-3633,6439)	RS(835,2452)
シーツ補正X lidar(3681,1830),-79	G(-3715,6440),N(-3636,6439)	RS(835,2452)
シーツ補正X lidar(3681,1830),-79	G(-3719,6440),N(-3640,6438)	RS(836,2456)
シーツ補正X lidar(3687,1837),-73	G(-3717,6440),N(-3644,6436)	RS(836,2456)
シーツ補正X 無視lidar(3687,1837),-73	G(-3690,6440),N(-3656,6434)	RS(839,2464)
シーツ補正X lidar(3687,1837),-73	G(-3736,6440),N(-3663,6434)	RS(838,2453)
シーツ補正X lidar(3711,1846),-49	G(-3721,6440),N(-3672,6435)	RS(838,2453)
シーツ補正X lidar(3711,1846),-49	G(-3738,6440),N(-3689,6437)	RS(843,2450)
シーツ補正X lidar(3734,1846),-26	G(-3723,6440),N(-3697,6438)	RS(854,2449)
シーツ補正X lidar(3734,1846),-26	G(-3730,6440),N(-3704,6439)	RS(854,2449)
シーツ補正X lidar(3760,1848),0	G(-3712,6440),N(-3712,6440)	RS(869,2449)
シーツ補正X lidar(3760,1848),0	G(-3726,6440),N(-3726,6444)	RS(879,2437)
シーツ補正X 無視lidar(3790,1844),30	G(-3690,6440),N(-3732,6447)	RS(879,2437)
シーツ補正X 無視lidar(3790,1844),30	G(-3690,6440),N(-3738,6449)	RS(898,2438)
シーツ補正X 無視lidar(3790,1844),30	G(-3690,6440),N(-3743,6451)	RS(906,2420)
