11月7日21時38分	赤 決勝
11月7日21時38分	赤 決勝
シーツ補正前 lidar(3416,823) RS_Y:0,X:0	now(1601.191162,5705.167480,0.327778)	6
シーツ補正X lidar(3345,2424),285	G(1907,6440),N(1622,5705)	RS(0,0)
シーツ補正X lidar(3345,2424),285	G(1927,6440),N(1642,5704)	RS(0,0)
シーツ補正X lidar(3281,2464),221	G(1897,6440),N(1676,5704)	RS(0,0)
シーツ補正X lidar(3281,2464),221	G(1908,6440),N(1687,5705)	RS(0,0)
シーツ補正X lidar(3240,2468),180	G(1876,6440),N(1696,5708)	RS(0,0)
シーツ補正X lidar(3240,2468),180	G(1880,6440),N(1700,5711)	RS(0,0)
シーツ補正X lidar(3240,2468),180	G(1884,6440),N(1704,5719)	RS(0,0)
シーツ補正X lidar(3221,2458),161	G(1864,6440),N(1703,5722)	RS(0,0)
シーツ補正X lidar(3221,2458),161	G(1864,6440),N(1703,5726)	RS(0,0)
シーツ補正X lidar(3222,2458),162	G(1863,6440),N(1701,5729)	RS(0,0)
シーツ補正X lidar(3222,2458),162	G(1860,6440),N(1698,5736)	RS(0,0)
シーツ補正X lidar(3226,2447),166	G(1864,6440),N(1698,5742)	RS(0,0)
シーツ補正X lidar(3226,2447),166	G(1863,6440),N(1697,5748)	RS(0,0)
シーツ補正X lidar(3238,2435),178	G(1876,6440),N(1698,5760)	RS(0,0)
シーツ補正X lidar(3238,2435),178	G(1877,6440),N(1699,5767)	RS(0,0)
シーツ補正X lidar(3238,2435),178	G(1880,6440),N(1702,5773)	RS(0,0)
シーツ補正X lidar(3232,2421),172	G(1877,6440),N(1705,5780)	RS(0,0)
シーツ補正X 無視lidar(3232,2421),172	G(1730,6440),N(1715,5797)	RS(0,0)
シーツ補正X 無視lidar(3230,2400),170	G(1730,6440),N(1721,5807)	RS(0,0)
シーツ補正X 無視lidar(3230,2400),170	G(1730,6440),N(1728,5818)	RS(0,0)
シーツ補正X 無視lidar(3220,2373),160	G(1730,6440),N(1735,5829)	RS(0,0)
シーツ補正X 無視lidar(3220,2373),160	G(1730,6440),N(1752,5854)	RS(0,0)
シーツ補正X 無視lidar(3193,2332),133	G(1730,6440),N(1759,5867)	RS(0,0)
シーツ補正X 無視lidar(3193,2332),133	G(1730,6440),N(1766,5881)	RS(0,0)
シーツ補正X 無視lidar(3193,2332),133	G(1730,6440),N(1772,5897)	RS(0,0)
シーツ補正X 無視lidar(3177,2294),117	G(1730,6440),N(1780,5934)	RS(0,0)
シーツ補正X 無視lidar(3177,2294),117	G(1730,6440),N(1783,5955)	RS(0,0)
シーツ補正X 無視lidar(3163,2237),103	G(1730,6440),N(1786,5976)	RS(0,0)
シーツ補正X 無視lidar(3163,2237),103	G(1730,6440),N(1788,5997)	RS(0,0)
シーツ補正X 無視lidar(3151,2170),91	G(1730,6440),N(1792,6043)	RS(0,0)
シーツ補正X lidar(3151,2170),91	G(1885,6440),N(1794,6067)	RS(0,0)
シーツ補正X lidar(3144,2170),84	G(1879,6440),N(1795,6092)	RS(0,0)
シーツ補正X lidar(3144,2170),84	G(1878,6440),N(1794,6143)	RS(0,0)
シーツ補正X lidar(3144,2170),84	G(1877,6440),N(1793,6169)	RS(0,0)
シーツ補正X lidar(3147,2091),87	G(1877,6440),N(1790,6195)	RS(0,0)
シーツ補正X lidar(3147,2091),87	G(1874,6440),N(1787,6220)	RS(0,0)
シーツ補正X lidar(3154,2002),94	G(1875,6440),N(1781,6268)	RS(0,0)
シーツ補正X lidar(3154,2002),94	G(1872,6440),N(1778,6290)	RS(0,0)
シーツ補正X lidar(3162,1920),102	G(1877,6440),N(1775,6310)	RS(0,0)
シーツ補正X lidar(3162,1920),102	G(1875,6440),N(1773,6329)	RS(0,0)
シーツ補正X lidar(3178,1859),118	G(1890,6440),N(1772,6363)	RS(0,0)
シーツ補正X lidar(3178,1859),118	G(1891,6440),N(1773,6376)	RS(0,0)
シーツ補正X lidar(3178,1859),118	G(1893,6440),N(1775,6388)	RS(0,0)
シーツ補正X lidar(3171,1796),111	G(1895,6440),N(1784,6406)	RS(0,0)
シーツ補正X lidar(3171,1796),111	G(1902,6440),N(1791,6413)	RS(0,0)
シーツ補正X lidar(3158,1764),98	G(1896,6440),N(1798,6415)	RS(0,0)
シーツ補正X lidar(3158,1764),98	G(1903,6440),N(1805,6418)	RS(0,0)
シーツ補正X lidar(3143,1738),83	G(1902,6440),N(1819,6422)	RS(0,0)
シーツ補正X lidar(3143,1738),83	G(1910,6440),N(1827,6423)	RS(0,0)
シーツ補正X lidar(3118,1720),58	G(1894,6440),N(1836,6424)	RS(0,0)
シーツ補正X lidar(3118,1720),58	G(1903,6440),N(1845,6425)	RS(0,0)
シーツ補正X lidar(3118,1720),58	G(1921,6440),N(1863,6426)	RS(0,0)
シーツ補正X lidar(3097,1721),37	G(1910,6440),N(1873,6428)	RS(0,0)
展開２ lidar(3097,1721) now(1882.092896,6430.228516,-0.035831)	RS(0,0)	8
シーツ補正X lidar(3097,1721),37	G(1919,6440),N(1882,6430)	RS(0,0)
シーツ補正X lidar(3069,1721),9	G(1899,6440),N(1890,6432)	RS(0,0)
シーツ補正X lidar(3069,1721),9	G(1913,6440),N(1904,6439)	RS(0,0)
シーツ補正X lidar(3048,1719),-12	G(1897,6440),N(1909,6443)	RS(0,0)
シーツ補正X lidar(3048,1719),-12	G(1902,6440),N(1914,6447)	RS(0,0)
シーツ補正X lidar(3034,1702),-26	G(1895,6440),N(1921,6455)	RS(0,0)
シーツ補正X lidar(3034,1702),-26	G(1897,6440),N(1923,6458)	RS(0,0)
シーツ補正X lidar(3034,1702),-26	G(1898,6440),N(1924,6462)	RS(0,0)
シーツ補正X lidar(3041,1688),-19	G(1905,6440),N(1924,6464)	RS(0,0)
シーツ補正X lidar(3041,1688),-19	G(1904,6440),N(1923,6470)	RS(0,0)
シーツ補正X lidar(3036,1677),-24	G(1897,6440),N(1921,6472)	RS(0,0)
シーツ補正X lidar(3036,1677),-24	G(1894,6440),N(1918,6474)	RS(0,0)
シーツ補正X lidar(3037,1663),-23	G(1892,6440),N(1915,6476)	RS(0,0)
シーツ補正X lidar(3037,1663),-23	G(1886,6440),N(1909,6479)	RS(0,0)
シーツ補正X lidar(3041,1657),-19	G(1888,6440),N(1907,6479)	RS(0,0)
シーツ補正X lidar(3041,1657),-19	G(1886,6440),N(1905,6479)	RS(0,0)
シーツ補正X lidar(3041,1657),-19	G(1884,6440),N(1903,6478)	RS(0,0)
シーツ補正X lidar(3052,1651),-8	G(1891,6440),N(1899,6478)	RS(0,0)
シーツ補正X lidar(3052,1651),-8	G(1889,6440),N(1897,6476)	RS(0,0)
シーツ補正X lidar(3051,1654),-9	G(1887,6440),N(1896,6475)	RS(0,0)
シーツ補正X lidar(3051,1654),-9	G(1885,6440),N(1894,6474)	RS(0,0)
シーツ補正X lidar(3059,1666),-1	G(1888,6440),N(1889,6470)	RS(0,0)
シーツ補正X lidar(3059,1666),-1	G(1886,6440),N(1887,6469)	RS(0,0)
シーツ補正X lidar(3062,1666),2	G(1886,6440),N(1884,6467)	RS(0,0)
シーツ補正X lidar(3062,1666),2	G(1882,6440),N(1880,6463)	RS(0,0)
シーツ補正X lidar(3062,1666),2	G(1880,6440),N(1878,6461)	RS(0,0)
シーツ補正X lidar(3076,1677),16	G(1893,6440),N(1877,6459)	RS(0,0)
シーツ補正X lidar(3076,1677),16	G(1891,6440),N(1875,6458)	RS(0,0)
シーツ補正X lidar(3073,1682),13	G(1887,6440),N(1874,6456)	RS(0,0)
