11月13日20時29分	赤 予選
11月13日20時29分	赤 予選
11月13日20時29分	青 予選
11月13日20時29分	青 予選
バスタオル1補正X 無し lidar(1997,2887),-11	G(-1741,5340),N(-1729,5330,-0.282881)	RS(-888,3693)	8
バスタオル1補正X 無し lidar(1997,2887),-11	G(-1741,5340),N(-1729,5330,-0.287196)	RS(-888,3693)	8
バスタオル1補正X 無し lidar(1992,2896),-11	G(-1741,5340),N(-1729,5330,-0.281135)	RS(-886,3680)	8
バスタオル1補正X 無し lidar(1992,2896),-11	G(-1741,5340),N(-1730,5331,-0.279844)	RS(-887,3686)	8
バスタオル1補正X 無し lidar(1996,2896),-11	G(-1741,5340),N(-1731,5332,-0.281271)	RS(-887,3686)	8
バスタオル1補正X 無し lidar(1996,2896),-11	G(-1741,5340),N(-1732,5333,-0.281271)	RS(-883,3667)	8
バスタオル1補正X OK lidar(1996,2896),RS(-883,3667),-38	G(-1741,5270),N(-1732,5333,-0.281271)
バスタオル1補正X 無し lidar(1996,2896),-11	G(-1741,5270),N(-1733,5335,-0.292817)	RS(-883,3667)	8
バスタオル1補正Y lidar(1996,2896),-54	G(-1741,5281),N(-1733,5335,-0.292817)	RS(-883,3667)
バスタオル1補正X 無し lidar(1999,2902),-11	G(-1741,5281),N(-1735,5336,-0.294987)	RS(-882,3668)	8
バスタオル1補正Y lidar(1999,2902),-48	G(-1741,5288),N(-1735,5336,-0.294987)	RS(-882,3668)
バスタオル1補正X 無し lidar(1999,2902),-11	G(-1741,5288),N(-1737,5339,-0.300425)	RS(-884,3673)	8
バスタオル1補正Y lidar(1999,2902),-48	G(-1741,5291),N(-1737,5339,-0.300425)	RS(-884,3673)
バスタオル1補正X 無し lidar(2007,2901),-11	G(-1741,5291),N(-1739,5340,-0.304193)	RS(-884,3673)	8
バスタオル1補正Y lidar(2007,2901),-49	G(-1741,5291),N(-1739,5340,-0.304193)	RS(-884,3673)
バスタオル1補正X 無し lidar(2007,2901),-11	G(-1741,5291),N(-1740,5342,-0.309437)	RS(-883,3680)	8
バスタオル1補正Y lidar(2007,2901),-49	G(-1741,5293),N(-1740,5342,-0.309437)	RS(-883,3680)
バスタオル1補正X 無し lidar(2006,2893),-11	G(-1741,5293),N(-1741,5343,-0.311787)	RS(-883,3680)	9
バスタオル1補正Y lidar(2006,2893),-57	G(-1741,5286),N(-1741,5343,-0.311787)	RS(-883,3680)
バスタオル1補正X 無し lidar(2006,2893),-11	G(-1741,5286),N(-1742,5344,-0.346130)	RS(-882,3681)	9
バスタオル1補正Y lidar(2006,2893),-57	G(-1741,5287),N(-1742,5344,-0.346130)	RS(-882,3681)
バスタオル1補正X 無し lidar(2012,2888),-11	G(-1741,5287),N(-1742,5344,-0.355473)	RS(-882,3688)	9
バスタオル1補正Y lidar(2012,2888),-62	G(-1741,5282),N(-1742,5344,-0.355473)	RS(-882,3688)
バスタオル1補正X 無し lidar(2012,2888),-11	G(-1741,5282),N(-1741,5344,-0.355473)	RS(-882,3688)	9
バスタオル1補正Y lidar(2012,2888),-62	G(-1741,5282),N(-1741,5344,-0.355473)	RS(-882,3688)
バスタオル1補正X 無し lidar(2012,2888),-11	G(-1741,5282),N(-1741,5344,-0.355473)	RS(-883,3697)	9
バスタオル1補正Y lidar(2012,2888),-62	G(-1741,5282),N(-1741,5344,-0.355473)	RS(-883,3697)
バスタオル1補正X 無し lidar(2016,2884),-11	G(-1741,5282),N(-1741,5343,-0.355473)	RS(-883,3697)	9
バスタオル1補正Y lidar(2016,2884),-66	G(-1741,5277),N(-1741,5343,-0.355473)	RS(-883,3697)
バスタオル1補正X 無し lidar(2016,2884),-11	G(-1741,5277),N(-1741,5343,-0.366778)	RS(-881,3692)	9
バスタオル1補正Y lidar(2016,2884),-66	G(-1741,5277),N(-1741,5343,-0.366778)	RS(-881,3692)
バスタオル1補正X 無し lidar(2009,2884),-11	G(-1741,5277),N(-1742,5342,-0.394141)	RS(-873,3663)	9
バスタオル1補正Y lidar(2009,2884),-66	G(-1741,5276),N(-1742,5342,-0.394141)	RS(-873,3663)
バスタオル1補正X 無し lidar(2009,2884),-11	G(-1741,5276),N(-1743,5340,-0.458501)	RS(-873,3663)	9
バスタオル1補正Y lidar(2009,2884),-66	G(-1741,5274),N(-1743,5340,-0.458501)	RS(-873,3663)
バスタオル1補正X 無し lidar(2002,2884),-11	G(-1741,5274),N(-1743,5339,-0.462007)	RS(-869,3647)	9
バスタオル1補正Y lidar(2002,2884),-66	G(-1741,5273),N(-1743,5339,-0.462007)	RS(-869,3647)
バスタオル1補正X 無し lidar(2002,2884),-11	G(-1741,5273),N(-1744,5337,-0.452583)	RS(-869,3649)	9
バスタオル1補正Y lidar(2002,2884),-66	G(-1741,5271),N(-1744,5337,-0.452583)	RS(-869,3649)
バスタオル1補正X 無し lidar(2002,2893),-11	G(-1741,5271),N(-1745,5334,-0.401513)	RS(-869,3649)	9
バスタオル1補正Y lidar(2002,2893),-57	G(-1741,5277),N(-1745,5334,-0.401513)	RS(-869,3649)
バスタオル1補正X 無し lidar(2002,2893),-11	G(-1741,5277),N(-1746,5327,-0.249594)	RS(-866,3642)	9
バスタオル1補正Y lidar(2002,2893),-57	G(-1741,5270),N(-1746,5327,-0.249594)	RS(-866,3642)
バスタオル1補正X 無し lidar(2002,2893),-11	G(-1741,5270),N(-1747,5322,-0.209132)	RS(-866,3642)	9
バスタオル1補正Y lidar(2002,2893),-57	G(-1741,5265),N(-1747,5322,-0.209132)	RS(-866,3642)
バスタオル1補正X 無し lidar(2005,2901),-11	G(-1741,5265),N(-1747,5316,-0.204628)	RS(-869,3665)	9
バスタオル1補正Y lidar(2005,2901),-49	G(-1741,5267),N(-1747,5316,-0.204628)	RS(-869,3665)
バスタオル1補正X 無し lidar(2005,2901),-11	G(-1741,5267),N(-1747,5310,-0.217028)	RS(-866,3665)	9
バスタオル1補正Y lidar(2005,2901),-49	G(-1741,5261),N(-1747,5310,-0.217028)	RS(-866,3665)
バスタオル1補正X 無し lidar(2008,2901),-11	G(-1741,5261),N(-1746,5299,-0.327413)	RS(-866,3665)	9
バスタオル1補正Y lidar(2008,2901),-49	G(-1741,5250),N(-1746,5299,-0.327413)	RS(-866,3665)
バスタオル1補正X 無し lidar(2008,2901),-11	G(-1741,5250),N(-1745,5294,-0.422926)	RS(-866,3669)	9
バスタオル1補正Y lidar(2008,2901),-49	G(-1741,5245),N(-1745,5294,-0.422926)	RS(-866,3669)
バスタオル1補正X 無し lidar(2008,2901),-11	G(-1741,5245),N(-1745,5290,-0.496015)	RS(-865,3675)	9
バスタオル1補正Y lidar(2008,2901),-49	G(-1741,5241),N(-1745,5290,-0.496015)	RS(-865,3675)
バスタオル1補正X 無し lidar(2008,2901),-11	G(-1741,5241),N(-1744,5282,-0.467725)	RS(-865,3675)	9
バスタオル1補正Y lidar(2008,2901),-49	G(-1741,5233),N(-1744,5282,-0.467725)	RS(-865,3675)
バスタオル1補正X 無し lidar(1199,2934),-11	G(-1741,5233),N(-1744,5279,-0.390692)	RS(-868,3695)	9
バスタオル1補正Y lidar(1199,2934),-16	G(-1741,5263),N(-1744,5279,-0.390692)	RS(-868,3695)
バスタオル1補正X 無し lidar(1199,2934),-11	G(-1741,5263),N(-1743,5277,-0.307036)	RS(-868,3695)	9
バスタオル1補正Y lidar(1199,2934),-16	G(-1741,5261),N(-1743,5277,-0.307036)	RS(-868,3695)
バスタオル1補正X 無し lidar(273,2953),-11	G(-1741,5261),N(-1743,5275,-0.237426)	RS(-863,3680)	9
バスタオル1補正Y lidar(273,2953),3	G(-1741,5278),N(-1743,5275,-0.237426)	RS(-863,3680)
バスタオル1補正X 無し lidar(273,2953),-11	G(-1741,5278),N(-1741,5273,-0.185049)	RS(-866,3696)	9
バスタオル1補正Y lidar(273,2953),3	G(-1741,5276),N(-1741,5273,-0.185049)	RS(-866,3696)
バスタオル1補正X 無し lidar(273,2953),-11	G(-1741,5276),N(-1741,5273,-0.219796)	RS(-866,3696)	9
バスタオル1補正Y lidar(273,2953),3	G(-1741,5276),N(-1741,5273,-0.219796)	RS(-866,3696)
