11月5日20時1分	赤 決勝
11月5日20時1分	赤 決勝
シーツ補正前 lidar(3348,2408) RS_Y:0,X:0	now(1607.513184,5716.079590,0.125888)	6
シーツ補正X lidar(3274,2419),214	G(1843,6340),N(1629,5711)	RS(0,0)
シーツ補正X lidar(3274,2419),214	G(1862,6340),N(1648,5707)	RS(0,0)
シーツ補正X lidar(3221,2431),161	G(1841,6340),N(1680,5700)	RS(0,0)
シーツ補正X lidar(3221,2431),161	G(1852,6340),N(1691,5699)	RS(0,0)
シーツ補正X lidar(3221,2431),161	G(1858,6340),N(1697,5698)	RS(0,0)
シーツ補正X lidar(3184,2431),124	G(1824,6340),N(1700,5700)	RS(0,0)
シーツ補正X 無視lidar(3184,2431),124	G(1730,6340),N(1700,5702)	RS(0,0)
シーツ補正X 無視lidar(3191,2445),131	G(1730,6340),N(1698,5703)	RS(0,0)
シーツ補正X 無視lidar(3191,2445),131	G(1730,6340),N(1696,5704)	RS(0,0)
シーツ補正X 無視lidar(3182,2441),122	G(1730,6340),N(1692,5709)	RS(0,0)
シーツ補正X 無視lidar(3182,2441),122	G(1730,6340),N(1690,5713)	RS(0,0)
シーツ補正X 無視lidar(3182,2447),122	G(1730,6340),N(1687,5717)	RS(0,0)
シーツ補正X 無視lidar(3182,2447),122	G(1730,6340),N(1684,5721)	RS(0,0)
シーツ補正X lidar(3182,2447),122	G(1800,6340),N(1678,5729)	RS(0,0)
シーツ補正X lidar(3192,2439),132	G(1808,6340),N(1676,5734)	RS(0,0)
シーツ補正X lidar(3192,2439),132	G(1807,6340),N(1675,5739)	RS(0,0)
シーツ補正X lidar(3200,2424),140	G(1815,6340),N(1675,5745)	RS(0,0)
シーツ補正X lidar(3200,2424),140	G(1817,6340),N(1677,5762)	RS(0,0)
シーツ補正X lidar(3195,2399),135	G(1814,6340),N(1679,5772)	RS(0,0)
シーツ補正X 無視lidar(3195,2399),135	G(1730,6340),N(1682,5783)	RS(0,0)
シーツ補正X 無視lidar(3187,2369),127	G(1730,6340),N(1686,5795)	RS(0,0)
シーツ補正X 無視lidar(3187,2369),127	G(1730,6340),N(1697,5820)	RS(0,0)
シーツ補正X 無視lidar(3187,2369),127	G(1730,6340),N(1705,5835)	RS(0,0)
シーツ補正X 無視lidar(3179,2329),119	G(1730,6340),N(1714,5851)	RS(0,0)
シーツ補正X 無視lidar(3179,2329),119	G(1730,6340),N(1722,5867)	RS(0,0)
シーツ補正X 無視lidar(3157,2285),97	G(1730,6340),N(1735,5905)	RS(0,0)
シーツ補正X 無視lidar(3157,2285),97	G(1730,6340),N(1741,5925)	RS(0,0)
シーツ補正X 無視lidar(3131,2285),71	G(1730,6340),N(1747,5945)	RS(0,0)
シーツ補正X lidar(3131,2285),71	G(1825,6340),N(1754,5990)	RS(0,0)
シーツ補正X lidar(3121,2222),61	G(1818,6340),N(1757,6014)	RS(0,0)
シーツ補正X lidar(3121,2222),61	G(1820,6340),N(1759,6039)	RS(0,0)
シーツ補正X lidar(3121,2222),61	G(1821,6340),N(1760,6064)	RS(0,0)
シーツ補正X lidar(3110,2148),50	G(1811,6340),N(1761,6115)	RS(0,0)
シーツ補正X lidar(3110,2148),50	G(1812,6340),N(1762,6140)	RS(0,0)
シーツ補正X lidar(3106,2075),46	G(1808,6340),N(1762,6165)	RS(0,0)
シーツ補正X lidar(3106,2075),46	G(1809,6340),N(1763,6188)	RS(0,0)
シーツ補正X lidar(3109,1995),49	G(1813,6340),N(1764,6231)	RS(0,0)
シーツ補正X lidar(3109,1995),49	G(1814,6340),N(1765,6251)	RS(0,0)
シーツ補正X lidar(3097,1924),37	G(1803,6340),N(1766,6269)	RS(0,0)
シーツ補正X lidar(3097,1924),37	G(1804,6340),N(1767,6286)	RS(0,0)
シーツ補正X lidar(3097,1924),37	G(1809,6340),N(1772,6312)	RS(0,0)
展開２ lidar(3091,1867) now(1774.287476,6322.869141,-0.128756)	RS(0,0)	8
シーツ補正X lidar(3091,1867),31	G(1805,6340),N(1774,6322)	RS(0,0)
シーツ補正X lidar(3091,1867),31	G(1807,6340),N(1776,6330)	RS(0,0)
シーツ補正X lidar(3089,1821),29	G(1811,6340),N(1782,6341)	RS(0,0)
シーツ補正X lidar(3089,1821),29	G(1814,6340),N(1785,6344)	RS(0,0)
シーツ補正X lidar(3082,1804),22	G(1810,6340),N(1788,6346)	RS(0,0)
シーツ補正X lidar(3082,1804),22	G(1812,6340),N(1790,6346)	RS(0,0)
シーツ補正X lidar(3071,1808),11	G(1805,6340),N(1794,6345)	RS(0,0)
シーツ補正X lidar(3071,1808),11	G(1807,6340),N(1796,6343)	RS(0,0)
シーツ補正X lidar(3071,1808),11	G(1809,6340),N(1798,6341)	RS(0,0)
シーツ補正X lidar(3071,1814),11	G(1810,6340),N(1799,6339)	RS(0,0)
シーツ補正X lidar(3071,1814),11	G(1813,6340),N(1802,6336)	RS(0,0)
シーツ補正X lidar(3058,1814),-2	G(1801,6340),N(1803,6335)	RS(0,0)
シーツ補正X lidar(3058,1814),-2	G(1802,6340),N(1804,6334)	RS(0,0)
シーツ補正X lidar(3061,1817),1	G(1806,6340),N(1805,6333)	RS(0,0)
シーツ補正X lidar(3061,1817),1	G(1806,6340),N(1805,6332)	RS(0,0)
シーツ補正X lidar(3061,1825),1	G(1806,6340),N(1805,6332)	RS(0,0)
