11月3日14時29分	青 決勝
11月3日14時29分	青 決勝
バスタオル1補正前 lidar(1631,2481) RS_Y:0,X:0	now(-1601.301880,5708.251953,1.277455)	6
バスタオル1移動始め lidar(1631,2481) goal(-2130,5340,0.000000) now(-1601,5708,1.277455)
バスタオル1補正X 無し lidar(1631,2481),1241	G(-2130,5340),N(-1601,5708,1.277455)	RS(0,0)	6
バスタオル1補正X 無し lidar(1631,2481),1241	G(-2130,5340),N(-1645,5701,1.195973)	RS(0,0)	6
バスタオル1補正X 無し lidar(1699,2492),1309	G(-2130,5340),N(-1665,5697,1.280321)	RS(0,0)	6
バスタオル1補正X 無し lidar(1699,2492),1309	G(-2130,5340),N(-1684,5694,1.283546)	RS(0,0)	6
バスタオル1補正X 無し lidar(1758,2507),1368	G(-2130,5340),N(-1701,5692,1.370697)	RS(0,0)	6
バスタオル1補正X 無し lidar(1758,2507),1368	G(-2130,5340),N(-1732,5689,1.454006)	RS(0,0)	6
バスタオル1補正X 無し lidar(1758,2507),1368	G(-2130,5340),N(-1746,5689,1.466761)	RS(0,0)	6
バスタオル1補正X 無し lidar(1807,2507),1417	G(-2130,5340),N(-1760,5688,1.359210)	RS(0,0)	6
バスタオル1補正X 無し lidar(1807,2507),1417	G(-2130,5340),N(-1773,5688,1.189268)	RS(0,0)	6
バスタオル1補正X 無し lidar(1843,2515),1453	G(-2130,5340),N(-1798,5686,0.593463)	RS(0,0)	6
バスタオル1補正X 無し lidar(1843,2515),1453	G(-2130,5340),N(-1810,5683,0.298393)	RS(0,0)	6
バスタオル1補正X 無し lidar(1884,2515),1494	G(-2130,5340),N(-1824,5679,-0.081556)	RS(0,0)	6
バスタオル1補正X 無し lidar(1884,2515),1494	G(-2130,5340),N(-1838,5675,-0.438363)	RS(0,0)	6
バスタオル1補正X 無し lidar(1926,2530),1536	G(-2130,5340),N(-1869,5662,-1.076342)	RS(0,0)	6
バスタオル1補正X 無し lidar(1926,2530),1536	G(-2130,5340),N(-1885,5654,-1.262385)	RS(0,0)	7
バスタオル1補正X 無し lidar(1926,2530),1536	G(-2130,5340),N(-1902,5645,-1.349013)	RS(0,0)	7
バスタオル1補正X フェンス lidar(1972,2543),-158	G(-2093,5340),N(-1935,5622,-1.312821)	RS(0,0)	7
バスタオル1補正X フェンス lidar(1972,2543),-158	G(-2110,5340),N(-1952,5608,-1.207888)	RS(0,0)	7
バスタオル1補正X フェンス lidar(2018,2570),-112	G(-2082,5340),N(-1970,5594,-1.070388)	RS(0,0)	7
バスタオル1補正X フェンス lidar(2018,2570),-112	G(-2100,5340),N(-1988,5578,-0.873170)	RS(0,0)	7
バスタオル1補正X フェンス lidar(2066,2609),-64	G(-2088,5340),N(-2024,5543,-0.386029)	RS(0,0)	7
バスタオル1補正X フェンス lidar(2066,2609),-64	G(-2105,5340),N(-2041,5524,-0.207003)	RS(0,0)	7
バスタオル1補正X フェンス lidar(2117,2666),-13	G(-2070,5340),N(-2057,5506,0.118759)	RS(0,0)	7
バスタオル1補正X フェンス lidar(2117,2666),-13	G(-2085,5340),N(-2072,5488,0.507004)	RS(0,0)	7
バスタオル1補正X フェンス lidar(2117,2666),-13	G(-2111,5340),N(-2098,5450,1.144125)	RS(0,0)	7
