11月18日20時19分	赤 決勝
バスタオル1補正前 lidar(3341,1517) RS_Y:0,X:0	now(1605.871338,5738.147949,0.333218)	5
バスタオル1移動始め lidar(3341,1517) goal(1920,5340,0.000000) now(1605,5738,0.333218)
バスタオル1補正X 無し lidar(3341,1517),1641	G(1920,5340),N(1605,5738,0.333218)	RS(0,0)	5
バスタオル1補正X 無し lidar(3243,2381),1543	G(1920,5340),N(1666,5738,0.392819)	RS(0,0)	5
バスタオル1補正X 無し lidar(3243,2381),1543	G(1920,5340),N(1695,5738,0.411625)	RS(0,0)	6
バスタオル1補正X 無し lidar(3158,2380),1458	G(1920,5340),N(1722,5738,0.429476)	RS(0,0)	6
バスタオル1補正X 無し lidar(3158,2380),1458	G(1920,5340),N(1747,5737,0.424008)	RS(0,0)	6
バスタオル1補正X 無し lidar(3158,2380),1458	G(1920,5340),N(1791,5737,0.295292)	RS(0,0)	6
バスタオル1補正X フェンス lidar(3091,2387),336	G(2144,5340),N(1808,5736,0.207277)	RS(0,0)	wait:9	6
バスタオル1補正X フェンス lidar(3091,2387),336	G(2160,5340),N(1824,5736,0.096992)	RS(0,0)	wait:9	6
バスタオル1補正X フェンス lidar(3041,2388),286	G(2123,5340),N(1837,5736,-0.033504)	RS(0,0)	wait:9	6
バスタオル1補正X フェンス lidar(3041,2388),286	G(2140,5340),N(1854,5735,-0.202269)	RS(0,0)	wait:9	6
バスタオル1補正X フェンス lidar(3017,2388),262	G(2120,5340),N(1858,5734,-0.229901)	RS(0,0)	wait:9	6
バスタオル1補正X フェンス lidar(3017,2388),262	G(2124,5340),N(1862,5733,-0.229901)	RS(0,0)	wait:9	6
バスタオル1補正X フェンス lidar(3006,2390),251	G(2121,5340),N(1870,5725,-0.213525)	RS(0,0)	wait:9	6
バスタオル1補正X フェンス lidar(3006,2390),251	G(2127,5340),N(1876,5719,-0.213525)	RS(0,0)	wait:9	6
バスタオル1補正X フェンス lidar(3006,2390),251	G(2135,5340),N(1884,5711,-0.206106)	RS(0,0)	wait:9	6
バスタオル1補正X フェンス lidar(2993,2412),238	G(2131,5340),N(1893,5702,-0.218294)	RS(0,0)	wait:9	6
バスタオル1補正X フェンス lidar(2993,2412),238	G(2154,5340),N(1916,5679,-0.205267)	RS(0,0)	wait:9	6
バスタオル1補正X フェンス lidar(2967,2412),212	G(2141,5340),N(1929,5665,-0.218730)	RS(0,0)	wait:9	6
バスタオル1補正X フェンス lidar(2967,2412),212	G(2154,5340),N(1942,5650,-0.226933)	RS(0,0)	wait:9	6
バスタオル1補正X フェンス lidar(2936,2445),181	G(2137,5340),N(1956,5634,-0.219793)	RS(0,0)	wait:9	6
バスタオル1補正X フェンス lidar(2936,2445),181	G(2165,5340),N(1984,5599,-0.131998)	RS(0,0)	wait:9	6
バスタオル1補正X フェンス lidar(2895,2483),140	G(2138,5340),N(1998,5582,-0.052604)	RS(0,0)	wait:9	6
バスタオル1補正X フェンス lidar(2895,2483),140	G(2153,5340),N(2013,5563,0.013241)	RS(0,0)	wait:9	6
