11月18日20時25分	赤 決勝
バスタオル1補正X フェンス lidar(3008,2424),253	G(2124,5340),N(1871,5663,-0.433328)	RS(0,0)	wait:0	6
バスタオル1補正X フェンス lidar(2999,2431),244	G(2124,5340),N(1880,5654,-0.421382)	RS(0,0)	wait:0	6
バスタオル1補正X フェンス lidar(2999,2431),244	G(2135,5340),N(1891,5643,-0.450098)	RS(0,0)	wait:0	6
バスタオル1補正X フェンス lidar(2968,2444),213	G(2131,5340),N(1918,5618,-0.504132)	RS(0,0)	wait:0	6
バスタオル1補正X フェンス lidar(2968,2444),213	G(2146,5340),N(1933,5603,-0.533578)	RS(0,0)	wait:0	6
バスタオル1補正X フェンス lidar(2937,2475),182	G(2130,5340),N(1948,5588,-0.548429)	RS(0,0)	wait:0	6
バスタオル1補正X フェンス lidar(2937,2475),182	G(2160,5340),N(1978,5554,-0.395007)	RS(0,0)	wait:0	6
バスタオル1補正X フェンス lidar(2937,2475),182	G(2174,5340),N(1992,5535,-0.234731)	RS(0,0)	wait:0	6
バスタオル1補正X 無し lidar(2898,2528),182	G(2174,5340),N(2007,5517,-0.105486)	RS(0,0)	6
バスタオル1補正X 無し lidar(2898,2528),182	G(2174,5340),N(2022,5497,0.013417)	RS(0,0)	6
バスタオル1補正X 無し lidar(2849,2577),182	G(2174,5340),N(2051,5460,0.232283)	RS(0,0)	6
バスタオル1補正X 無し lidar(2849,2577),182	G(2174,5340),N(2066,5442,0.305054)	RS(0,0)	6
バスタオル1補正X 無し lidar(2809,2636),182	G(2174,5340),N(2081,5424,0.363086)	RS(0,0)	6
バスタオル1補正X 無し lidar(2809,2636),182	G(2174,5340),N(2096,5406,0.450278)	RS(0,0)	7
バスタオル1補正X 無し lidar(2771,2687),182	G(2174,5340),N(2124,5372,0.662848)	RS(0,0)	7
バスタオル1補正X 無し lidar(2771,2687),182	G(2174,5340),N(2136,5359,0.788979)	RS(0,0)	7
バスタオル1補正X 無し lidar(2771,2687),182	G(2174,5340),N(2148,5346,0.902815)	RS(0,0)	7
バスタオル1補正X 無し lidar(2745,2741),182	G(2174,5340),N(2158,5335,1.002532)	RS(0,0)	7
バスタオル1補正X 無し lidar(2745,2741),182	G(2174,5340),N(2173,5322,1.075122)	RS(0,0)	7
バスタオル1補正X 無し lidar(2711,2741),182	G(2174,5340),N(2177,5317,1.059520)	RS(0,0)	7
バスタオル1補正X 無し lidar(2711,2741),182	G(2174,5340),N(2180,5316,0.998619)	RS(0,0)	7
バスタオル1補正X 無し lidar(2696,2777),182	G(2174,5340),N(2181,5315,0.902476)	RS(0,0)	7
バスタオル1補正X 無し lidar(2696,2777),182	G(2174,5340),N(2180,5317,0.832464)	RS(0,0)	7
バスタオル1補正X 無し lidar(2690,2782),182	G(2174,5340),N(2179,5318,0.721675)	RS(0,0)	7
バスタオル1補正X 無し lidar(2690,2782),182	G(2174,5340),N(2177,5320,0.589264)	RS(0,0)	7
バスタオル1補正X OK lidar(2690,2782),RS(0,0),50000	G(2174,5270),N(2177,5320,0.589264)
バスタオル1補正X 無し lidar(2690,2782),182	G(2174,5270),N(2174,5325,0.457490)	RS(0,0)	7
バスタオル1補正Y lidar(2690,2782),-168	G(2174,5157),N(2174,5325,0.457490)	RS(0,0)
バスタオル1補正X 無し lidar(2708,2778),182	G(2174,5157),N(2171,5327,0.424458)	RS(0,0)	7
バスタオル1補正Y lidar(2708,2778),-172	G(2174,5155),N(2171,5327,0.424458)	RS(0,0)
バスタオル1補正X 無し lidar(2708,2778),182	G(2174,5155),N(2168,5331,0.381274)	RS(0,0)	7
バスタオル1補正Y lidar(2708,2778),-172	G(2174,5159),N(2168,5331,0.381274)	RS(0,0)
バスタオル1補正X 無し lidar(2719,2770),182	G(2174,5159),N(2164,5334,0.338987)	RS(0,0)	7
バスタオル1補正Y lidar(2719,2770),-180	G(2174,5154),N(2164,5334,0.338987)	RS(0,0)
バスタオル1補正X 無し lidar(2719,2770),182	G(2174,5154),N(2157,5340,0.346628)	RS(0,0)	7
バスタオル1補正Y lidar(2719,2770),-180	G(2174,5160),N(2157,5340,0.346628)	RS(0,0)
バスタオル1補正X 無し lidar(2725,2763),182	G(2174,5160),N(2155,5342,0.338868)	RS(0,0)	7
バスタオル1補正Y lidar(2725,2763),-187	G(2174,5155),N(2155,5342,0.338868)	RS(0,0)
バスタオル1補正X 無し lidar(2725,2763),182	G(2174,5155),N(2153,5343,0.323413)	RS(0,0)	7
バスタオル1補正Y lidar(2725,2763),-187	G(2174,5156),N(2153,5343,0.323413)	RS(0,0)
バスタオル1補正X 無し lidar(2727,2754),182	G(2174,5156),N(2152,5345,0.323413)	RS(0,0)	7
バスタオル1補正Y lidar(2727,2754),-196	G(2174,5149),N(2152,5345,0.323413)	RS(0,0)
バスタオル1補正X 無し lidar(2727,2754),182	G(2174,5149),N(2152,5345,0.323413)	RS(0,0)	7
バスタオル1補正Y lidar(2727,2754),-196	G(2174,5149),N(2152,5345,0.323413)	RS(0,0)
バスタオル1補正X 無し lidar(2727,2754),182	G(2174,5149),N(2152,5345,0.321589)	RS(0,0)	7
バスタオル1補正Y lidar(2727,2754),-196	G(2174,5149),N(2152,5345,0.321589)	RS(0,0)
バスタオル1補正X 無し lidar(2728,2746),182	G(2174,5149),N(2153,5345,0.295642)	RS(0,0)	7
RS無視 RS_Y:0,50000,0 X:0	lidar(2728,2746),-204	G(2174,5240),N(2153,5345,0.295642)
バスタオル1補正X 無し lidar(2728,2746),182	G(2174,5240),N(2156,5342,0.252380)	RS(0,0)	7
RS無視 RS_Y:0,50000,0 X:0	lidar(2728,2746),-204	G(2174,5240),N(2156,5342,0.252380)
バスタオル1補正X 無し lidar(2730,2741),182	G(2174,5240),N(2159,5339,0.146770)	RS(0,0)	7
RS無視 RS_Y:0,50000,0 X:0	lidar(2730,2741),-209	G(2174,5240),N(2159,5339,0.146770)
バスタオル1補正X 無し lidar(2730,2741),182	G(2174,5240),N(2162,5334,-0.021809)	RS(0,0)	8
RS無視 RS_Y:0,50000,0 X:0	lidar(2730,2741),-209	G(2174,5240),N(2162,5334,-0.021809)
バスタオル1補正X 無し lidar(2722,2750),182	G(2174,5240),N(2167,5327,-0.158393)	RS(0,0)	8
RS無視 RS_Y:0,50000,0 X:0	lidar(2722,2750),-200	G(2174,5240),N(2167,5327,-0.158393)
バスタオル1補正X 無し lidar(2722,2750),182	G(2174,5240),N(2177,5313,-0.380354)	RS(0,0)	8
RS無視 RS_Y:0,50000,0 X:0	lidar(2722,2750),-200	G(2174,5240),N(2177,5313,-0.380354)
バスタオル1補正X 無し lidar(2712,2750),182	G(2174,5240),N(2181,5306,-0.431641)	RS(0,0)	8
RS無視 RS_Y:0,50000,0 X:0	lidar(2712,2750),-200	G(2174,5240),N(2181,5306,-0.431641)
バスタオル1補正X 無し lidar(2712,2750),182	G(2174,5240),N(2185,5298,-0.479412)	RS(0,0)	8
RS無視 RS_Y:0,50000,0 X:0	lidar(2712,2750),-200	G(2174,5240),N(2185,5298,-0.479412)
バスタオル1補正X 無し lidar(2712,2750),182	G(2174,5240),N(2187,5290,-0.486006)	RS(0,0)	8
RS無視 RS_Y:0,50000,0 X:0	lidar(2712,2750),-200	G(2174,5240),N(2187,5290,-0.486006)
バスタオル1補正X 無し lidar(2702,2768),182	G(2174,5240),N(2191,5271,-0.385362)	RS(0,0)	8
バスタオル1補正Y lidar(2702,2768),-182	G(2174,5089),N(2191,5271,-0.385362)	RS(0,0)
バスタオル1補正X 無し lidar(2702,2768),182	G(2174,5089),N(2192,5262,-0.281286)	RS(0,0)	8
バスタオル1補正Y lidar(2702,2768),-182	G(2174,5080),N(2192,5262,-0.281286)	RS(0,0)
バスタオル1補正X 無し lidar(2700,2786),182	G(2174,5080),N(2193,5253,-0.202454)	RS(0,0)	8
バスタオル1補正Y lidar(2700,2786),-164	G(2174,5089),N(2193,5253,-0.202454)	RS(0,0)
バスタオル1補正X 無し lidar(2700,2786),182	G(2174,5089),N(2192,5239,-0.073449)	RS(0,0)	8
バスタオル1補正Y lidar(2700,2786),-164	G(2174,5075),N(2192,5239,-0.073449)	RS(0,0)
バスタオル1補正X 無し lidar(2700,2809),182	G(2174,5075),N(2192,5233,-0.020135)	RS(0,0)	8
バスタオル1補正Y lidar(2700,2809),-141	G(2174,5092),N(2192,5233,-0.020135)	RS(0,0)
バスタオル1補正X 無し lidar(2700,2809),182	G(2174,5092),N(2191,5229,0.042761)	RS(0,0)	8
バスタオル1補正Y lidar(2700,2809),-141	G(2174,5088),N(2191,5229,0.042761)	RS(0,0)
バスタオル1補正X 無し lidar(2701,2839),182	G(2174,5088),N(2189,5226,0.103759)	RS(0,0)	8
バスタオル1補正Y lidar(2701,2839),-111	G(2174,5115),N(2189,5226,0.103759)	RS(0,0)
バスタオル1補正X 無し lidar(2701,2839),182	G(2174,5115),N(2185,5220,0.161976)	RS(0,0)	8
バスタオル1補正Y lidar(2701,2839),-111	G(2174,5109),N(2185,5220,0.161976)	RS(0,0)
バスタオル1補正X 無し lidar(2701,2839),182	G(2174,5109),N(2182,5218,0.161976)	RS(0,0)	8
バスタオル1補正Y lidar(2701,2839),-111	G(2174,5107),N(2182,5218,0.161976)	RS(0,0)
バスタオル1補正X 無し lidar(2705,2852),182	G(2174,5107),N(2179,5215,0.143256)	RS(0,0)	8
バスタオル1補正Y lidar(2705,2852),-98	G(2174,5117),N(2179,5215,0.143256)	RS(0,0)
バスタオル1補正X 無し lidar(2705,2852),182	G(2174,5117),N(2176,5212,0.099116)	RS(0,0)	8
バスタオル1補正Y lidar(2705,2852),-98	G(2174,5114),N(2176,5212,0.099116)	RS(0,0)
バスタオル1補正X 無し lidar(2711,2854),182	G(2174,5114),N(2169,5206,-0.041056)	RS(0,0)	8
バスタオル1補正Y lidar(2711,2854),-96	G(2174,5110),N(2169,5206,-0.041056)	RS(0,0)
バスタオル1補正X 無し lidar(2711,2854),182	G(2174,5110),N(2166,5202,-0.096524)	RS(0,0)	8
バスタオル1補正Y lidar(2711,2854),-96	G(2174,5106),N(2166,5202,-0.096524)	RS(0,0)
バスタオル1補正X 無し lidar(2710,2870),182	G(2174,5106),N(2162,5198,-0.209177)	RS(0,0)	8
バスタオル1補正Y lidar(2710,2870),-80	G(2174,5118),N(2162,5198,-0.209177)	RS(0,0)
バスタオル1補正X 無し lidar(2710,2870),182	G(2174,5118),N(2160,5192,-0.334698)	RS(0,0)	8
バスタオル1補正Y lidar(2710,2870),-80	G(2174,5112),N(2160,5192,-0.334698)	RS(0,0)
バスタオル1補正X 無し lidar(2028,2888),182	G(2174,5112),N(2157,5180,-0.426179)	RS(0,0)	8
バスタオル1補正Y lidar(2028,2888),-62	G(2174,5118),N(2157,5180,-0.426179)	RS(0,0)
バスタオル1補正X 無し lidar(2028,2888),182	G(2174,5118),N(2157,5173,-0.435667)	RS(0,0)	8
バスタオル1補正Y lidar(2028,2888),-62	G(2174,5111),N(2157,5173,-0.435667)	RS(0,0)
バスタオル1補正X 無し lidar(2028,2888),182	G(2174,5111),N(2157,5166,-0.438655)	RS(0,0)	8
バスタオル1補正Y lidar(2028,2888),-62	G(2174,5104),N(2157,5166,-0.438655)	RS(0,0)
バスタオル1補正X 無し lidar(1658,2905),182	G(2174,5104),N(2160,5153,-0.383814)	RS(0,0)	8
バスタオル1補正Y lidar(1658,2905),-45	G(2174,5108),N(2160,5153,-0.383814)	RS(0,0)
バスタオル1補正X 無し lidar(1658,2905),182	G(2174,5108),N(2161,5147,-0.325243)	RS(0,0)	9
バスタオル1補正Y lidar(1658,2905),-45	G(2174,5102),N(2161,5147,-0.325243)	RS(0,0)
バスタオル1補正X 無し lidar(1647,2905),182	G(2174,5102),N(2164,5142,-0.254084)	RS(0,0)	9
