11月11日20時24分	青 決勝
11月11日20時24分	青 決勝
CS通信切れ
バスタオル1補正X フェンス lidar(2156,2016),-19	G(-2067,5340),N(-2048,5341,0.151275)	RS(0,0)	wait:0	7
バスタオル1補正X フェンス lidar(2156,2016),-19	G(-2068,5340),N(-2049,5340,0.149833)	RS(0,0)	wait:0	7
バスタオル1補正X フェンス lidar(2156,2257),-19	G(-2068,5340),N(-2049,5340,0.130691)	RS(0,0)	wait:0	7
バスタオル1補正X フェンス lidar(2156,2257),-19	G(-2069,5340),N(-2050,5340,0.088538)	RS(0,0)	wait:0	8
バスタオル1補正X フェンス lidar(2156,2257),-19	G(-2069,5340),N(-2050,5340,0.069980)	RS(0,0)	wait:0	8
バスタオル1補正X フェンス lidar(2162,1986),-13	G(-2064,5340),N(-2051,5340,0.042224)	RS(0,0)	wait:0	8
バスタオル1補正X フェンス lidar(2162,1986),-13	G(-2066,5340),N(-2053,5340,-0.035548)	RS(0,0)	wait:0	8
バスタオル1補正X フェンス lidar(2170,2010),-5	G(-2059,5340),N(-2054,5339,-0.048194)	RS(0,0)	wait:0	8
バスタオル1補正X OK lidar(2170,2010),RS(0,0),50000	G(-2059,5270),N(-2054,5339,-0.048194)
バスタオル1補正X 無し lidar(2170,2010),-5	G(-2059,5270),N(-2055,5339,-0.081744)	RS(0,0)	8
RS無視 RS_Y:0,50000,0 X:0	lidar(2170,2010),-940	G(-2059,5240),N(-2055,5339,-0.081744)
バスタオル1補正X 無し lidar(2158,2010),-5	G(-2059,5240),N(-2056,5338,-0.137319)	RS(0,0)	8
RS無視 RS_Y:0,50000,0 X:0	lidar(2158,2010),-940	G(-2059,5240),N(-2056,5338,-0.137319)
バスタオル1補正X 無し lidar(2158,2010),-5	G(-2059,5240),N(-2057,5338,-0.169684)	RS(0,0)	8
RS無視 RS_Y:0,50000,0 X:0	lidar(2158,2010),-940	G(-2059,5240),N(-2057,5338,-0.169684)
バスタオル1補正X 無し lidar(2163,2062),-5	G(-2059,5240),N(-2057,5338,-0.181889)	RS(0,0)	8
RS無視 RS_Y:0,50000,0 X:0	lidar(2163,2062),-888	G(-2059,5240),N(-2057,5338,-0.181889)
バスタオル1補正X 無し lidar(2163,2062),-5	G(-2059,5240),N(-2058,5338,-0.181889)	RS(0,0)	8
RS無視 RS_Y:0,50000,0 X:0	lidar(2163,2062),-888	G(-2059,5240),N(-2058,5338,-0.181889)
バスタオル1補正X 無し lidar(2163,2062),-5	G(-2059,5240),N(-2058,5338,-0.181889)	RS(0,0)	8
RS無視 RS_Y:0,50000,0 X:0	lidar(2163,2062),-888	G(-2059,5240),N(-2058,5338,-0.181889)
バスタオル1補正X 無し lidar(2171,2733),-5	G(-2059,5240),N(-2058,5338,-0.178319)	RS(0,0)	8
RS無視 RS_Y:0,50000,0 X:0	lidar(2171,2733),-217	G(-2059,5240),N(-2058,5338,-0.178319)
バスタオル1補正X 無し lidar(2171,2733),-5	G(-2059,5240),N(-2058,5338,-0.158617)	RS(0,0)	8
RS無視 RS_Y:0,50000,0 X:0	lidar(2171,2733),-217	G(-2059,5240),N(-2058,5338,-0.158617)
バスタオル1補正X 無し lidar(2171,2847),-5	G(-2059,5240),N(-2058,5338,-0.156604)	RS(0,0)	8
バスタオル1補正Y lidar(2171,2847),-103	G(-2059,5235),N(-2058,5338,-0.156604)	RS(0,0)
バスタオル1補正X 無し lidar(2171,2847),-5	G(-2059,5235),N(-2060,5336,-0.201080)	RS(0,0)	8
バスタオル1補正Y lidar(2171,2847),-103	G(-2059,5233),N(-2060,5336,-0.201080)	RS(0,0)
