11月23日16時31分	赤 決勝
バスタオル1補正X フェンス lidar(2745,2791),-10	G(2055,5340),N(2065,5339,0.160339)	RS(0,0)	wait:0	7
バスタオル1補正X フェンス lidar(2759,2780),4	G(2069,5340),N(2065,5341,0.217172)	RS(0,0)	wait:0	7
バスタオル1補正X フェンス lidar(2759,2780),4	G(2068,5340),N(2064,5342,0.246814)	RS(0,0)	wait:0	7
バスタオル1補正X OK lidar(2759,2780),RS(0,0),50000	G(2068,5270),N(2064,5342,0.246814)
バスタオル1補正X 無し lidar(2759,2770),4	G(2068,5270),N(2064,5343,0.234683)	RS(0,0)	7
バスタオル1補正Y lidar(2759,2770),-180	G(2068,5163),N(2064,5343,0.234683)	RS(0,0)
バスタオル1補正X 無し lidar(2759,2770),4	G(2068,5163),N(2064,5344,0.168094)	RS(0,0)	7
バスタオル1補正Y lidar(2759,2770),-180	G(2068,5164),N(2064,5344,0.168094)	RS(0,0)
バスタオル1補正X 無し lidar(2762,2757),4	G(2068,5164),N(2065,5344,0.161555)	RS(0,0)	7
バスタオル1補正Y lidar(2762,2757),-193	G(2068,5151),N(2065,5344,0.161555)	RS(0,0)
バスタオル1補正X 無し lidar(2762,2757),4	G(2068,5151),N(2065,5344,0.161555)	RS(0,0)	7
バスタオル1補正Y lidar(2762,2757),-193	G(2068,5151),N(2065,5344,0.161555)	RS(0,0)
バスタオル1補正X 無し lidar(2755,2758),4	G(2068,5151),N(2065,5343,0.161555)	RS(0,0)	7
バスタオル1補正Y lidar(2755,2758),-192	G(2068,5151),N(2065,5343,0.161555)	RS(0,0)
バスタオル1補正X 無し lidar(2755,2758),4	G(2068,5151),N(2065,5343,0.161555)	RS(0,0)	7
バスタオル1補正Y lidar(2755,2758),-192	G(2068,5151),N(2065,5343,0.161555)	RS(0,0)
バスタオル1補正X 無し lidar(2755,2758),4	G(2068,5151),N(2065,5343,0.161555)	RS(0,0)	8
バスタオル1補正Y lidar(2755,2758),-192	G(2068,5151),N(2065,5343,0.161555)	RS(0,0)
バスタオル1補正X 無し lidar(2759,2750),4	G(2068,5151),N(2065,5343,0.150257)	RS(0,0)	8
RS無視 RS_Y:0,50000,0 X:0	lidar(2759,2750),-200	G(2068,5240),N(2065,5343,0.150257)
バスタオル1補正X 無し lidar(2759,2750),4	G(2068,5240),N(2066,5342,0.021551)	RS(0,0)	8
RS無視 RS_Y:0,50000,0 X:0	lidar(2759,2750),-200	G(2068,5240),N(2066,5342,0.021551)
バスタオル1補正X 無し lidar(2761,2749),4	G(2068,5240),N(2066,5341,-0.112943)	RS(0,0)	8
RS無視 RS_Y:0,50000,0 X:0	lidar(2761,2749),-201	G(2068,5240),N(2066,5341,-0.112943)
バスタオル1補正X 無し lidar(2761,2749),4	G(2068,5240),N(2067,5339,-0.237562)	RS(0,0)	8
RS無視 RS_Y:0,50000,0 X:0	lidar(2761,2749),-201	G(2068,5240),N(2067,5339,-0.237562)
バスタオル1補正X 無し lidar(2760,2744),4	G(2068,5240),N(2068,5337,-0.404520)	RS(0,0)	8
RS無視 RS_Y:0,50000,0 X:0	lidar(2760,2744),-206	G(2068,5240),N(2068,5337,-0.404520)
バスタオル1補正X 無し lidar(2760,2744),4	G(2068,5240),N(2070,5328,-0.839396)	RS(0,0)	8
RS無視 RS_Y:0,50000,0 X:0	lidar(2760,2744),-206	G(2068,5240),N(2070,5328,-0.839396)
バスタオル1補正X 無し lidar(2760,2756),4	G(2068,5240),N(2071,5322,-0.967837)	RS(0,0)	8
バスタオル1補正Y lidar(2760,2756),-194	G(2068,5128),N(2071,5322,-0.967837)	RS(0,0)
バスタオル1補正X 無し lidar(2760,2756),4	G(2068,5128),N(2072,5315,-0.984324)	RS(0,0)	8
バスタオル1補正Y lidar(2760,2756),-194	G(2068,5121),N(2072,5315,-0.984324)	RS(0,0)
バスタオル1補正X 無し lidar(2760,2756),4	G(2068,5121),N(2072,5307,-0.979125)	RS(0,0)	8
バスタオル1補正Y lidar(2760,2756),-194	G(2068,5113),N(2072,5307,-0.979125)	RS(0,0)
バスタオル1補正X 無し lidar(2756,2776),4	G(2068,5113),N(2072,5289,-0.901697)	RS(0,0)	8
バスタオル1補正Y lidar(2756,2776),-174	G(2068,5115),N(2072,5289,-0.901697)	RS(0,0)
バスタオル1補正X 無し lidar(2756,2776),4	G(2068,5115),N(2073,5279,-0.737807)	RS(0,0)	8
バスタオル1補正Y lidar(2756,2776),-174	G(2068,5105),N(2073,5279,-0.737807)	RS(0,0)
バスタオル1補正X 無し lidar(2742,2776),4	G(2068,5105),N(2072,5269,-0.550462)	RS(0,0)	8
バスタオル1補正Y lidar(2742,2776),-174	G(2068,5095),N(2072,5269,-0.550462)	RS(0,0)
バスタオル1補正X 無し lidar(2742,2776),4	G(2068,5095),N(2073,5248,-0.226939)	RS(0,0)	8
バスタオル1補正Y lidar(2742,2776),-174	G(2068,5074),N(2073,5248,-0.226939)	RS(0,0)
バスタオル1補正X 無し lidar(2738,2804),4	G(2068,5074),N(2073,5237,-0.109560)	RS(0,0)	8
バスタオル1補正Y lidar(2738,2804),-146	G(2068,5091),N(2073,5237,-0.109560)	RS(0,0)
バスタオル1補正X 無し lidar(2738,2804),4	G(2068,5091),N(2073,5227,-0.016179)	RS(0,0)	8
バスタオル1補正Y lidar(2738,2804),-146	G(2068,5081),N(2073,5227,-0.016179)	RS(0,0)
バスタオル1補正X 無し lidar(2740,2833),4	G(2068,5081),N(2073,5216,0.042446)	RS(0,0)	8
バスタオル1補正Y lidar(2740,2833),-117	G(2068,5099),N(2073,5216,0.042446)	RS(0,0)
バスタオル1補正X 無し lidar(2740,2833),4	G(2068,5099),N(2073,5196,0.012277)	RS(0,0)	8
バスタオル1補正Y lidar(2740,2833),-117	G(2068,5079),N(2073,5196,0.012277)	RS(0,0)
バスタオル1補正X 無し lidar(2740,2833),4	G(2068,5079),N(2072,5186,-0.007275)	RS(0,0)	8
バスタオル1補正Y lidar(2740,2833),-117	G(2068,5069),N(2072,5186,-0.007275)	RS(0,0)
バスタオル1補正X 無し lidar(2729,2875),4	G(2068,5069),N(2071,5176,-0.026927)	RS(0,0)	8
バスタオル1補正Y lidar(2729,2875),-75	G(2068,5101),N(2071,5176,-0.026927)	RS(0,0)
バスタオル1補正X 無し lidar(2729,2875),4	G(2068,5101),N(2071,5167,-0.054404)	RS(0,0)	8
バスタオル1補正Y lidar(2729,2875),-75	G(2068,5092),N(2071,5167,-0.054404)	RS(0,0)
バスタオル1補正X 無し lidar(1861,2903),4	G(2068,5092),N(2070,5150,-0.137837)	RS(0,0)	8
バスタオル1補正Y lidar(1861,2903),-47	G(2068,5103),N(2070,5150,-0.137837)	RS(0,0)
バスタオル1補正X 無し lidar(1861,2903),4	G(2068,5103),N(2070,5143,-0.151643)	RS(0,0)	8
バスタオル1補正Y lidar(1861,2903),-47	G(2068,5096),N(2070,5143,-0.151643)	RS(0,0)
バスタオル1補正X 無し lidar(1693,2932),4	G(2068,5096),N(2070,5136,-0.171994)	RS(0,0)	8
バスタオル1補正Y lidar(1693,2932),-18	G(2068,5118),N(2070,5136,-0.171994)	RS(0,0)
バスタオル1補正X 無し lidar(1693,2932),4	G(2068,5118),N(2070,5130,-0.178364)	RS(0,0)	8
バスタオル1補正Y lidar(1693,2932),-18	G(2068,5112),N(2070,5130,-0.178364)	RS(0,0)
バスタオル1補正X 無し lidar(1693,2932),4	G(2068,5112),N(2070,5121,-0.087174)	RS(0,0)	9
バスタオル1補正Y lidar(1693,2932),-18	G(2068,5103),N(2070,5121,-0.087174)	RS(0,0)
バスタオル1補正X 無し lidar(1683,2957),4	G(2068,5103),N(2069,5119,0.015524)	RS(0,0)	9
バスタオル1補正Y lidar(1683,2957),7	G(2068,5126),N(2069,5119,0.015524)	RS(0,0)
バスタオル1補正X 無し lidar(1683,2957),4	G(2068,5126),N(2069,5119,0.086398)	RS(0,0)	9
バスタオル1補正Y lidar(1683,2957),7	G(2068,5126),N(2069,5119,0.086398)	RS(0,0)
バスタオル1補正X 無し lidar(1694,2978),4	G(2068,5126),N(2069,5120,0.082728)	RS(0,0)	9
バスタオル1補正Y lidar(1694,2978),28	G(2068,5148),N(2069,5120,0.082728)	RS(0,0)
バスタオル1補正X 無し lidar(1694,2978),4	G(2068,5148),N(2069,5121,0.084222)	RS(0,0)	9
バスタオル1補正Y lidar(1694,2978),28	G(2068,5149),N(2069,5121,0.084222)	RS(0,0)
バスタオル1補正X 無し lidar(1698,2976),4	G(2068,5149),N(2069,5122,0.095731)	RS(0,0)	9
バスタオル1補正Y lidar(1698,2976),26	G(2068,5148),N(2069,5122,0.095731)	RS(0,0)
バスタオル1補正X 無し lidar(1698,2976),4	G(2068,5148),N(2069,5123,0.122612)	RS(0,0)	9
バスタオル1補正Y lidar(1698,2976),26	G(2068,5149),N(2069,5123,0.122612)	RS(0,0)
バスタオル1補正X 無し lidar(1694,2968),4	G(2068,5149),N(2070,5124,0.196911)	RS(0,0)	9
バスタオル1補正Y lidar(1694,2968),18	G(2068,5142),N(2070,5124,0.196911)	RS(0,0)
バスタオル1補正X 無し lidar(1694,2968),4	G(2068,5142),N(2070,5125,0.220619)	RS(0,0)	9
バスタオル1補正Y lidar(1694,2968),18	G(2068,5143),N(2070,5125,0.220619)	RS(0,0)
バスタオル1補正X 無し lidar(1694,2968),4	G(2068,5143),N(2070,5125,0.233115)	RS(0,0)	9
バスタオル1補正Y lidar(1694,2968),18	G(2068,5143),N(2070,5125,0.233115)	RS(0,0)
バスタオル1補正X 無し lidar(1702,2967),4	G(2068,5143),N(2070,5126,0.218139)	RS(0,0)	9
バスタオル1補正Y lidar(1702,2967),17	G(2068,5143),N(2070,5126,0.218139)	RS(0,0)
バスタオル1補正X 無し lidar(1702,2967),4	G(2068,5143),N(2070,5126,0.177489)	RS(0,0)	9
バスタオル1補正Y lidar(1702,2967),17	G(2068,5143),N(2070,5126,0.177489)	RS(0,0)
バスタオル1補正X 無し lidar(1700,2967),4	G(2068,5143),N(2070,5127,0.168591)	RS(0,0)	9
バスタオル1補正Y lidar(1700,2967),17	G(2068,5144),N(2070,5127,0.168591)	RS(0,0)
バスタオル1補正X 無し lidar(1700,2967),4	G(2068,5144),N(2070,5128,0.169339)	RS(0,0)	9
バスタオル1補正Y lidar(1700,2967),17	G(2068,5145),N(2070,5128,0.169339)	RS(0,0)
バスタオル1補正X 無し lidar(1700,2963),4	G(2068,5145),N(2071,5130,0.113775)	RS(0,0)	9
バスタオル1補正Y lidar(1700,2963),13	G(2068,5143),N(2071,5130,0.113775)	RS(0,0)
バスタオル1補正X 無し lidar(1700,2963),4	G(2068,5143),N(2071,5131,0.074013)	RS(0,0)	9
バスタオル1補正Y lidar(1700,2963),13	G(2068,5144),N(2071,5131,0.074013)	RS(0,0)
バスタオル1補正X 無し lidar(1697,2959),4	G(2068,5144),N(2071,5132,0.038248)	RS(0,0)	9
バスタオル1補正Y lidar(1697,2959),9	G(2068,5141),N(2071,5132,0.038248)	RS(0,0)
バスタオル1補正X 無し lidar(1697,2959),4	G(2068,5141),N(2071,5134,-0.010556)	RS(0,0)	9
バスタオル1補正Y lidar(1697,2959),9	G(2068,5143),N(2071,5134,-0.010556)	RS(0,0)
バスタオル1補正X 無し lidar(1697,2959),4	G(2068,5143),N(2071,5137,-0.108208)	RS(0,0)	9
バスタオル1補正Y lidar(1697,2959),9	G(2068,5146),N(2071,5137,-0.108208)	RS(0,0)
バスタオル1補正X 無し lidar(1699,2958),4	G(2068,5146),N(2070,5139,-0.153820)	RS(0,0)	9
