11月6日21時27分	青 決勝
CS通信切れ
シーツ補正X 無視lidar(3239,1828),-591	G(-3690,6340),N(-3277,6345)	RS(0,0)
シーツ補正X 無視lidar(3239,1828),-591	G(-3690,6340),N(-3306,6341)	RS(0,0)
シーツ補正X 無視lidar(3327,1841),-503	G(-3690,6340),N(-3334,6338)	RS(0,0)
シーツ補正X 無視lidar(3327,1841),-503	G(-3690,6340),N(-3389,6332)	RS(0,0)
シーツ補正X 無視lidar(3405,1847),-425	G(-3690,6340),N(-3415,6330)	RS(0,0)
シーツ補正X 無視lidar(3405,1847),-425	G(-3690,6340),N(-3439,6329)	RS(0,0)
シーツ補正X 無視lidar(3479,1847),-351	G(-3690,6340),N(-3462,6328)	RS(0,0)
シーツ補正X 無視lidar(3479,1847),-351	G(-3690,6340),N(-3505,6327)	RS(0,0)
シーツ補正X 無視lidar(3479,1847),-351	G(-3690,6340),N(-3524,6328)	RS(0,0)
シーツ補正X lidar(3551,1852),-279	G(-3821,6340),N(-3542,6328)	RS(0,0)
シーツ補正X lidar(3551,1852),-279	G(-3838,6340),N(-3559,6329)	RS(0,0)
シーツ補正X lidar(3603,1859),-227	G(-3816,6340),N(-3589,6331)	RS(0,0)
シーツ補正X lidar(3603,1859),-227	G(-3828,6340),N(-3601,6332)	RS(0,0)
シーツ補正X lidar(3637,1853),-193	G(-3806,6340),N(-3613,6334)	RS(0,0)
シーツ補正X lidar(3637,1853),-193	G(-3816,6340),N(-3623,6335)	RS(0,0)
シーツ補正X lidar(3672,1848),-158	G(-3799,6340),N(-3641,6339)	RS(0,0)
シーツ補正X lidar(3672,1848),-158	G(-3807,6340),N(-3649,6340)	RS(0,0)
シーツ補正X lidar(3672,1848),-158	G(-3816,6340),N(-3658,6342)	RS(0,0)
シーツ補正X lidar(3694,1846),-136	G(-3810,6340),N(-3674,6347)	RS(0,0)
シーツ補正X lidar(3694,1846),-136	G(-3819,6340),N(-3683,6349)	RS(0,0)
シーツ補正X lidar(3716,1838),-114	G(-3806,6340),N(-3692,6350)	RS(0,0)
シーツ補正X lidar(3716,1838),-114	G(-3815,6340),N(-3701,6351)	RS(0,0)
シーツ補正X lidar(3744,1836),-86	G(-3805,6340),N(-3719,6351)	RS(0,0)
シーツ補正X lidar(3744,1836),-86	G(-3814,6340),N(-3728,6350)	RS(0,0)
シーツ補正X lidar(3772,1833),-58	G(-3794,6340),N(-3736,6349)	RS(0,0)
シーツ補正X lidar(3772,1833),-58	G(-3803,6340),N(-3745,6348)	RS(0,0)
シーツ補正X lidar(3772,1833),-58	G(-3817,6340),N(-3759,6345)	RS(0,0)
シーツ補正X lidar(3784,1835),-46	G(-3811,6340),N(-3765,6344)	RS(0,0)
展開２ lidar(3784,1835) now(-3771.188721,6342.812500,-0.200151)	RS(0,0)	10
シーツ補正X lidar(3784,1835),-46	G(-3817,6340),N(-3771,6342)	RS(0,0)
シーツ補正X lidar(3813,1835),-17	G(-3795,6340),N(-3778,6339)	RS(0,0)
シーツ補正X lidar(3813,1835),-17	G(-3798,6340),N(-3781,6338)	RS(0,0)
シーツ補正X lidar(3821,1840),-9	G(-3792,6340),N(-3783,6336)	RS(0,0)
シーツ補正X lidar(3821,1840),-9	G(-3792,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3827,1851),-3	G(-3787,6340),N(-3784,6335)	RS(0,0)
シーツ補正X lidar(3827,1851),-3	G(-3787,6340),N(-3784,6335)	RS(0,0)
シーツ補正X lidar(3827,1851),-3	G(-3787,6340),N(-3784,6335)	RS(0,0)
シーツ補正X lidar(3828,1846),-2	G(-3786,6340),N(-3784,6335)	RS(0,0)
シーツ補正X lidar(3828,1846),-2	G(-3786,6340),N(-3784,6335)	RS(0,0)
シーツ補正X lidar(3827,1849),-3	G(-3787,6340),N(-3784,6335)	RS(0,0)
シーツ補正X lidar(3827,1849),-3	G(-3786,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3830,1847),0	G(-3783,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3830,1847),0	G(-3783,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3824,1851),-6	G(-3789,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3824,1851),-6	G(-3789,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3824,1851),-6	G(-3789,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3820,1849),-10	G(-3793,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3820,1849),-10	G(-3793,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3829,1854),-1	G(-3784,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3829,1854),-1	G(-3784,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3824,1850),-6	G(-3789,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3824,1850),-6	G(-3789,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3823,1850),-7	G(-3790,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3823,1850),-7	G(-3790,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3823,1850),-7	G(-3790,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3832,1850),2	G(-3781,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3832,1850),2	G(-3781,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3828,1842),-2	G(-3785,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3828,1842),-2	G(-3785,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3824,1837),-6	G(-3789,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3824,1837),-6	G(-3789,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3823,1834),-7	G(-3790,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3823,1834),-7	G(-3790,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3823,1834),-7	G(-3790,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3829,1841),-1	G(-3784,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3829,1841),-1	G(-3784,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3821,1834),-9	G(-3792,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3821,1834),-9	G(-3792,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3822,1827),-8	G(-3791,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3822,1827),-8	G(-3791,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3824,1835),-6	G(-3789,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3824,1835),-6	G(-3789,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3824,1835),-6	G(-3789,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3824,1843),-6	G(-3789,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3824,1843),-6	G(-3789,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3831,1843),1	G(-3782,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3831,1843),1	G(-3782,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3828,1839),-2	G(-3785,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3828,1839),-2	G(-3785,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3822,1842),-8	G(-3791,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3822,1842),-8	G(-3791,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3822,1842),-8	G(-3791,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3828,1836),-2	G(-3785,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3828,1836),-2	G(-3785,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3824,1850),-6	G(-3789,6340),N(-3783,6335)	RS(0,0)
