11月5日20時47分	赤 決勝
シーツ補正X lidar(3084,1869),24	G(1791,6340),N(1767,6332)	RS(0,0)
シーツ補正X lidar(3084,1869),24	G(1798,6340),N(1774,6337)	RS(0,0)
シーツ補正X lidar(3084,1869),24	G(1802,6340),N(1778,6340)	RS(0,0)
シーツ補正X lidar(3082,1860),22	G(1803,6340),N(1781,6343)	RS(0,0)
シーツ補正X lidar(3082,1860),22	G(1806,6340),N(1784,6346)	RS(0,0)
シーツ補正X lidar(3065,1854),5	G(1795,6340),N(1790,6350)	RS(0,0)
シーツ補正X lidar(3065,1854),5	G(1798,6340),N(1793,6351)	RS(0,0)
シーツ補正X lidar(3052,1850),-8	G(1786,6340),N(1794,6351)	RS(0,0)
シーツ補正X lidar(3052,1850),-8	G(1788,6340),N(1796,6352)	RS(0,0)
シーツ補正X lidar(3047,1850),-13	G(1784,6340),N(1797,6350)	RS(0,0)
シーツ補正X lidar(3047,1850),-13	G(1785,6340),N(1798,6350)	RS(0,0)
シーツ補正X lidar(3047,1850),-13	G(1786,6340),N(1799,6348)	RS(0,0)
シーツ補正X lidar(3042,1853),-18	G(1782,6340),N(1800,6347)	RS(0,0)
シーツ補正X lidar(3042,1853),-18	G(1785,6340),N(1803,6345)	RS(0,0)
シーツ補正X lidar(3039,1846),-21	G(1782,6340),N(1803,6343)	RS(0,0)
シーツ補正X lidar(3039,1846),-21	G(1783,6340),N(1804,6342)	RS(0,0)
シーツ補正X lidar(3040,1852),-20	G(1783,6340),N(1803,6342)	RS(0,0)
シーツ補正X lidar(3040,1852),-20	G(1783,6340),N(1803,6342)	RS(0,0)
シーツ補正X lidar(3034,1852),-26	G(1777,6340),N(1803,6342)	RS(0,0)
シーツ補正X lidar(3034,1852),-26	G(1777,6340),N(1803,6342)	RS(0,0)
シーツ補正X lidar(3034,1852),-26	G(1777,6340),N(1803,6342)	RS(0,0)
シーツ補正X lidar(3036,1855),-24	G(1779,6340),N(1803,6342)	RS(0,0)
シーツ補正X lidar(3036,1855),-24	G(1779,6340),N(1803,6342)	RS(0,0)
シーツ補正X lidar(3033,1851),-27	G(1775,6340),N(1802,6342)	RS(0,0)
シーツ補正X lidar(3033,1851),-27	G(1775,6340),N(1802,6341)	RS(0,0)
シーツ補正X lidar(3040,1852),-20	G(1781,6340),N(1801,6340)	RS(0,0)
シーツ補正X lidar(3040,1852),-20	G(1780,6340),N(1800,6340)	RS(0,0)
シーツ補正X lidar(3039,1852),-21	G(1777,6340),N(1798,6337)	RS(0,0)
シーツ補正X lidar(3039,1852),-21	G(1776,6340),N(1797,6336)	RS(0,0)
シーツ補正X lidar(3039,1852),-21	G(1775,6340),N(1796,6335)	RS(0,0)
シーツ補正X lidar(3043,1846),-17	G(1777,6340),N(1794,6334)	RS(0,0)
シーツ補正X lidar(3043,1846),-17	G(1775,6340),N(1792,6332)	RS(0,0)
シーツ補正X lidar(3049,1846),-11	G(1781,6340),N(1792,6332)	RS(0,0)
シーツ補正X lidar(3049,1846),-11	G(1780,6340),N(1791,6331)	RS(0,0)
シーツ補正X lidar(3050,1862),-10	G(1780,6340),N(1790,6332)	RS(0,0)
シーツ補正X lidar(3050,1862),-10	G(1779,6340),N(1789,6332)	RS(0,0)
シーツ補正X lidar(3051,1864),-9	G(1779,6340),N(1788,6332)	RS(0,0)
シーツ補正X lidar(3051,1864),-9	G(1778,6340),N(1787,6332)	RS(0,0)
シーツ補正X lidar(3051,1864),-9	G(1777,6340),N(1786,6333)	RS(0,0)
シーツ補正X lidar(3053,1862),-7	G(1778,6340),N(1785,6333)	RS(0,0)
シーツ補正X lidar(3053,1862),-7	G(1778,6340),N(1785,6334)	RS(0,0)
シーツ補正X lidar(3052,1861),-8	G(1777,6340),N(1785,6334)	RS(0,0)
シーツ補正X lidar(3052,1861),-8	G(1777,6340),N(1785,6333)	RS(0,0)
シーツ補正X lidar(3054,1864),-6	G(1778,6340),N(1784,6334)	RS(0,0)
シーツ補正X lidar(3054,1864),-6	G(1778,6340),N(1784,6334)	RS(0,0)
シーツ補正X lidar(3061,1872),1	G(1785,6340),N(1784,6334)	RS(0,0)
シーツ補正X lidar(3061,1872),1	G(1785,6340),N(1784,6334)	RS(0,0)
シーツ補正X lidar(3061,1872),1	G(1785,6340),N(1784,6334)	RS(0,0)
シーツ補正X lidar(3052,1864),-8	G(1776,6340),N(1784,6334)	RS(0,0)
シーツ補正X lidar(3052,1864),-8	G(1776,6340),N(1784,6334)	RS(0,0)
シーツ補正X lidar(3059,1861),-1	G(1783,6340),N(1784,6334)	RS(0,0)
シーツ補正X lidar(3059,1861),-1	G(1783,6340),N(1784,6334)	RS(0,0)
シーツ補正X lidar(3070,1857),10	G(1794,6340),N(1784,6334)	RS(0,0)
