11月14日20時51分	青 予選
11月14日20時51分	青 予選
11月14日20時51分	赤 予選
11月14日20時51分	赤 予選
11月14日20時52分	赤 予選
11月14日20時52分	赤 予選
11月14日21時17分	赤 予選
11月14日21時17分	赤 予選
バスタオル1補正X OK lidar(2718,2824),RS(0,0),50000	G(1766,5270),N(1774,5343,-0.851842)
バスタオル1補正X 無し lidar(2926,2810),898	G(1766,5270),N(1774,5346,-0.719577)	RS(0,0)	8
バスタオル1補正Y lidar(2926,2810),-140	G(1766,5206),N(1774,5346,-0.719577)	RS(0,0)
バスタオル1補正X 無し lidar(2926,2810),898	G(1766,5206),N(1774,5347,-0.619672)	RS(0,0)	8
バスタオル1補正Y lidar(2926,2810),-140	G(1766,5207),N(1774,5347,-0.619672)	RS(0,0)
バスタオル1補正X 無し lidar(2925,2794),898	G(1766,5207),N(1775,5348,-0.584532)	RS(0,0)	8
RS無視 RS_Y:0,50000,0 X:0	lidar(2925,2794),-156	G(1766,5240),N(1775,5348,-0.584532)
バスタオル1補正X 無し lidar(2925,2794),898	G(1766,5240),N(1775,5347,-0.601763)	RS(0,0)	8
RS無視 RS_Y:0,50000,0 X:0	lidar(2925,2794),-156	G(1766,5240),N(1775,5347,-0.601763)
バスタオル1補正X 無し lidar(2931,2796),898	G(1766,5240),N(1774,5347,-0.621618)	RS(0,0)	8
RS無視 RS_Y:0,50000,0 X:0	lidar(2931,2796),-154	G(1766,5240),N(1774,5347,-0.621618)
バスタオル1補正X 無し lidar(2931,2796),898	G(1766,5240),N(1774,5346,-0.641723)	RS(0,0)	8
RS無視 RS_Y:0,50000,0 X:0	lidar(2931,2796),-154	G(1766,5240),N(1774,5346,-0.641723)
バスタオル1補正X 無し lidar(2931,2796),898	G(1766,5240),N(1773,5345,-0.661246)	RS(0,0)	8
RS無視 RS_Y:0,50000,0 X:0	lidar(2931,2796),-154	G(1766,5240),N(1773,5345,-0.661246)
バスタオル1補正X 無し lidar(2927,2803),898	G(1766,5240),N(1772,5343,-0.692473)	RS(0,0)	8
バスタオル1補正Y lidar(2927,2803),-147	G(1766,5196),N(1772,5343,-0.692473)	RS(0,0)
バスタオル1補正X 無し lidar(2927,2803),898	G(1766,5196),N(1770,5341,-0.726324)	RS(0,0)	9
バスタオル1補正Y lidar(2927,2803),-147	G(1766,5194),N(1770,5341,-0.726324)	RS(0,0)
バスタオル1補正X 無し lidar(2937,2808),898	G(1766,5194),N(1769,5339,-0.804037)	RS(0,0)	9
バスタオル1補正Y lidar(2937,2808),-142	G(1766,5197),N(1769,5339,-0.804037)	RS(0,0)
バスタオル1補正X 無し lidar(2937,2808),898	G(1766,5197),N(1768,5337,-0.891438)	RS(0,0)	9
バスタオル1補正Y lidar(2937,2808),-142	G(1766,5195),N(1768,5337,-0.891438)	RS(0,0)
バスタオル1補正X 無し lidar(2926,2808),898	G(1766,5195),N(1765,5331,-1.171937)	RS(0,0)	9
バスタオル1補正Y lidar(2926,2808),-142	G(1766,5189),N(1765,5331,-1.171937)	RS(0,0)
バスタオル1補正X 無し lidar(2926,2808),898	G(1766,5189),N(1763,5326,-1.382530)	RS(0,0)	9
バスタオル1補正Y lidar(2926,2808),-142	G(1766,5184),N(1763,5326,-1.382530)	RS(0,0)
バスタオル1補正X 無し lidar(2882,2813),898	G(1766,5184),N(1761,5321,-1.574010)	RS(0,0)	9
バスタオル1補正Y lidar(2882,2813),-137	G(1766,5184),N(1761,5321,-1.574010)	RS(0,0)
バスタオル1補正X 無し lidar(2882,2813),898	G(1766,5184),N(1758,5305,-1.730097)	RS(0,0)	9
バスタオル1補正Y lidar(2882,2813),-137	G(1766,5168),N(1758,5305,-1.730097)	RS(0,0)
バスタオル1補正X 無し lidar(2882,2813),898	G(1766,5168),N(1756,5296,-1.743037)	RS(0,0)	9
バスタオル1補正Y lidar(2882,2813),-137	G(1766,5159),N(1756,5296,-1.743037)	RS(0,0)
バスタオル1補正X 無し lidar(1947,2823),898	G(1766,5159),N(1754,5285,-1.702163)	RS(0,0)	9
バスタオル1補正Y lidar(1947,2823),-127	G(1766,5158),N(1754,5285,-1.702163)	RS(0,0)
バスタオル1補正X 無し lidar(1947,2823),898	G(1766,5158),N(1754,5273,-1.607299)	RS(0,0)	9
バスタオル1補正Y lidar(1947,2823),-127	G(1766,5146),N(1754,5273,-1.607299)	RS(0,0)
バスタオル1補正X 無し lidar(1887,2851),898	G(1766,5146),N(1753,5249,-1.318810)	RS(0,0)	9
バスタオル1補正Y lidar(1887,2851),-99	G(1766,5150),N(1753,5249,-1.318810)	RS(0,0)
バスタオル1補正X 無し lidar(1887,2851),898	G(1766,5150),N(1752,5235,-1.218259)	RS(0,0)	9
バスタオル1補正Y lidar(1887,2851),-99	G(1766,5136),N(1752,5235,-1.218259)	RS(0,0)
バスタオル1補正X 無し lidar(1899,2885),898	G(1766,5136),N(1752,5222,-1.159102)	RS(0,0)	9
バスタオル1補正Y lidar(1899,2885),-65	G(1766,5157),N(1752,5222,-1.159102)	RS(0,0)
バスタオル1補正X 無し lidar(1899,2885),898	G(1766,5157),N(1752,5209,-1.108995)	RS(0,0)	9
バスタオル1補正Y lidar(1899,2885),-65	G(1766,5144),N(1752,5209,-1.108995)	RS(0,0)
バスタオル1補正X 無し lidar(1900,2925),898	G(1766,5144),N(1752,5184,-1.000854)	RS(0,0)	9
バスタオル1補正Y lidar(1900,2925),-25	G(1766,5159),N(1752,5184,-1.000854)	RS(0,0)
バスタオル1補正X 無し lidar(1900,2925),898	G(1766,5159),N(1753,5173,-0.978177)	RS(0,0)	9
バスタオル1補正Y lidar(1900,2925),-25	G(1766,5148),N(1753,5173,-0.978177)	RS(0,0)
バスタオル1補正X 無し lidar(1900,2925),898	G(1766,5148),N(1753,5164,-0.980662)	RS(0,0)	9
バスタオル1補正Y lidar(1900,2925),-25	G(1766,5139),N(1753,5164,-0.980662)	RS(0,0)
バスタオル1補正X 無し lidar(1896,2962),898	G(1766,5139),N(1754,5156,-0.986016)	RS(0,0)	9
バスタオル1補正Y lidar(1896,2962),12	G(1766,5168),N(1754,5156,-0.986016)	RS(0,0)
バスタオル1補正X 無し lidar(1896,2962),898	G(1766,5168),N(1756,5146,-0.956260)	RS(0,0)	9
バスタオル1補正Y lidar(1896,2962),12	G(1766,5158),N(1756,5146,-0.956260)	RS(0,0)
バスタオル1補正X 無し lidar(1898,2986),898	G(1766,5158),N(1757,5143,-0.916141)	RS(0,0)	9
バスタオル1補正Y lidar(1898,2986),36	G(1766,5179),N(1757,5143,-0.916141)	RS(0,0)
バスタオル1補正X 無し lidar(1898,2986),898	G(1766,5179),N(1759,5143,-0.902510)	RS(0,0)	9
バスタオル1補正Y lidar(1898,2986),36	G(1766,5179),N(1759,5143,-0.902510)	RS(0,0)
バスタオル1補正X 無し lidar(1902,2997),898	G(1766,5179),N(1760,5145,-0.852023)	RS(0,0)	9
バスタオル1補正Y lidar(1902,2997),47	G(1766,5192),N(1760,5145,-0.852023)	RS(0,0)
バスタオル1補正X 無し lidar(1902,2997),898	G(1766,5192),N(1762,5147,-0.866435)	RS(0,0)	9
バスタオル1補正Y lidar(1902,2997),47	G(1766,5194),N(1762,5147,-0.866435)	RS(0,0)
バスタオル1補正X 無し lidar(1906,2994),898	G(1766,5194),N(1763,5150,-0.897258)	RS(0,0)	9
バスタオル1補正Y lidar(1906,2994),44	G(1766,5194),N(1763,5150,-0.897258)	RS(0,0)
バスタオル1補正X 無し lidar(1906,2994),898	G(1766,5194),N(1766,5153,-0.946470)	RS(0,0)	9
バスタオル1補正Y lidar(1906,2994),44	G(1766,5197),N(1766,5153,-0.946470)	RS(0,0)
バスタオル1補正X 無し lidar(1906,2994),898	G(1766,5197),N(1770,5162,-0.987535)	RS(0,0)	10
バスタオル1補正Y lidar(1906,2994),44	G(1766,5206),N(1770,5162,-0.987535)	RS(0,0)
バスタオル1補正X 無し lidar(1900,2994),898	G(1766,5206),N(1771,5167,-0.918952)	RS(0,0)	10
バスタオル1補正Y lidar(1900,2994),44	G(1766,5211),N(1771,5167,-0.918952)	RS(0,0)
バスタオル1補正X 無し lidar(1900,2994),898	G(1766,5211),N(1772,5172,-0.808399)	RS(0,0)	10
バスタオル1補正Y lidar(1900,2994),44	G(1766,5216),N(1772,5172,-0.808399)	RS(0,0)
バスタオル1補正X 無し lidar(1894,2993),898	G(1766,5216),N(1772,5176,-0.690062)	RS(0,0)	10
バスタオル1補正Y lidar(1894,2993),43	G(1766,5219),N(1772,5176,-0.690062)	RS(0,0)
バスタオル1補正X 無し lidar(1894,2993),898	G(1766,5219),N(1772,5185,-0.517815)	RS(0,0)	10
バスタオル1補正Y lidar(1894,2993),43	G(1766,5228),N(1772,5185,-0.517815)	RS(0,0)
バスタオル1補正X 無し lidar(1889,2972),898	G(1766,5228),N(1772,5189,-0.430906)	RS(0,0)	10
バスタオル1補正Y lidar(1889,2972),22	G(1766,5211),N(1772,5189,-0.430906)	RS(0,0)
バスタオル1補正X 無し lidar(1889,2972),898	G(1766,5211),N(1771,5194,-0.388589)	RS(0,0)	10
バスタオル1補正Y lidar(1889,2972),22	G(1766,5216),N(1771,5194,-0.388589)	RS(0,0)
バスタオル1補正X 無し lidar(1883,2958),898	G(1766,5216),N(1771,5199,-0.396216)	RS(0,0)	10
バスタオル1補正Y lidar(1883,2958),8	G(1766,5207),N(1771,5199,-0.396216)	RS(0,0)
バスタオル1補正X 無し lidar(1883,2958),898	G(1766,5207),N(1771,5207,-0.445060)	RS(0,0)	10
バスタオル1補正Y lidar(1883,2958),8	G(1766,5215),N(1771,5207,-0.445060)	RS(0,0)
バスタオル1補正X 無し lidar(1883,2958),898	G(1766,5215),N(1770,5210,-0.445543)	RS(0,0)	10
バスタオル1補正Y lidar(1883,2958),8	G(1766,5218),N(1770,5210,-0.445543)	RS(0,0)
バスタオル1補正X 無し lidar(1880,2943),898	G(1766,5218),N(1769,5212,-0.445543)	RS(0,0)	10
バスタオル1補正Y lidar(1880,2943),-7	G(1766,5205),N(1769,5212,-0.445543)	RS(0,0)
バスタオル1補正X 無し lidar(1880,2943),898	G(1766,5205),N(1769,5214,-0.455977)	RS(0,0)	10
バスタオル1補正Y lidar(1880,2943),-7	G(1766,5207),N(1769,5214,-0.455977)	RS(0,0)
バスタオル1補正X 無し lidar(1876,2930),898	G(1766,5207),N(1767,5215,-0.455020)	RS(0,0)	10
バスタオル1補正Y lidar(1876,2930),-20	G(1766,5195),N(1767,5215,-0.455020)	RS(0,0)
バスタオル1補正X 無し lidar(1876,2930),898	G(1766,5195),N(1767,5215,-0.441086)	RS(0,0)	10
バスタオル1補正Y lidar(1876,2930),-20	G(1766,5195),N(1767,5215,-0.441086)	RS(0,0)
バスタオル1補正X 無し lidar(1879,2932),898	G(1766,5195),N(1768,5215,-0.441086)	RS(0,0)	10
バスタオル1補正Y lidar(1879,2932),-18	G(1766,5197),N(1768,5215,-0.441086)	RS(0,0)
バスタオル1補正X 無し lidar(1879,2932),898	G(1766,5197),N(1768,5214,-0.438271)	RS(0,0)	10
バスタオル1補正Y lidar(1879,2932),-18	G(1766,5196),N(1768,5214,-0.438271)	RS(0,0)
バスタオル1補正X 無し lidar(1879,2927),898	G(1766,5196),N(1767,5213,-0.422458)	RS(0,0)	10
バスタオル1補正Y lidar(1879,2927),-23	G(1766,5190),N(1767,5213,-0.422458)	RS(0,0)
バスタオル1補正X 無し lidar(1879,2927),898	G(1766,5190),N(1767,5213,-0.420347)	RS(0,0)	10
バスタオル1補正Y lidar(1879,2927),-23	G(1766,5190),N(1767,5213,-0.420347)	RS(0,0)
バスタオル1補正X 無し lidar(1879,2927),898	G(1766,5190),N(1767,5212,-0.418228)	RS(0,0)	10
バスタオル1補正Y lidar(1879,2927),-23	G(1766,5189),N(1767,5212,-0.418228)	RS(0,0)
バスタオル1補正X 無し lidar(1880,2933),898	G(1766,5189),N(1767,5212,-0.421047)	RS(0,0)	10
バスタオル1補正Y lidar(1880,2933),-17	G(1766,5195),N(1767,5212,-0.421047)	RS(0,0)
バスタオル1補正X 無し lidar(1880,2933),898	G(1766,5195),N(1767,5212,-0.421047)	RS(0,0)	10
バスタオル1補正Y lidar(1880,2933),-17	G(1766,5195),N(1767,5212,-0.421047)	RS(0,0)
バスタオル1補正X 無し lidar(1881,2934),898	G(1766,5195),N(1767,5212,-0.421047)	RS(0,0)	10
バスタオル1補正Y lidar(1881,2934),-16	G(1766,5196),N(1767,5212,-0.421047)	RS(0,0)
バスタオル1補正X 無し lidar(1881,2934),898	G(1766,5196),N(1767,5212,-0.421047)	RS(0,0)	10
バスタオル1補正Y lidar(1881,2934),-16	G(1766,5196),N(1767,5212,-0.421047)	RS(0,0)
バスタオル1補正X 無し lidar(1890,2931),898	G(1766,5196),N(1766,5212,-0.421047)	RS(0,0)	10
バスタオル1補正Y lidar(1890,2931),-19	G(1766,5193),N(1766,5212,-0.421047)	RS(0,0)
バスタオル1補正X 無し lidar(1890,2931),898	G(1766,5193),N(1766,5211,-0.408863)	RS(0,0)	10
バスタオル1補正Y lidar(1890,2931),-19	G(1766,5192),N(1766,5211,-0.408863)	RS(0,0)
バスタオル1補正X 無し lidar(1895,2931),898	G(1766,5192),N(1765,5211,-0.408863)	RS(0,0)	11
バスタオル1補正Y lidar(1895,2931),-19	G(1766,5192),N(1765,5211,-0.408863)	RS(0,0)
バスタオル1補正X 無し lidar(1895,2931),898	G(1766,5192),N(1764,5210,-0.384362)	RS(0,0)	11
バスタオル1補正Y lidar(1895,2931),-19	G(1766,5191),N(1764,5210,-0.384362)	RS(0,0)
バスタオル1補正X 無し lidar(1895,2931),898	G(1766,5191),N(1764,5208,-0.319167)	RS(0,0)	11
バスタオル1補正Y lidar(1895,2931),-19	G(1766,5189),N(1764,5208,-0.319167)	RS(0,0)
バスタオル1補正X 無し lidar(1892,2933),898	G(1766,5189),N(1763,5207,-0.292303)	RS(0,0)	11
バスタオル1補正Y lidar(1892,2933),-17	G(1766,5190),N(1763,5207,-0.292303)	RS(0,0)
バスタオル1補正X 無し lidar(1892,2933),898	G(1766,5190),N(1763,5206,-0.244219)	RS(0,0)	11
バスタオル1補正Y lidar(1892,2933),-17	G(1766,5189),N(1763,5206,-0.244219)	RS(0,0)
バスタオル1補正X 無し lidar(1892,2933),898	G(1766,5189),N(1762,5204,-0.145342)	RS(0,0)	11
バスタオル1補正Y lidar(1892,2933),-17	G(1766,5187),N(1762,5204,-0.145342)	RS(0,0)
バスタオル1補正X 無し lidar(1892,2933),898	G(1766,5187),N(1762,5202,-0.141109)	RS(0,0)	11
バスタオル1補正Y lidar(1892,2933),-17	G(1766,5185),N(1762,5202,-0.141109)	RS(0,0)
バスタオル1補正X 無し lidar(1889,2937),898	G(1766,5185),N(1762,5201,-0.120867)	RS(0,0)	11
バスタオル1補正Y lidar(1889,2937),-13	G(1766,5188),N(1762,5201,-0.120867)	RS(0,0)
バスタオル1補正X 無し lidar(1889,2937),898	G(1766,5188),N(1762,5199,-0.104967)	RS(0,0)	11
バスタオル1補正Y lidar(1889,2937),-13	G(1766,5186),N(1762,5199,-0.104967)	RS(0,0)
バスタオル1補正X 無し lidar(1893,2942),898	G(1766,5186),N(1763,5196,-0.111824)	RS(0,0)	11
バスタオル1補正Y lidar(1893,2942),-8	G(1766,5188),N(1763,5196,-0.111824)	RS(0,0)
バスタオル1補正X 無し lidar(1893,2942),898	G(1766,5188),N(1763,5194,-0.151167)	RS(0,0)	11
バスタオル1補正Y lidar(1893,2942),-8	G(1766,5186),N(1763,5194,-0.151167)	RS(0,0)
バスタオル1補正X 無し lidar(1893,2942),898	G(1766,5186),N(1763,5192,-0.206611)	RS(0,0)	11
バスタオル1補正Y lidar(1893,2942),-8	G(1766,5184),N(1763,5192,-0.206611)	RS(0,0)
バスタオル1補正X 無し lidar(1892,2949),898	G(1766,5184),N(1763,5190,-0.290983)	RS(0,0)	11
バスタオル1補正Y lidar(1892,2949),-1	G(1766,5189),N(1763,5190,-0.290983)	RS(0,0)
バスタオル1補正X 無し lidar(1892,2949),898	G(1766,5189),N(1764,5186,-0.461584)	RS(0,0)	11
バスタオル1補正Y lidar(1892,2949),-1	G(1766,5185),N(1764,5186,-0.461584)	RS(0,0)
バスタオル1補正X 無し lidar(1889,2954),898	G(1766,5185),N(1765,5185,-0.557678)	RS(0,0)	11
バスタオル1補正Y lidar(1889,2954),4	G(1766,5189),N(1765,5185,-0.557678)	RS(0,0)
バスタオル1補正X 無し lidar(1889,2954),898	G(1766,5189),N(1765,5184,-0.601560)	RS(0,0)	11
バスタオル1補正Y lidar(1889,2954),4	G(1766,5188),N(1765,5184,-0.601560)	RS(0,0)
バスタオル1補正X 無し lidar(1890,2961),898	G(1766,5188),N(1765,5183,-0.629583)	RS(0,0)	11
バスタオル1補正Y lidar(1890,2961),11	G(1766,5194),N(1765,5183,-0.629583)	RS(0,0)
バスタオル1補正X 無し lidar(1890,2961),898	G(1766,5194),N(1765,5183,-0.626593)	RS(0,0)	11
バスタオル1補正Y lidar(1890,2961),11	G(1766,5194),N(1765,5183,-0.626593)	RS(0,0)
バスタオル1補正X 無し lidar(1884,2961),898	G(1766,5194),N(1765,5183,-0.626593)	RS(0,0)	11
バスタオル1補正Y lidar(1884,2961),11	G(1766,5194),N(1765,5183,-0.626593)	RS(0,0)
バスタオル1補正X 無し lidar(1884,2961),898	G(1766,5194),N(1765,5183,-0.626593)	RS(0,0)	11
バスタオル1補正Y lidar(1884,2961),11	G(1766,5194),N(1765,5183,-0.626593)	RS(0,0)
バスタオル1補正X 無し lidar(1884,2961),898	G(1766,5194),N(1765,5183,-0.626593)	RS(0,0)	11
バスタオル1補正Y lidar(1884,2961),11	G(1766,5194),N(1765,5183,-0.626593)	RS(0,0)
バスタオル1補正X 無し lidar(1882,2962),898	G(1766,5194),N(1765,5183,-0.626593)	RS(0,0)	11
バスタオル1補正Y lidar(1882,2962),12	G(1766,5195),N(1765,5183,-0.626593)	RS(0,0)
