11月3日20時16分	赤 予選
11月3日20時16分	赤 予選
バスタオル1補正X フェンス lidar(2854,2833),-11	G(1911,5340),N(1922,5328,0.028725)	RS(737,3486)	8
バスタオル1補正X フェンス lidar(2856,2837),-9	G(1913,5340),N(1922,5328,0.045347)	RS(737,3486)	8
バスタオル1補正X フェンス lidar(2856,2837),-9	G(1913,5340),N(1922,5329,0.045347)	RS(738,3493)	8
バスタオル1補正X フェンス lidar(2856,2837),-9	G(1912,5340),N(1921,5329,0.045347)	RS(738,3493)	8
バスタオル1補正X フェンス lidar(2859,2836),-6	G(1914,5340),N(1920,5330,0.045347)	RS(738,3493)	8
バスタオル1補正X フェンス lidar(2859,2836),-6	G(1914,5340),N(1920,5331,0.045347)	RS(741,3506)	8
バスタオル1補正X フェンス lidar(2859,2844),-6	G(1913,5340),N(1919,5332,0.053336)	RS(743,3512)	8
バスタオル1補正X フェンス lidar(2859,2844),-6	G(1911,5340),N(1917,5333,0.074984)	RS(743,3512)	9
バスタオル1補正X フェンス lidar(2871,2837),6	G(1922,5340),N(1916,5334,0.078597)	RS(742,3505)	9
バスタオル1補正X フェンス lidar(2871,2837),6	G(1921,5340),N(1915,5336,0.082226)	RS(742,3505)	9
バスタオル1補正X フェンス lidar(2868,2837),3	G(1917,5340),N(1914,5337,0.081892)	RS(745,3504)	9
バスタオル1補正X フェンス lidar(2868,2837),3	G(1915,5340),N(1912,5339,0.088272)	RS(746,3509)	9
バスタオル1補正X フェンス lidar(2868,2837),3	G(1913,5340),N(1910,5341,0.087721)	RS(746,3509)	9
バスタオル1補正X フェンス lidar(2863,2837),-2	G(1907,5340),N(1909,5342,0.097184)	RS(745,3495)	9
バスタオル1補正X フェンス lidar(2863,2837),-2	G(1907,5340),N(1909,5342,0.097184)	RS(749,3498)	9
バスタオル1補正X フェンス lidar(2868,2840),3	G(1911,5340),N(1908,5342,0.090683)	RS(749,3498)	9
バスタオル1補正X フェンス lidar(2868,2840),3	G(1911,5340),N(1908,5342,0.090683)	RS(744,3468)	9
バスタオル1補正X フェンス lidar(2867,2834),2	G(1910,5340),N(1908,5342,0.090683)	RS(744,3468)	9
バスタオル1補正X フェンス lidar(2867,2834),2	G(1910,5340),N(1908,5342,0.090683)	RS(747,3475)	9
バスタオル1補正X フェンス lidar(2866,2825),1	G(1909,5340),N(1908,5342,0.090683)	RS(750,3484)	9
バスタオル1補正X フェンス lidar(2866,2825),1	G(1909,5340),N(1908,5342,0.090683)	RS(750,3484)	9
バスタオル1補正X フェンス lidar(2866,2825),1	G(1909,5340),N(1908,5342,0.090683)	RS(749,3475)	9
バスタオル1補正X フェンス lidar(2877,2831),12	G(1920,5340),N(1908,5342,0.090683)	RS(751,3484)	9
バスタオル1補正X フェンス lidar(2877,2831),12	G(1920,5340),N(1908,5342,0.090683)	RS(751,3484)	9
バスタオル1補正X フェンス lidar(2872,2827),7	G(1915,5340),N(1908,5342,0.090683)	RS(752,3486)	9
バスタオル1補正X フェンス lidar(2872,2827),7	G(1915,5340),N(1908,5342,0.090683)	RS(753,3494)	9
バスタオル1補正X フェンス lidar(2870,2826),5	G(1913,5340),N(1908,5342,0.090683)	RS(753,3494)	9
バスタオル1補正X フェンス lidar(2870,2826),5	G(1913,5340),N(1908,5342,0.090683)	RS(753,3493)	9
バスタオル1補正X フェンス lidar(2867,2820),2	G(1910,5340),N(1908,5342,0.090683)	RS(753,3495)	9
バスタオル1補正X フェンス lidar(2867,2820),2	G(1910,5340),N(1908,5342,0.090683)	RS(753,3495)	9
バスタオル1補正X フェンス lidar(2867,2820),2	G(1910,5340),N(1908,5342,0.090683)	RS(752,3486)	9
バスタオル1補正X フェンス lidar(2879,2814),14	G(1922,5340),N(1908,5342,0.090683)	RS(752,3490)	9
バスタオル1補正X フェンス lidar(2879,2814),14	G(1922,5340),N(1908,5342,0.090683)	RS(752,3490)	10
バスタオル1補正X フェンス lidar(2883,2822),18	G(1926,5340),N(1908,5342,0.090683)	RS(752,3488)	10
バスタオル1補正X フェンス lidar(2883,2822),18	G(1926,5340),N(1908,5342,0.090683)	RS(752,3488)	10
バスタオル1補正X フェンス lidar(2868,2822),3	G(1911,5340),N(1908,5342,0.090683)	RS(752,3486)	10
バスタオル1補正X フェンス lidar(2868,2822),3	G(1911,5340),N(1908,5342,0.090683)	RS(751,3483)	10
バスタオル1補正X フェンス lidar(2880,2820),15	G(1923,5340),N(1908,5342,0.090683)	RS(751,3483)	10
バスタオル1補正X フェンス lidar(2880,2820),15	G(1923,5340),N(1908,5342,0.090683)	RS(750,3480)	10
バスタオル1補正X フェンス lidar(2880,2820),15	G(1923,5340),N(1908,5342,0.090683)	RS(753,3494)	10
バスタオル1補正X フェンス lidar(2875,2827),10	G(1918,5340),N(1908,5342,0.090683)	RS(753,3494)	10
バスタオル1補正X フェンス lidar(2875,2827),10	G(1918,5340),N(1908,5342,0.090683)	RS(753,3495)	10
バスタオル1補正X フェンス lidar(2880,2821),15	G(1923,5340),N(1908,5342,0.090683)	RS(753,3495)	10
バスタオル1補正X フェンス lidar(2880,2821),15	G(1923,5340),N(1908,5342,0.090683)	RS(755,3500)	10
バスタオル1補正X フェンス lidar(2877,2830),12	G(1920,5340),N(1908,5342,0.090683)	RS(753,3492)	10
バスタオル1補正X フェンス lidar(2877,2830),12	G(1920,5340),N(1908,5342,0.090683)	RS(753,3492)	10
バスタオル1補正X フェンス lidar(2876,2830),11	G(1919,5340),N(1908,5342,0.090683)	RS(753,3492)	10
バスタオル1補正X フェンス lidar(2876,2830),11	G(1919,5340),N(1908,5342,0.090683)	RS(753,3492)	10
バスタオル1補正X フェンス lidar(2876,2830),11	G(1919,5340),N(1908,5342,0.090683)	RS(753,3492)	10
