10月27日15時20分	青 予選
10月27日15時23分	青 予選
10月27日15時25分	青 予選
展開 now(-307.954620,5198.767090,-0.057819)	6
展開 now(-308.458649,5347.450684,-0.001447)	6
展開 now(-309.446991,5421.635742,0.092532)	6
展開 now(-311.986237,5512.642578,0.463653)	6
展開 now(-317.928619,5591.096191,1.468202)	6
展開 now(-335.728455,5665.556641,3.013390)	6
展開 now(-355.018005,5702.211426,3.522273)	6
展開 now(-386.043915,5727.988770,3.816167)	6
展開 now(-404.871399,5729.208496,4.017564)	6
展開 now(-446.385986,5719.933594,4.187963)	6
展開 now(-478.717682,5708.864746,3.927195)	7
展開 now(-523.967224,5693.016113,3.052368)	7
展開 now(-562.747131,5681.793457,2.484861)	7
展開 now(-625.815491,5667.949707,2.346868)	7
展開 now(-661.499512,5663.328125,2.491836)	7
展開 now(-741.829285,5659.521484,2.376605)	7
展開 now(-801.788818,5661.258789,2.008376)	7
展開 now(-882.369629,5665.766602,1.446163)	7
展開 now(-952.995911,5672.890137,1.173627)	7
展開 now(-1048.271484,5682.216309,1.110646)	7
展開 now(-1129.428223,5687.566406,0.996140)	8
展開 now(-1255.471680,5694.427246,0.824746)	8
展開 now(-1324.398682,5696.921387,0.769238)	8
展開 now(-1464.375854,5697.929199,0.338648)	8
展開 now(-1556.012329,5700.724121,-0.312353)	8
展開 now(-1654.420044,5709.298828,-1.013261)	8
展開 now(-1714.977051,5719.441406,-1.731751)	8
展開 now(-1789.689575,5743.129883,-3.773714)	8
展開 now(-1817.153198,5756.150391,-4.966252)	8
展開 now(-1850.978760,5774.188965,-7.429138)	8
展開 now(-1861.533936,5779.766602,-8.602624)	9
展開 now(-1862.599487,5778.983887,-8.507895)	9
展開 now(-1857.419067,5773.224609,-7.400962)	9
展開 now(-1843.845947,5756.408691,-4.785437)	9
展開 now(-1836.396240,5746.817383,-3.331285)	9
展開 now(-1823.001221,5729.794434,-1.112217)	9
展開 now(-1814.731323,5720.621582,-0.856990)	9
展開 now(-1808.285522,5713.977539,-0.877490)	9
展開 now(-1807.676392,5713.032715,-0.861807)	9
展開 now(-1807.671753,5713.344727,-0.861807)	9
展開 now(-1807.666992,5713.656250,-0.861807)	10
展開 now(-1807.666992,5713.656250,-0.861807)	10
展開 now(-1807.666992,5713.656250,-0.861807)	10
展開 now(-1807.662354,5713.967773,-0.861807)	10
展開 now(-1807.662354,5713.967773,-0.861807)	10
展開 now(-1807.662354,5713.967773,-0.861807)	10
展開 now(-1807.662354,5713.967773,-0.861807)	10
展開 now(-1807.662354,5713.967773,-0.861807)	10
展開 now(-1807.662354,5713.967773,-0.861807)	10
展開 now(-1807.662354,5713.967773,-0.861807)	10
展開 now(-1807.662354,5713.967773,-0.861807)	11
展開 now(-1807.662354,5713.967773,-0.861807)	11
展開 now(-1807.662354,5713.967773,-0.861807)	11
展開 now(-1807.662354,5713.967773,-0.861807)	11
展開 now(-1807.662354,5713.967773,-0.861807)	11
展開 now(-1807.662354,5713.967773,-0.861807)	11
展開 now(-1807.662354,5713.967773,-0.861807)	11
展開 now(-1807.662354,5713.967773,-0.861807)	11
展開 now(-1807.662354,5713.967773,-0.861807)	11
展開 now(-1807.662354,5713.967773,-0.861807)	11
展開 now(-1807.662354,5713.967773,-0.861807)	12
展開 now(-1807.662354,5713.967773,-0.861807)	12
展開 now(-1807.662354,5713.967773,-0.861807)	12
展開 now(-1807.662354,5713.967773,-0.861807)	12
展開 now(-1807.662354,5713.967773,-0.861807)	12
展開 now(-1807.662354,5713.967773,-0.861807)	12
展開 now(-1807.662354,5713.967773,-0.861807)	12
展開 now(-1807.662354,5713.967773,-0.861807)	12
展開 now(-1807.662354,5713.967773,-0.861807)	12
展開 now(-1807.662354,5713.967773,-0.861807)	12
展開 now(-1807.662354,5713.967773,-0.861807)	13
展開 now(-1807.662354,5713.967773,-0.861807)	13
展開 now(-1807.662354,5713.967773,-0.861807)	13
展開 now(-1807.662354,5713.967773,-0.861807)	13
展開 now(-1807.662354,5713.967773,-0.861807)	13
展開 now(-1807.662354,5713.967773,-0.861807)	13
展開 now(-1807.662354,5713.967773,-0.861807)	13
展開 now(-1807.662354,5713.967773,-0.861807)	13
展開 now(-1807.662354,5713.967773,-0.861807)	13
展開 now(-1808.267090,5715.223633,-0.845690)	13
展開 now(-1808.267090,5715.223633,-0.831980)	14
展開 now(-1808.587769,5714.604980,-0.831980)	14
10月27日15時27分	青 予選
展開 now(-305.713959,5151.454590,-0.364356)	6
展開 now(-305.770966,5249.955078,-0.272949)	6
展開 now(-305.784454,5324.765137,-0.204668)	6
展開 now(-307.393463,5422.332520,-0.038067)	6
展開 now(-316.447754,5558.154297,1.106719)	6
展開 now(-324.466827,5613.439453,1.995211)	6
展開 now(-351.304718,5692.844727,3.979129)	6
展開 now(-368.143524,5724.995605,4.842216)	7
展開 now(-392.045776,5740.362305,5.319304)	7
展開 now(-417.950836,5739.515625,5.238022)	7
展開 now(-458.453339,5726.136230,4.209893)	7
展開 now(-495.783508,5709.352539,3.206289)	7
展開 now(-558.332397,5685.278809,2.192162)	7
展開 now(-592.254517,5674.679199,2.042234)	7
展開 now(-666.459473,5657.192383,2.408056)	7
展開 now(-706.263367,5654.166504,2.649360)	7
展開 now(-793.960815,5654.390625,2.575566)	7
展開 now(-857.762390,5658.296387,2.099241)	8
展開 now(-961.877930,5668.181152,1.123328)	8
展開 now(-1018.114624,5674.625000,0.930460)	8
展開 now(-1139.190674,5682.038086,0.910756)	8
展開 now(-1203.437988,5683.832031,0.867175)	8
展開 now(-1339.421631,5689.728027,0.334130)	8
展開 now(-1433.872803,5693.030273,-0.129088)	8
展開 now(-1549.764404,5700.250000,-0.809098)	8
展開 now(-1631.315063,5707.583496,-1.211249)	8
展開 now(-1726.331055,5721.439941,-2.067405)	8
展開 now(-1765.547119,5730.908691,-2.905840)	9
展開 now(-1823.132324,5756.096680,-5.168726)	9
展開 now(-1842.103760,5769.901367,-6.359813)	9
展開 now(-1851.020996,5779.427734,-7.047043)	9
展開 now(-1849.549194,5778.620117,-6.881048)	9
展開 now(-1840.663574,5770.751465,-5.418554)	9
展開 now(-1835.417480,5762.487793,-4.219249)	9
展開 now(-1823.200195,5745.308594,-1.804615)	9
展開 now(-1814.130737,5733.246582,-1.040603)	9
展開 now(-1805.591187,5721.573242,-0.890937)	9
展開 now(-1802.532349,5717.785156,-0.882971)	10
展開 now(-1801.913818,5717.463867,-0.877206)	10
展開 now(-1802.537109,5717.473633,-0.863524)	10
展開 now(-1802.853516,5717.166504,-0.863524)	10
展開 now(-1802.853516,5717.166504,-0.863524)	10
展開 now(-1802.848877,5717.478027,-0.863524)	10
展開 now(-1802.848877,5717.478027,-0.863524)	10
展開 now(-1802.848877,5717.478027,-0.863524)	10
展開 now(-1802.848877,5717.478027,-0.863524)	10
展開 now(-1802.844116,5717.790039,-0.863524)	10
展開 now(-1802.844116,5717.790039,-0.863524)	11
展開 now(-1802.844116,5717.790039,-0.863524)	11
展開 now(-1802.839478,5718.101562,-0.863524)	11
展開 now(-1802.839478,5718.101562,-0.863524)	11
展開 now(-1802.839478,5718.101562,-0.863524)	11
展開 now(-1802.839478,5718.101562,-0.863524)	11
展開 now(-1802.839478,5718.101562,-0.863524)	11
展開 now(-1802.839478,5718.101562,-0.863524)	11
展開 now(-1802.839478,5718.101562,-0.863524)	11
