10月18日21時49分	青 予選
シーツ補正X 無視lidar(2740,1887),-1110	G(-3750,6340),N(-2946,6340)	RS(0,0)
シーツ補正X 無視lidar(2863,1849),-987	G(-3750,6340),N(-2971,6346)	RS(0,0)
シーツ補正X 無視lidar(2863,1849),-987	G(-3750,6340),N(-3021,6355)	RS(0,0)
シーツ補正X 無視lidar(2988,1819),-862	G(-3750,6340),N(-3071,6361)	RS(0,0)
シーツ補正X 無視lidar(2988,1819),-862	G(-3750,6340),N(-3121,6366)	RS(0,0)
シーツ補正X 無視lidar(2988,1819),-862	G(-3750,6340),N(-3170,6368)	RS(0,0)
シーツ補正X 無視lidar(3083,1804),-767	G(-3750,6340),N(-3219,6371)	RS(0,0)
シーツ補正X 無視lidar(3083,1804),-767	G(-3750,6340),N(-3244,6372)	RS(0,0)
シーツ補正X 無視lidar(3201,1808),-649	G(-3750,6340),N(-3292,6373)	RS(0,0)
シーツ補正X 無視lidar(3201,1808),-649	G(-3750,6340),N(-3341,6372)	RS(0,0)
シーツ補正X 無視lidar(3201,1808),-649	G(-3750,6340),N(-3390,6370)	RS(0,0)
シーツ補正X 無視lidar(3327,1817),-523	G(-3750,6340),N(-3438,6367)	RS(0,0)
シーツ補正X 無視lidar(3327,1817),-523	G(-3750,6340),N(-3484,6363)	RS(0,0)
シーツ補正X 無視lidar(3445,1813),-405	G(-3750,6340),N(-3527,6359)	RS(0,0)
シーツ補正X 無視lidar(3445,1813),-405	G(-3750,6340),N(-3566,6355)	RS(0,0)
シーツ補正X 無視lidar(3445,1813),-405	G(-3750,6340),N(-3584,6353)	RS(0,0)
シーツ補正X 無視lidar(3575,1831),-275	G(-3750,6340),N(-3617,6349)	RS(0,0)
シーツ補正X 無視lidar(3575,1831),-275	G(-3750,6340),N(-3645,6345)	RS(0,0)
シーツ補正X lidar(3702,1839),-148	G(-3816,6340),N(-3668,6339)	RS(0,0)
シーツ補正X lidar(3702,1839),-148	G(-3836,6340),N(-3688,6334)	RS(0,0)
シーツ補正X lidar(3702,1839),-148	G(-3853,6340),N(-3705,6328)	RS(0,0)
シーツ補正X lidar(3862,1857),12	G(-3701,6340),N(-3713,6325)	RS(0,0)
展開２ lidar(3862,1857) now(-3727.350830,6321.762207,-2.754221)	RS(0,0)	8
シーツ補正X lidar(3862,1857),12	G(-3715,6340),N(-3727,6321)	RS(0,0)
シーツ補正X lidar(3818,1868),-32	G(-3770,6340),N(-3738,6317)	RS(0,0)
シーツ補正X lidar(3818,1868),-32	G(-3779,6340),N(-3747,6314)	RS(0,0)
シーツ補正X lidar(3818,1868),-32	G(-3782,6340),N(-3750,6313)	RS(0,0)
シーツ補正X lidar(3755,1883),-95	G(-3843,6340),N(-3748,6313)	RS(0,0)
シーツ補正X lidar(3755,1883),-95	G(-3840,6340),N(-3745,6314)	RS(0,0)
シーツ補正X lidar(3729,1889),-121	G(-3866,6340),N(-3745,6313)	RS(0,0)
シーツ補正X lidar(3729,1889),-121	G(-3865,6340),N(-3744,6313)	RS(0,0)
シーツ補正X lidar(3729,1889),-121	G(-3865,6340),N(-3744,6316)	RS(0,0)
シーツ補正X lidar(3731,1892),-119	G(-3863,6340),N(-3744,6318)	RS(0,0)
シーツ補正X lidar(3731,1892),-119	G(-3864,6340),N(-3745,6320)	RS(0,0)
シーツ補正X lidar(3725,1887),-125	G(-3871,6340),N(-3746,6323)	RS(0,0)
シーツ補正X lidar(3725,1887),-125	G(-3874,6340),N(-3749,6325)	RS(0,0)
シーツ補正X lidar(3725,1887),-125	G(-3879,6340),N(-3754,6328)	RS(0,0)
シーツ補正X lidar(3710,1876),-140	G(-3896,6340),N(-3756,6330)	RS(0,0)
シーツ補正X lidar(3710,1876),-140	G(-3902,6340),N(-3762,6333)	RS(0,0)
シーツ補正X lidar(3734,1867),-116	G(-3885,6340),N(-3769,6334)	RS(0,0)
シーツ補正X lidar(3734,1867),-116	G(-3893,6340),N(-3777,6337)	RS(0,0)
シーツ補正X lidar(3734,1867),-116	G(-3902,6340),N(-3786,6341)	RS(0,0)
シーツ補正X lidar(3777,1866),-73	G(-3871,6340),N(-3798,6345)	RS(0,0)
シーツ補正X lidar(3777,1866),-73	G(-3877,6340),N(-3804,6346)	RS(0,0)
シーツ補正X lidar(3811,1862),-39	G(-3856,6340),N(-3817,6347)	RS(0,0)
展開２ lidar(3811,1862) now(-3829.988281,6350.178711,0.805346)	RS(0,0)	8
シーツ補正X lidar(3811,1862),-39	G(-3868,6340),N(-3829,6350)	RS(0,0)
シーツ補正X lidar(3811,1862),-39	G(-3880,6340),N(-3841,6351)	RS(0,0)
シーツ補正X lidar(3884,1852),34	G(-3818,6340),N(-3852,6351)	RS(0,0)
シーツ補正X lidar(3884,1852),34	G(-3826,6340),N(-3860,6352)	RS(0,0)
シーツ補正X lidar(3920,1852),70	G(-3796,6340),N(-3866,6352)	RS(0,0)
シーツ補正X lidar(3920,1852),70	G(-3799,6340),N(-3869,6351)	RS(0,0)
シーツ補正X lidar(3920,1852),70	G(-3801,6340),N(-3871,6348)	RS(0,0)
シーツ補正X lidar(3953,1849),103	G(-3769,6340),N(-3872,6348)	RS(0,0)
シーツ補正X lidar(3953,1849),103	G(-3769,6340),N(-3872,6347)	RS(0,0)
シーツ補正X lidar(3966,1853),116	G(-3756,6340),N(-3872,6347)	RS(0,0)
シーツ補正X lidar(3966,1853),116	G(-3756,6340),N(-3872,6347)	RS(0,0)
シーツ補正X lidar(3966,1853),116	G(-3756,6340),N(-3872,6347)	RS(0,0)
シーツ補正X lidar(3921,1853),71	G(-3802,6340),N(-3873,6345)	RS(0,0)
シーツ補正X lidar(3921,1853),71	G(-3802,6340),N(-3873,6345)	RS(0,0)
シーツ補正X lidar(3887,1852),37	G(-3835,6340),N(-3872,6345)	RS(0,0)
シーツ補正X lidar(3887,1852),37	G(-3835,6340),N(-3872,6345)	RS(0,0)
シーツ補正X lidar(3887,1852),37	G(-3834,6340),N(-3871,6346)	RS(0,0)
シーツ補正X lidar(3869,1855),19	G(-3850,6340),N(-3869,6346)	RS(0,0)
シーツ補正X lidar(3869,1855),19	G(-3848,6340),N(-3867,6346)	RS(0,0)
シーツ補正X lidar(3860,1851),10	G(-3856,6340),N(-3866,6345)	RS(0,0)
シーツ補正X lidar(3860,1851),10	G(-3855,6340),N(-3865,6347)	RS(0,0)
シーツ補正X lidar(3860,1851),10	G(-3853,6340),N(-3863,6347)	RS(0,0)
シーツ補正X lidar(3860,1859),10	G(-3853,6340),N(-3863,6346)	RS(0,0)
シーツ補正X lidar(3860,1859),10	G(-3853,6340),N(-3863,6346)	RS(0,0)
シーツ補正X lidar(3884,1856),34	G(-3828,6340),N(-3862,6346)	RS(0,0)
シーツ補正X lidar(3884,1856),34	G(-3828,6340),N(-3862,6346)	RS(0,0)
シーツ補正X lidar(3884,1856),34	G(-3828,6340),N(-3862,6346)	RS(0,0)
シーツ補正X lidar(3881,1857),31	G(-3829,6340),N(-3860,6345)	RS(0,0)
シーツ補正X lidar(3881,1857),31	G(-3829,6340),N(-3860,6345)	RS(0,0)
シーツ補正X lidar(3883,1853),33	G(-3827,6340),N(-3860,6344)	RS(0,0)
シーツ補正X lidar(3883,1853),33	G(-3826,6340),N(-3859,6345)	RS(0,0)
シーツ補正X lidar(3883,1853),33	G(-3824,6340),N(-3857,6345)	RS(0,0)
シーツ補正X lidar(3883,1857),33	G(-3823,6340),N(-3856,6344)	RS(0,0)
シーツ補正X lidar(3883,1857),33	G(-3820,6340),N(-3853,6343)	RS(0,0)
シーツ補正X lidar(3901,1857),51	G(-3800,6340),N(-3851,6343)	RS(0,0)
シーツ補正X lidar(3901,1857),51	G(-3798,6340),N(-3849,6343)	RS(0,0)
シーツ補正X lidar(3901,1857),51	G(-3794,6340),N(-3845,6341)	RS(0,0)
シーツ補正X lidar(3882,1851),32	G(-3810,6340),N(-3842,6342)	RS(0,0)
シーツ補正X lidar(3882,1851),32	G(-3806,6340),N(-3838,6341)	RS(0,0)
シーツ補正X lidar(3871,1852),21	G(-3813,6340),N(-3834,6340)	RS(0,0)
シーツ補正X lidar(3871,1852),21	G(-3807,6340),N(-3828,6340)	RS(0,0)
シーツ補正X lidar(3871,1852),21	G(-3803,6340),N(-3824,6338)	RS(0,0)
シーツ補正X lidar(3865,1860),15	G(-3805,6340),N(-3820,6339)	RS(0,0)
シーツ補正X lidar(3865,1860),15	G(-3803,6340),N(-3818,6339)	RS(0,0)
シーツ補正X lidar(3838,1863),-12	G(-3825,6340),N(-3813,6339)	RS(0,0)
シーツ補正X lidar(3838,1863),-12	G(-3821,6340),N(-3809,6338)	RS(0,0)
シーツ補正X lidar(3838,1863),-12	G(-3817,6340),N(-3805,6338)	RS(0,0)
シーツ補正X lidar(3823,1860),-27	G(-3829,6340),N(-3802,6337)	RS(0,0)
シーツ補正X lidar(3823,1860),-27	G(-3827,6340),N(-3800,6336)	RS(0,0)
シーツ補正X lidar(3833,1864),-17	G(-3817,6340),N(-3800,6336)	RS(0,0)
シーツ補正X lidar(3833,1864),-17	G(-3817,6340),N(-3800,6337)	RS(0,0)
シーツ補正X lidar(3833,1864),-17	G(-3817,6340),N(-3800,6337)	RS(0,0)
シーツ補正X lidar(3812,1861),-38	G(-3838,6340),N(-3800,6336)	RS(0,0)
シーツ補正X lidar(3812,1861),-38	G(-3838,6340),N(-3800,6336)	RS(0,0)
シーツ補正X lidar(3818,1865),-32	G(-3831,6340),N(-3799,6337)	RS(0,0)
シーツ補正X lidar(3818,1865),-32	G(-3831,6340),N(-3799,6338)	RS(0,0)
シーツ補正X lidar(3818,1865),-32	G(-3831,6340),N(-3799,6338)	RS(0,0)
シーツ補正X lidar(3824,1859),-26	G(-3825,6340),N(-3799,6338)	RS(0,0)
シーツ補正X lidar(3824,1859),-26	G(-3826,6340),N(-3800,6338)	RS(0,0)
シーツ補正X lidar(3837,1851),-13	G(-3813,6340),N(-3800,6338)	RS(0,0)
シーツ補正X lidar(3837,1851),-13	G(-3813,6340),N(-3800,6338)	RS(0,0)
シーツ補正X lidar(3837,1851),-13	G(-3813,6340),N(-3800,6338)	RS(0,0)
シーツ補正X lidar(3836,1853),-14	G(-3815,6340),N(-3801,6338)	RS(0,0)
シーツ補正X lidar(3836,1853),-14	G(-3815,6340),N(-3801,6338)	RS(0,0)
シーツ補正X lidar(3841,1853),-9	G(-3810,6340),N(-3801,6338)	RS(0,0)
シーツ補正X lidar(3841,1853),-9	G(-3810,6340),N(-3801,6338)	RS(0,0)
シーツ補正X lidar(3841,1853),-9	G(-3810,6340),N(-3801,6337)	RS(0,0)
シーツ補正X lidar(3846,1852),-4	G(-3805,6340),N(-3801,6337)	RS(0,0)
シーツ補正X lidar(3846,1852),-4	G(-3805,6340),N(-3801,6337)	RS(0,0)
シーツ補正X lidar(3828,1853),-22	G(-3823,6340),N(-3801,6337)	RS(0,0)
シーツ補正X lidar(3828,1853),-22	G(-3823,6340),N(-3801,6337)	RS(0,0)
シーツ補正X lidar(3828,1853),-22	G(-3823,6340),N(-3801,6337)	RS(0,0)
シーツ補正X lidar(3837,1851),-13	G(-3814,6340),N(-3801,6337)	RS(0,0)
シーツ補正X lidar(3837,1851),-13	G(-3814,6340),N(-3801,6337)	RS(0,0)
シーツ補正X lidar(3816,1852),-34	G(-3835,6340),N(-3801,6337)	RS(0,0)
シーツ補正X lidar(3816,1852),-34	G(-3835,6340),N(-3801,6337)	RS(0,0)
シーツ補正X lidar(3816,1852),-34	G(-3835,6340),N(-3801,6337)	RS(0,0)
シーツ補正X lidar(3807,1848),-43	G(-3844,6340),N(-3801,6337)	RS(0,0)
シーツ補正X lidar(3807,1848),-43	G(-3844,6340),N(-3801,6337)	RS(0,0)
シーツ補正X lidar(3812,1854),-38	G(-3839,6340),N(-3801,6337)	RS(0,0)
シーツ補正X lidar(3812,1854),-38	G(-3839,6340),N(-3801,6337)	RS(0,0)
シーツ補正X lidar(3812,1854),-38	G(-3839,6340),N(-3801,6337)	RS(0,0)
シーツ補正X lidar(3817,1844),-33	G(-3834,6340),N(-3801,6337)	RS(0,0)
シーツ補正X lidar(3817,1844),-33	G(-3834,6340),N(-3801,6337)	RS(0,0)
シーツ補正X lidar(3821,1844),-29	G(-3830,6340),N(-3801,6337)	RS(0,0)
シーツ補正X lidar(3821,1844),-29	G(-3830,6340),N(-3801,6337)	RS(0,0)
シーツ補正X lidar(3821,1844),-29	G(-3830,6340),N(-3801,6337)	RS(0,0)
シーツ補正X lidar(3825,1844),-25	G(-3826,6340),N(-3801,6337)	RS(0,0)
シーツ補正X lidar(3825,1844),-25	G(-3826,6340),N(-3801,6337)	RS(0,0)
シーツ補正X lidar(3835,1842),-15	G(-3816,6340),N(-3801,6337)	RS(0,0)
シーツ補正X lidar(3835,1842),-15	G(-3816,6340),N(-3801,6337)	RS(0,0)
シーツ補正X lidar(3835,1842),-15	G(-3816,6340),N(-3801,6337)	RS(0,0)
シーツ補正X lidar(3831,1844),-19	G(-3820,6340),N(-3801,6337)	RS(0,0)
シーツ補正X lidar(3831,1844),-19	G(-3819,6340),N(-3800,6337)	RS(0,0)
シーツ補正X lidar(3815,1847),-35	G(-3835,6340),N(-3800,6337)	RS(0,0)
シーツ補正X lidar(3815,1847),-35	G(-3835,6340),N(-3800,6337)	RS(0,0)
シーツ補正X lidar(3815,1847),-35	G(-3835,6340),N(-3800,6337)	RS(0,0)
シーツ補正X lidar(3832,1844),-18	G(-3818,6340),N(-3800,6337)	RS(0,0)
シーツ補正X lidar(3832,1844),-18	G(-3818,6340),N(-3800,6337)	RS(0,0)
シーツ補正X lidar(3821,1836),-29	G(-3829,6340),N(-3800,6337)	RS(0,0)
シーツ補正X lidar(3821,1836),-29	G(-3828,6340),N(-3799,6337)	RS(0,0)
シーツ補正X lidar(3821,1836),-29	G(-3828,6340),N(-3799,6337)	RS(0,0)
シーツ補正X lidar(3820,1844),-30	G(-3829,6340),N(-3799,6337)	RS(0,0)
シーツ補正X lidar(3820,1844),-30	G(-3829,6340),N(-3799,6337)	RS(0,0)
シーツ補正X lidar(3843,1840),-7	G(-3806,6340),N(-3799,6337)	RS(0,0)
シーツ補正X lidar(3843,1840),-7	G(-3806,6340),N(-3799,6337)	RS(0,0)
シーツ補正X lidar(3843,1840),-7	G(-3806,6340),N(-3799,6337)	RS(0,0)
シーツ補正X lidar(3831,1841),-19	G(-3818,6340),N(-3799,6337)	RS(0,0)
シーツ補正X lidar(3831,1841),-19	G(-3818,6340),N(-3799,6337)	RS(0,0)
シーツ補正X lidar(3842,1853),-8	G(-3807,6340),N(-3799,6337)	RS(0,0)
シーツ補正X lidar(3842,1853),-8	G(-3807,6340),N(-3799,6337)	RS(0,0)
シーツ補正X lidar(3842,1853),-8	G(-3807,6340),N(-3799,6337)	RS(0,0)
シーツ補正X lidar(3836,1850),-14	G(-3813,6340),N(-3799,6337)	RS(0,0)
シーツ補正X lidar(3836,1850),-14	G(-3813,6340),N(-3799,6337)	RS(0,0)
シーツ補正X lidar(3841,1855),-9	G(-3808,6340),N(-3799,6337)	RS(0,0)
シーツ補正X lidar(3841,1855),-9	G(-3808,6340),N(-3799,6337)	RS(0,0)
シーツ補正X lidar(3841,1855),-9	G(-3808,6340),N(-3799,6337)	RS(0,0)
シーツ補正X lidar(3836,1854),-14	G(-3813,6340),N(-3799,6337)	RS(0,0)
シーツ補正X lidar(3836,1854),-14	G(-3813,6340),N(-3799,6337)	RS(0,0)
シーツ補正X lidar(3842,1850),-8	G(-3807,6340),N(-3799,6337)	RS(0,0)
シーツ補正X lidar(3842,1850),-8	G(-3807,6340),N(-3799,6337)	RS(0,0)
シーツ補正X lidar(3842,1850),-8	G(-3807,6340),N(-3799,6337)	RS(0,0)
シーツ補正X lidar(3851,1853),1	G(-3797,6340),N(-3798,6337)	RS(0,0)
シーツ補正X lidar(3851,1853),1	G(-3797,6340),N(-3798,6337)	RS(0,0)
シーツ補正X lidar(3836,1851),-14	G(-3812,6340),N(-3798,6337)	RS(0,0)
シーツ補正X lidar(3836,1851),-14	G(-3812,6340),N(-3798,6337)	RS(0,0)
シーツ補正X lidar(3836,1851),-14	G(-3812,6340),N(-3798,6337)	RS(0,0)
シーツ補正X lidar(3844,1857),-6	G(-3804,6340),N(-3798,6337)	RS(0,0)
シーツ補正X lidar(3844,1857),-6	G(-3804,6340),N(-3798,6337)	RS(0,0)
シーツ補正X lidar(3838,1851),-12	G(-3810,6340),N(-3798,6337)	RS(0,0)
シーツ補正X lidar(3838,1851),-12	G(-3810,6340),N(-3798,6337)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1851,501
シーツ補正X lidar(3838,1851),-12	G(-3810,6740),N(-3798,6337)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1851,501
シーツ補正X lidar(3831,1863),-19	G(-3817,6740),N(-3798,6337)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1863,513
シーツ補正X lidar(3831,1863),-19	G(-3817,6740),N(-3798,6337)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1863,513
シーツ補正X lidar(3832,1853),-18	G(-3816,6740),N(-3798,6337)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1853,503
シーツ補正X lidar(3832,1853),-18	G(-3816,6740),N(-3798,6337)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1853,503
シーツ補正X lidar(3832,1853),-18	G(-3816,6740),N(-3798,6337)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1853,503
シーツ補正X lidar(3838,1845),-12	G(-3810,6740),N(-3798,6337)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1845,495
シーツ補正X lidar(3838,1845),-12	G(-3810,6740),N(-3798,6337)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1845,495
シーツ補正X lidar(3846,1843),-4	G(-3802,6740),N(-3798,6337)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1843,493
シーツ補正X lidar(3846,1843),-4	G(-3802,6740),N(-3798,6337)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1843,493
シーツ補正X lidar(3846,1843),-4	G(-3802,6740),N(-3798,6337)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1843,493
シーツ補正X lidar(3856,1852),6	G(-3792,6740),N(-3798,6338)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1852,502
シーツ補正X lidar(3856,1852),6	G(-3793,6740),N(-3799,6338)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1852,502
シーツ補正X lidar(3842,1854),-8	G(-3807,6740),N(-3799,6337)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1854,504
シーツ補正X lidar(3842,1854),-8	G(-3807,6740),N(-3799,6338)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1854,504
シーツ補正X lidar(3842,1854),-8	G(-3807,6740),N(-3799,6338)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1854,504
シーツ補正X lidar(3837,1856),-13	G(-3812,6740),N(-3799,6339)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1856,506
シーツ補正X lidar(3837,1856),-13	G(-3812,6740),N(-3799,6338)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1856,506
シーツ補正X lidar(3845,1854),-5	G(-3805,6740),N(-3800,6339)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1854,504
シーツ補正X lidar(3845,1854),-5	G(-3806,6740),N(-3801,6341)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1854,504
シーツ補正X lidar(3845,1854),-5	G(-3807,6740),N(-3802,6344)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1854,504
シーツ補正X lidar(3833,1850),-17	G(-3820,6740),N(-3803,6347)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1850,500
シーツ補正X lidar(3833,1850),-17	G(-3821,6740),N(-3804,6349)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1850,500
シーツ補正X lidar(3818,1849),-32	G(-3836,6740),N(-3804,6351)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1849,499
シーツ補正X lidar(3818,1849),-32	G(-3838,6740),N(-3806,6354)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1849,499
シーツ補正X lidar(3818,1849),-32	G(-3838,6740),N(-3806,6360)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1849,499
シーツ補正X lidar(3826,1841),-24	G(-3831,6740),N(-3807,6365)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1841,491
シーツ補正X lidar(3826,1841),-24	G(-3833,6740),N(-3809,6372)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1841,491
シーツ補正X lidar(3837,1830),-13	G(-3824,6740),N(-3811,6378)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1830,480
シーツ補正X lidar(3837,1830),-13	G(-3826,6740),N(-3813,6381)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1830,480
シーツ補正X lidar(3837,1830),-13	G(-3829,6740),N(-3816,6388)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1830,480
シーツ補正X lidar(3825,1831),-25	G(-3845,6740),N(-3820,6395)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1831,481
シーツ補正X lidar(3825,1831),-25	G(-3846,6740),N(-3821,6404)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1831,481
シーツ補正X lidar(3868,1807),18	G(-3805,6740),N(-3823,6413)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1807,457
シーツ補正X lidar(3868,1807),18	G(-3807,6740),N(-3825,6420)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1807,457
シーツ補正X lidar(3868,1807),18	G(-3809,6740),N(-3827,6429)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1807,457
シーツ補正X lidar(3888,1785),38	G(-3791,6740),N(-3829,6434)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1785,435
シーツ補正X lidar(3888,1785),38	G(-3792,6740),N(-3830,6443)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1785,435
シーツ補正X lidar(3911,1761),61	G(-3771,6740),N(-3832,6453)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1761,411
シーツ補正X lidar(3911,1761),61	G(-3773,6740),N(-3834,6463)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1761,411
シーツ補正X lidar(3911,1761),61	G(-3775,6740),N(-3836,6473)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1761,411
