10月18日21時49分	青 予選
シーツ補正前 lidar(1579,2498) RS_Y:0,X:0	now(-1653.314819,5691.203613,0.380987)	8
シーツ補正X 無視lidar(1579,2498),-2271	G(-3750,6340),N(-1688,5691)	RS(0,0)
シーツ補正X 無視lidar(1579,2498),-2271	G(-3750,6340),N(-1720,5693)	RS(0,0)
シーツ補正X 無視lidar(1660,2494),-2190	G(-3750,6340),N(-1748,5695)	RS(0,0)
シーツ補正X 無視lidar(1660,2494),-2190	G(-3750,6340),N(-1772,5697)	RS(0,0)
シーツ補正X 無視lidar(1738,2501),-2112	G(-3750,6340),N(-1793,5699)	RS(0,0)
シーツ補正X 無視lidar(1738,2501),-2112	G(-3750,6340),N(-1813,5702)	RS(0,0)
シーツ補正X 無視lidar(1738,2501),-2112	G(-3750,6340),N(-1822,5704)	RS(0,0)
シーツ補正X 無視lidar(1793,2495),-2057	G(-3750,6340),N(-1840,5707)	RS(0,0)
シーツ補正X 無視lidar(1793,2495),-2057	G(-3750,6340),N(-1855,5711)	RS(0,0)
シーツ補正X 無視lidar(1824,2489),-2026	G(-3750,6340),N(-1870,5717)	RS(0,0)
シーツ補正X 無視lidar(1824,2489),-2026	G(-3750,6340),N(-1884,5725)	RS(0,0)
シーツ補正X 無視lidar(1824,2489),-2026	G(-3750,6340),N(-1900,5734)	RS(0,0)
シーツ補正X 無視lidar(1867,2460),-1983	G(-3750,6340),N(-1917,5745)	RS(0,0)
シーツ補正X 無視lidar(1867,2460),-1983	G(-3750,6340),N(-1925,5751)	RS(0,0)
シーツ補正X 無視lidar(1915,2439),-1935	G(-3750,6340),N(-1943,5764)	RS(0,0)
シーツ補正X 無視lidar(1915,2439),-1935	G(-3750,6340),N(-1963,5778)	RS(0,0)
シーツ補正X 無視lidar(1915,2439),-1935	G(-3750,6340),N(-1985,5793)	RS(0,0)
シーツ補正X 無視lidar(1960,2410),-1890	G(-3750,6340),N(-2010,5810)	RS(0,0)
シーツ補正X 無視lidar(1960,2410),-1890	G(-3750,6340),N(-2037,5827)	RS(0,0)
シーツ補正X 無視lidar(2015,2378),-1835	G(-3750,6340),N(-2067,5847)	RS(0,0)
シーツ補正X 無視lidar(2015,2378),-1835	G(-3750,6340),N(-2099,5867)	RS(0,0)
シーツ補正X 無視lidar(2015,2378),-1835	G(-3750,6340),N(-2115,5877)	RS(0,0)
シーツ補正X 無視lidar(2086,2327),-1764	G(-3750,6340),N(-2149,5898)	RS(0,0)
シーツ補正X 無視lidar(2086,2327),-1764	G(-3750,6340),N(-2185,5921)	RS(0,0)
シーツ補正X 無視lidar(2155,2274),-1695	G(-3750,6340),N(-2223,5944)	RS(0,0)
シーツ補正X 無視lidar(2155,2274),-1695	G(-3750,6340),N(-2262,5968)	RS(0,0)
シーツ補正X 無視lidar(2155,2274),-1695	G(-3750,6340),N(-2302,5992)	RS(0,0)
シーツ補正X 無視lidar(2242,2230),-1608	G(-3750,6340),N(-2342,6019)	RS(0,0)
シーツ補正X 無視lidar(2242,2230),-1608	G(-3750,6340),N(-2363,6033)	RS(0,0)
シーツ補正X 無視lidar(2325,2169),-1525	G(-3750,6340),N(-2405,6061)	RS(0,0)
シーツ補正X 無視lidar(2325,2169),-1525	G(-3750,6340),N(-2448,6091)	RS(0,0)
シーツ補正X 無視lidar(2325,2169),-1525	G(-3750,6340),N(-2492,6121)	RS(0,0)
シーツ補正X 無視lidar(2427,2106),-1423	G(-3750,6340),N(-2537,6151)	RS(0,0)
シーツ補正X 無視lidar(2427,2106),-1423	G(-3750,6340),N(-2582,6182)	RS(0,0)
シーツ補正X 無視lidar(2518,2030),-1332	G(-3750,6340),N(-2628,6210)	RS(0,0)
シーツ補正X 無視lidar(2518,2030),-1332	G(-3750,6340),N(-2675,6237)	RS(0,0)
シーツ補正X 無視lidar(2518,2030),-1332	G(-3750,6340),N(-2699,6249)	RS(0,0)
シーツ補正X 無視lidar(2628,1947),-1222	G(-3750,6340),N(-2748,6272)	RS(0,0)
シーツ補正X 無視lidar(2628,1947),-1222	G(-3750,6340),N(-2797,6293)	RS(0,0)
シーツ補正X 無視lidar(2740,1887),-1110	G(-3750,6340),N(-2847,6311)	RS(0,0)
シーツ補正X 無視lidar(2740,1887),-1110	G(-3750,6340),N(-2896,6328)	RS(0,0)
