11月5日19時39分	赤 決勝
11月5日19時39分	赤 決勝
シーツ補正前 lidar(3350,2432) RS_Y:0,X:0	now(1612.926514,5724.518066,0.343868)	6
シーツ補正X lidar(3282,2444),222	G(1874,6340),N(1652,5712)	RS(0,0)
シーツ補正X lidar(3282,2444),222	G(1892,6340),N(1670,5708)	RS(0,0)
シーツ補正X lidar(3228,2466),168	G(1853,6340),N(1685,5702)	RS(0,0)
シーツ補正X lidar(3228,2466),168	G(1866,6340),N(1698,5697)	RS(0,0)
シーツ補正X lidar(3182,2466),122	G(1832,6340),N(1710,5694)	RS(0,0)
シーツ補正X 無視lidar(3182,2466),122	G(1730,6340),N(1710,5694)	RS(0,0)
シーツ補正X 無視lidar(3182,2466),122	G(1730,6340),N(1709,5694)	RS(0,0)
シーツ補正X 無視lidar(3184,2475),124	G(1730,6340),N(1704,5696)	RS(0,0)
シーツ補正X 無視lidar(3184,2475),124	G(1730,6340),N(1701,5698)	RS(0,0)
シーツ補正X 無視lidar(3202,2471),142	G(1730,6340),N(1698,5700)	RS(0,0)
シーツ補正X 無視lidar(3202,2471),142	G(1730,6340),N(1696,5703)	RS(0,0)
シーツ補正X lidar(3206,2462),146	G(1836,6340),N(1690,5711)	RS(0,0)
シーツ補正X lidar(3206,2462),146	G(1833,6340),N(1687,5715)	RS(0,0)
シーツ補正X lidar(3210,2454),150	G(1835,6340),N(1685,5719)	RS(0,0)
シーツ補正X lidar(3210,2454),150	G(1833,6340),N(1683,5724)	RS(0,0)
シーツ補正X lidar(3210,2454),150	G(1831,6340),N(1681,5734)	RS(0,0)
シーツ補正X lidar(3219,2441),159	G(1840,6340),N(1681,5740)	RS(0,0)
シーツ補正X lidar(3219,2441),159	G(1841,6340),N(1682,5747)	RS(0,0)
シーツ補正X 無視lidar(3228,2422),168	G(1730,6340),N(1684,5755)	RS(0,0)
シーツ補正X 無視lidar(3228,2422),168	G(1730,6340),N(1692,5773)	RS(0,0)
シーツ補正X 無視lidar(3217,2399),157	G(1730,6340),N(1698,5783)	RS(0,0)
シーツ補正X 無視lidar(3217,2399),157	G(1730,6340),N(1706,5795)	RS(0,0)
シーツ補正X 無視lidar(3205,2375),145	G(1730,6340),N(1722,5820)	RS(0,0)
シーツ補正X 無視lidar(3205,2375),145	G(1730,6340),N(1730,5833)	RS(0,0)
シーツ補正X 無視lidar(3205,2375),145	G(1730,6340),N(1737,5849)	RS(0,0)
シーツ補正X 無視lidar(3183,2332),123	G(1730,6340),N(1743,5866)	RS(0,0)
シーツ補正X 無視lidar(3183,2332),123	G(1730,6340),N(1751,5903)	RS(0,0)
シーツ補正X 無視lidar(3156,2332),96	G(1730,6340),N(1755,5924)	RS(0,0)
