11月14日21時33分	赤 予選
11月14日21時33分	赤 予選
11月14日21時34分	赤 予選
バスタオル2補正X 無し lidar(1639,2442),-28	G(3079,5340),N(3138,5689,3.936799)	RS(0,0)	8
バスタオル2補正X 無し lidar(1623,2444),-28	G(3079,5340),N(3141,5685,4.451315)	RS(0,0)	8
バスタオル2補正X 無し lidar(1623,2444),-28	G(3079,5340),N(3142,5677,4.851937)	RS(0,0)	8
バスタオル2補正X 無し lidar(1623,2444),-28	G(3079,5340),N(3141,5672,4.819411)	RS(0,0)	8
バスタオル2補正X 無し lidar(1617,2461),-28	G(3079,5340),N(3140,5666,4.648693)	RS(0,0)	8
バスタオル2補正X 無し lidar(1617,2461),-28	G(3079,5340),N(3138,5659,4.312036)	RS(0,0)	9
バスタオル2補正X 無し lidar(1623,2486),-28	G(3079,5340),N(3133,5639,3.382217)	RS(0,0)	9
バスタオル2補正X 無し lidar(1623,2486),-28	G(3079,5340),N(3130,5626,2.870638)	RS(0,0)	9
バスタオル2補正X 無し lidar(1630,2516),-28	G(3079,5340),N(3125,5613,2.358487)	RS(0,0)	9
バスタオル2補正X フェンス lidar(1630,2516),-80	G(3035,5340),N(3115,5582,1.469264)	RS(0,0)	wait:9	9
バスタオル2補正X フェンス lidar(1636,2545),-74	G(3035,5340),N(3109,5563,1.052389)	RS(0,0)	wait:9	9
バスタオル2補正X フェンス lidar(1636,2545),-74	G(3029,5340),N(3103,5543,0.670451)	RS(0,0)	wait:9	9
バスタオル2補正X フェンス lidar(1636,2545),-74	G(3023,5340),N(3097,5523,0.332245)	RS(0,0)	wait:9	9
バスタオル2補正X フェンス lidar(1655,2589),-55	G(3030,5340),N(3085,5481,-0.205745)	RS(0,0)	wait:9	9
バスタオル2補正X フェンス lidar(1655,2589),-55	G(3025,5340),N(3080,5460,-0.394821)	RS(0,0)	wait:9	9
バスタオル2補正X フェンス lidar(1672,2647),-38	G(3037,5340),N(3075,5439,-0.547170)	RS(0,0)	wait:9	9
バスタオル2補正X フェンス lidar(1672,2647),-38	G(3031,5340),N(3069,5419,-0.698068)	RS(0,0)	wait:9	9
バスタオル2補正X フェンス lidar(1688,2709),-22	G(3038,5340),N(3060,5382,-0.909036)	RS(0,0)	wait:9	9
バスタオル2補正X フェンス lidar(1688,2709),-22	G(3033,5340),N(3055,5366,-1.013098)	RS(0,0)	wait:9	9
バスタオル2補正X フェンス lidar(1705,2709),-5	G(3044,5340),N(3049,5351,-1.114668)	RS(0,0)	wait:9	9
バスタオル2補正X フェンス lidar(1705,2709),-5	G(3040,5340),N(3045,5338,-1.204178)	RS(0,0)	wait:9	9
バスタオル2補正X フェンス lidar(1705,2709),-5	G(3032,5340),N(3037,5319,-1.488771)	RS(0,0)	wait:9	9
バスタオル2補正X フェンス lidar(1720,2775),10	G(3044,5340),N(3034,5312,-1.710346)	RS(0,0)	wait:9	9
バスタオル2補正X フェンス lidar(1720,2775),10	G(3041,5340),N(3031,5307,-1.906366)	RS(0,0)	wait:9	9
バスタオル2補正X 無し lidar(1734,2808),10	G(3041,5340),N(3029,5305,-2.066256)	RS(0,0)	9
バスタオル2補正X 無し lidar(1734,2808),10	G(3041,5340),N(3028,5304,-2.142765)	RS(0,0)	9
バスタオル2補正X 無し lidar(1767,2824),10	G(3041,5340),N(3029,5305,-2.136993)	RS(0,0)	9
バスタオル2補正X 無し lidar(1767,2824),10	G(3041,5340),N(3030,5308,-2.119874)	RS(0,0)	9
バスタオル2補正X フェンス lidar(1750,2829),40	G(3074,5340),N(3034,5314,-1.930683)	RS(0,0)	wait:0	9
バスタオル2補正X フェンス lidar(1750,2829),40	G(3076,5340),N(3036,5318,-1.797500)	RS(0,0)	wait:0	9
バスタオル2補正X フェンス lidar(1750,2829),40	G(3078,5340),N(3038,5322,-1.676339)	RS(0,0)	wait:0	10
バスタオル2補正X フェンス lidar(1726,2820),16	G(3056,5340),N(3040,5326,-1.599306)	RS(0,0)	wait:0	10
バスタオル2補正X フェンス lidar(1726,2820),16	G(3060,5340),N(3044,5333,-1.536011)	RS(0,0)	wait:0	10
バスタオル2補正X フェンス lidar(1720,2807),10	G(3055,5340),N(3045,5336,-1.492504)	RS(0,0)	wait:0	10
バスタオル2補正X フェンス lidar(1720,2807),10	G(3057,5340),N(3047,5339,-1.468547)	RS(0,0)	wait:0	10
バスタオル2補正X フェンス lidar(1710,2793),0	G(3049,5340),N(3049,5341,-1.472579)	RS(0,0)	wait:0	10
バスタオル2補正X フェンス lidar(1710,2793),0	G(3052,5340),N(3052,5344,-1.506056)	RS(0,0)	wait:0	10
バスタオル2補正X フェンス lidar(1709,2785),-1	G(3052,5340),N(3053,5345,-1.502107)	RS(0,0)	wait:0	10
バスタオル2補正X フェンス lidar(1709,2785),-1	G(3053,5340),N(3054,5346,-1.480483)	RS(0,0)	wait:0	10
バスタオル2補正X フェンス lidar(1709,2785),-1	G(3053,5340),N(3054,5346,-1.480483)	RS(0,0)	wait:0	10
バスタオル2補正X フェンス lidar(1708,2782),-2	G(3052,5340),N(3054,5346,-1.480483)	RS(0,0)	wait:0	10
バスタオル2補正X フェンス lidar(1708,2782),-2	G(3052,5340),N(3054,5346,-1.480483)	RS(0,0)	wait:0	10
バスタオル2補正X フェンス lidar(1710,2782),0	G(3054,5340),N(3054,5346,-1.480483)	RS(0,0)	wait:0	10
バスタオル2補正X フェンス lidar(1710,2782),0	G(3054,5340),N(3054,5345,-1.480483)	RS(0,0)	wait:0	10
バスタオル2補正X フェンス lidar(1708,2786),-2	G(3051,5340),N(3053,5345,-1.480483)	RS(0,0)	wait:0	10
バスタオル2補正X フェンス lidar(1708,2786),-2	G(3051,5340),N(3053,5345,-1.480483)	RS(0,0)	wait:0	10
バスタオル2補正X フェンス lidar(1708,2785),-2	G(3051,5340),N(3053,5345,-1.480483)	RS(0,0)	wait:0	10
バスタオル2補正X フェンス lidar(1708,2785),-2	G(3051,5340),N(3053,5345,-1.480483)	RS(0,0)	wait:0	10
バスタオル2補正X フェンス lidar(1708,2785),-2	G(3051,5340),N(3053,5345,-1.480483)	RS(0,0)	wait:0	10
バスタオル2補正X フェンス lidar(1709,2793),-1	G(3052,5340),N(3053,5345,-1.480483)	RS(0,0)	wait:0	10
バスタオル2補正X フェンス lidar(1709,2793),-1	G(3052,5340),N(3053,5345,-1.480483)	RS(0,0)	wait:0	10
バスタオル2補正X フェンス lidar(1709,2793),-1	G(3052,5340),N(3053,5345,-1.480483)	RS(0,0)	wait:0	10
バスタオル2補正X フェンス lidar(1709,2793),-1	G(3052,5340),N(3053,5345,-1.480483)	RS(0,0)	wait:0	10
バスタオル2補正X フェンス lidar(1709,2786),-1	G(3052,5340),N(3053,5345,-1.480483)	RS(0,0)	wait:0	10
バスタオル2補正X フェンス lidar(1709,2786),-1	G(3052,5340),N(3053,5345,-1.480483)	RS(0,0)	wait:0	10
バスタオル2補正X フェンス lidar(1711,2795),1	G(3054,5340),N(3053,5345,-1.480483)	RS(0,0)	wait:0	11
バスタオル2補正X フェンス lidar(1711,2795),1	G(3054,5340),N(3053,5345,-1.480483)	RS(0,0)	wait:0	11
バスタオル2補正X フェンス lidar(1711,2795),1	G(3054,5340),N(3053,5345,-1.480483)	RS(0,0)	wait:0	11
バスタオル2補正X フェンス lidar(1708,2796),-2	G(3051,5340),N(3053,5344,-1.480483)	RS(0,0)	wait:0	11
バスタオル2補正X フェンス lidar(1708,2796),-2	G(3051,5340),N(3053,5344,-1.478332)	RS(0,0)	wait:0	11
バスタオル2補正X フェンス lidar(1710,2792),0	G(3053,5340),N(3053,5344,-1.478332)	RS(0,0)	wait:0	11
バスタオル2補正X フェンス lidar(1710,2792),0	G(3053,5340),N(3053,5344,-1.473740)	RS(0,0)	wait:0	11
バスタオル2補正X フェンス lidar(1707,2791),-3	G(3050,5340),N(3053,5344,-1.452001)	RS(0,0)	wait:0	11
バスタオル2補正X フェンス lidar(1707,2791),-3	G(3050,5340),N(3053,5343,-1.429983)	RS(0,0)	wait:0	11
バスタオル2補正X フェンス lidar(1706,2791),-4	G(3049,5340),N(3053,5343,-1.429983)	RS(0,0)	wait:0	11
バスタオル2補正X フェンス lidar(1706,2791),-4	G(3049,5340),N(3053,5343,-1.429983)	RS(0,0)	wait:0	11
バスタオル2補正X フェンス lidar(1706,2791),-4	G(3049,5340),N(3053,5343,-1.429983)	RS(0,0)	wait:0	11
バスタオル2補正X フェンス lidar(1706,2783),-4	G(3049,5340),N(3053,5343,-1.418265)	RS(0,0)	wait:0	11
バスタオル2補正X フェンス lidar(1706,2783),-4	G(3048,5340),N(3052,5343,-1.414850)	RS(0,0)	wait:0	11
バスタオル2補正X フェンス lidar(1710,2785),0	G(3052,5340),N(3052,5342,-1.342268)	RS(0,0)	wait:0	11
バスタオル2補正X フェンス lidar(1710,2785),0	G(3052,5340),N(3052,5342,-1.288754)	RS(0,0)	wait:0	11
バスタオル2補正X フェンス lidar(1708,2777),-2	G(3050,5340),N(3052,5342,-1.266134)	RS(0,0)	wait:0	11
バスタオル2補正X フェンス lidar(1708,2777),-2	G(3049,5340),N(3051,5342,-1.249430)	RS(0,0)	wait:0	11
バスタオル2補正X フェンス lidar(1710,2783),0	G(3051,5340),N(3051,5341,-1.181757)	RS(0,0)	wait:0	11
バスタオル2補正X フェンス lidar(1710,2783),0	G(3050,5340),N(3050,5341,-1.138274)	RS(0,0)	wait:0	11
バスタオル2補正X フェンス lidar(1710,2783),0	G(3050,5340),N(3050,5340,-1.103092)	RS(0,0)	wait:0	11
バスタオル2補正X フェンス lidar(1709,2777),-1	G(3049,5340),N(3050,5340,-1.065508)	RS(0,0)	wait:0	11
バスタオル2補正X フェンス lidar(1709,2777),-1	G(3049,5340),N(3050,5340,-1.056141)	RS(0,0)	wait:0	11
バスタオル2補正X フェンス lidar(1709,2782),-1	G(3049,5340),N(3050,5340,-1.056141)	RS(0,0)	wait:0	11
バスタオル2補正X フェンス lidar(1709,2782),-1	G(3049,5340),N(3050,5340,-1.056141)	RS(0,0)	wait:0	11
バスタオル2補正X フェンス lidar(1710,2781),0	G(3050,5340),N(3050,5340,-1.056141)	RS(0,0)	wait:0	12
バスタオル2補正X フェンス lidar(1710,2781),0	G(3050,5340),N(3050,5340,-1.056141)	RS(0,0)	wait:0	12
バスタオル2補正X フェンス lidar(1711,2776),1	G(3051,5340),N(3050,5340,-1.056141)	RS(0,0)	wait:0	12
バスタオル2補正X フェンス lidar(1711,2776),1	G(3051,5340),N(3050,5340,-1.056141)	RS(0,0)	wait:0	12
バスタオル2補正X フェンス lidar(1711,2776),1	G(3051,5340),N(3050,5340,-1.034848)	RS(0,0)	wait:0	12
バスタオル2補正X フェンス lidar(1710,2776),0	G(3050,5340),N(3050,5339,-1.034848)	RS(0,0)	wait:0	12
バスタオル2補正X フェンス lidar(1710,2776),0	G(3050,5340),N(3050,5339,-1.034848)	RS(0,0)	wait:0	12
バスタオル2補正X フェンス lidar(1708,2776),-2	G(3048,5340),N(3050,5339,-1.034848)	RS(0,0)	wait:0	12
バスタオル2補正X フェンス lidar(1708,2776),-2	G(3048,5340),N(3050,5339,-1.034848)	RS(0,0)	wait:0	12
バスタオル2補正X フェンス lidar(1708,2782),-2	G(3048,5340),N(3050,5339,-1.034848)	RS(0,0)	wait:0	12
バスタオル2補正X フェンス lidar(1708,2782),-2	G(3048,5340),N(3050,5339,-1.034848)	RS(0,0)	wait:0	12
バスタオル2補正X フェンス lidar(1714,2778),4	G(3054,5340),N(3050,5339,-1.034848)	RS(0,0)	wait:0	12
バスタオル2補正X フェンス lidar(1714,2778),4	G(3054,5340),N(3050,5339,-1.028894)	RS(0,0)	wait:0	12
バスタオル2補正X フェンス lidar(1714,2778),4	G(3053,5340),N(3049,5339,-0.998863)	RS(0,0)	wait:0	12
バスタオル2補正X OK lidar(1714,2778),RS(0,0),50000	G(3053,5270),N(3049,5339,-0.998863)
バスタオル2補正X 無し lidar(1712,2789),4	G(3053,5270),N(3048,5339,-0.951012)	RS(0,0)	12
