11月7日20時59分	赤 予選
バスタオル1補正前 lidar(3305,2483) RS_Y:0,X:0	now(1597.842041,5700.280762,0.164926)	6
バスタオル1移動始め lidar(3305,2483) goal(1950,5340,0.000000) now(1597,5700,0.164926)
バスタオル1補正X 無し lidar(3305,2483),1505	G(1950,5340),N(1597,5700,0.164926)	RS(0,0)	6
バスタオル1補正X 無し lidar(3305,2483),1505	G(1950,5340),N(1619,5701,0.170203)	RS(0,0)	6
バスタオル1補正X 無し lidar(3252,2477),1452	G(1950,5340),N(1655,5703,0.140536)	RS(0,0)	6
バスタオル1補正X 無し lidar(3252,2477),1452	G(1950,5340),N(1672,5704,0.096742)	RS(0,0)	6
バスタオル1補正X 無し lidar(3199,2473),1399	G(1950,5340),N(1686,5704,0.107063)	RS(0,0)	6
バスタオル1補正X 無し lidar(3199,2473),1399	G(1950,5340),N(1700,5704,0.111231)	RS(0,0)	6
バスタオル1補正X 無し lidar(3199,2473),1399	G(1950,5340),N(1725,5704,0.093548)	RS(0,0)	6
バスタオル1補正X 無し lidar(3165,2473),1365	G(1950,5340),N(1737,5703,0.055109)	RS(0,0)	6
バスタオル1補正X 無し lidar(3165,2473),1365	G(1950,5340),N(1749,5701,0.053722)	RS(0,0)	6
バスタオル1補正X 無し lidar(3131,2470),1331	G(1950,5340),N(1761,5699,0.055165)	RS(0,0)	6
バスタオル1補正X 無し lidar(3131,2470),1331	G(1950,5340),N(1787,5691,0.035178)	RS(0,0)	7
バスタオル1補正X 無し lidar(3095,2474),1295	G(1950,5340),N(1799,5686,0.015781)	RS(0,0)	7
バスタオル1補正X 無し lidar(3095,2474),1295	G(1950,5340),N(1813,5680,-0.007316)	RS(0,0)	7
バスタオル1補正X フェンス lidar(3055,2484),190	G(2029,5340),N(1839,5665,-0.034553)	RS(0,0)	wait:8	7
バスタオル1補正X フェンス lidar(3055,2484),190	G(2041,5340),N(1851,5657,-0.018740)	RS(0,0)	wait:8	7
バスタオル1補正X フェンス lidar(3055,2484),190	G(2054,5340),N(1864,5647,0.007273)	RS(0,0)	wait:8	7
バスタオル1補正X フェンス lidar(3024,2504),159	G(2034,5340),N(1875,5637,0.024792)	RS(0,0)	wait:8	7
バスタオル1補正X フェンス lidar(3024,2504),159	G(2057,5340),N(1898,5612,0.114382)	RS(0,0)	wait:8	7
バスタオル1補正X フェンス lidar(2989,2529),124	G(2032,5340),N(1908,5599,0.155520)	RS(0,0)	wait:8	7
バスタオル1補正X フェンス lidar(2989,2529),124	G(2042,5340),N(1918,5584,0.165551)	RS(0,0)	wait:8	7
バスタオル1補正X フェンス lidar(2955,2567),90	G(2018,5340),N(1928,5569,0.174117)	RS(0,0)	wait:8	7
バスタオル1補正X フェンス lidar(2955,2567),90	G(2041,5340),N(1951,5535,0.142386)	RS(0,0)	wait:8	7
バスタオル1補正X フェンス lidar(2913,2610),48	G(2009,5340),N(1961,5516,0.112679)	RS(0,0)	wait:8	7
バスタオル1補正X フェンス lidar(2913,2610),48	G(2020,5340),N(1972,5497,0.100116)	RS(0,0)	wait:8	7
バスタオル1補正X フェンス lidar(2913,2610),48	G(2029,5340),N(1981,5478,0.072226)	RS(0,0)	wait:8	7
バスタオル1補正X フェンス lidar(2889,2664),24	G(2020,5340),N(1996,5441,0.044175)	RS(0,0)	wait:8	7
バスタオル1補正X フェンス lidar(2889,2664),24	G(2026,5340),N(2002,5423,0.037006)	RS(0,0)	wait:8	7
バスタオル1補正X フェンス lidar(2864,2728),-1	G(2006,5340),N(2007,5406,0.045318)	RS(0,0)	wait:8	7
バスタオル1補正X フェンス lidar(2864,2728),-1	G(2013,5340),N(2014,5374,0.043997)	RS(0,0)	wait:8	7
バスタオル1補正X フェンス lidar(2855,2787),-10	G(2007,5340),N(2017,5360,0.053076)	RS(0,0)	wait:8	7
バスタオル1補正X フェンス lidar(2855,2787),-10	G(2008,5340),N(2018,5347,0.064087)	RS(0,0)	wait:8	7
バスタオル1補正X フェンス lidar(2847,2787),-18	G(2002,5340),N(2020,5336,0.084221)	RS(0,0)	wait:8	7
バスタオル1補正X フェンス lidar(2847,2787),-18	G(2001,5340),N(2019,5321,0.137499)	RS(0,0)	wait:8	7
バスタオル1補正X フェンス lidar(2847,2787),-18	G(1999,5340),N(2017,5316,0.166795)	RS(0,0)	wait:8	7
バスタオル1補正X フェンス lidar(2847,2836),-18	G(1997,5340),N(2015,5313,0.179388)	RS(0,0)	wait:8	7
バスタオル1補正X フェンス lidar(2847,2836),-18	G(1994,5340),N(2012,5312,0.183829)	RS(0,0)	wait:8	8
バスタオル1補正X フェンス lidar(2850,2856),-15	G(1993,5340),N(2008,5312,0.231401)	RS(0,0)	wait:8	8
バスタオル1補正X フェンス lidar(2850,2856),-15	G(1991,5340),N(2006,5314,0.248852)	RS(0,0)	wait:8	8
バスタオル1補正X フェンス lidar(2848,2863),-17	G(1987,5340),N(2004,5316,0.254715)	RS(0,0)	wait:8	8
バスタオル1補正X フェンス lidar(2848,2863),-17	G(1984,5340),N(2001,5319,0.254715)	RS(0,0)	wait:8	8
バスタオル1補正X フェンス lidar(2859,2860),-6	G(1990,5340),N(1996,5325,0.254715)	RS(0,0)	wait:8	8
バスタオル1補正X フェンス lidar(2859,2860),-6	G(1987,5340),N(1993,5327,0.252517)	RS(0,0)	wait:8	8
バスタオル1補正X フェンス lidar(2859,2860),-6	G(1985,5340),N(1991,5329,0.234074)	RS(0,0)	wait:8	8
バスタオル1補正X フェンス lidar(2874,2853),9	G(1998,5340),N(1989,5331,0.226437)	RS(0,0)	wait:8	8
バスタオル1補正X フェンス lidar(2874,2853),9	G(1996,5340),N(1987,5333,0.225129)	RS(0,0)	wait:8	8
バスタオル1補正X フェンス lidar(2880,2847),15	G(2002,5340),N(1987,5334,0.225129)	RS(0,0)	wait:8	8
バスタオル1補正X フェンス lidar(2880,2847),15	G(2002,5340),N(1987,5334,0.226615)	RS(0,0)	wait:8	8
バスタオル1補正X フェンス lidar(2876,2841),11	G(1999,5340),N(1988,5334,0.224387)	RS(0,0)	wait:8	8
バスタオル1補正X フェンス lidar(2876,2841),11	G(1999,5340),N(1988,5334,0.224387)	RS(0,0)	wait:8	8
バスタオル1補正X フェンス lidar(2875,2842),10	G(1998,5340),N(1988,5334,0.224387)	RS(0,0)	wait:8	8
バスタオル1補正X フェンス lidar(2875,2842),10	G(1998,5340),N(1988,5334,0.224387)	RS(0,0)	wait:8	8
バスタオル1補正X フェンス lidar(2875,2842),10	G(1998,5340),N(1988,5334,0.226531)	RS(0,0)	wait:8	8
バスタオル1補正X フェンス lidar(2879,2834),14	G(2002,5340),N(1988,5334,0.218971)	RS(0,0)	wait:8	8
