10月21日20時42分	赤 予選
シーツ補正Y lidar(3034,1698),318	G(1741,6751),N(1737,6433)	RS(927,2373)
シーツ補正X lidar(3034,1698),4	G(1739,6751),N(1735,6444)	RS(927,2373)
シーツ補正Y lidar(3034,1698),318	G(1739,6762),N(1735,6444)	RS(927,2373)
シーツ補正X lidar(3043,1678),13	G(1747,6762),N(1734,6454)	RS(935,2364)
シーツ補正Y lidar(3043,1678),298	G(1747,6752),N(1734,6454)	RS(935,2364)
シーツ補正X lidar(3043,1678),13	G(1747,6752),N(1734,6465)	RS(942,2353)
シーツ補正Y lidar(3043,1678),298	G(1747,6763),N(1734,6465)	RS(942,2353)
シーツ補正X lidar(3043,1678),13	G(1747,6763),N(1734,6469)	RS(942,2353)
シーツ補正Y lidar(3043,1678),298	G(1747,6767),N(1734,6469)	RS(942,2353)
シーツ補正X lidar(3049,1654),19	G(1756,6767),N(1737,6481)	RS(948,2339)
シーツ補正Y lidar(3049,1654),274	G(1756,6755),N(1737,6481)	RS(948,2339)
シーツ補正X lidar(3049,1654),19	G(1755,6755),N(1736,6494)	RS(948,2339)
シーツ補正Y lidar(3049,1654),274	G(1755,6768),N(1736,6494)	RS(948,2339)
シーツ補正X lidar(3057,1633),27	G(1762,6768),N(1735,6506)	RS(950,2323)
シーツ補正Y lidar(3057,1633),253	G(1762,6759),N(1735,6506)	RS(950,2323)
シーツ補正X lidar(3057,1633),27	G(1763,6759),N(1736,6519)	RS(950,2323)
シーツ補正Y lidar(3057,1633),253	G(1763,6772),N(1736,6519)	RS(950,2323)
シーツ補正X lidar(3057,1633),27	G(1764,6772),N(1737,6532)	RS(954,2306)
シーツ　RS無視 RS_Y:2306,158,6678 X:954	lidar_y:1633,253
シーツ補正X lidar(3041,1603),11	G(1750,6740),N(1739,6538)	RS(955,2290)
シーツ補正Y RS_Y:2290,142 X:955	G(1750,6680),N(1739,6538)
シーツ補正X lidar(3041,1603),11	G(1752,6680),N(1741,6552)	RS(955,2290)
シーツ補正Y RS_Y:2290,142 X:955	G(1752,6680),N(1741,6552)
シーツ補正X lidar(3041,1573),11	G(1754,6680),N(1743,6567)	RS(958,2276)
シーツ補正Y RS_Y:2276,129 X:958	G(1754,6690),N(1743,6567)
シーツ補正X lidar(3041,1573),11	G(1756,6690),N(1745,6581)	RS(958,2276)
シーツ補正Y RS_Y:2276,129 X:958	G(1756,6690),N(1745,6581)
シーツ補正X lidar(3041,1573),-39	G(1707,6690),N(1746,6595)	RS(962,2262)
シーツ補正Y RS_Y:2262,116 X:962	G(1707,6698),N(1746,6595)
シーツ補正X lidar(3046,1535),-34	G(1713,6698),N(1747,6609)	RS(961,2241)
シーツ補正Y RS_Y:2241,96 X:961	G(1713,6706),N(1747,6609)
シーツ補正X lidar(3046,1535),-34	G(1714,6706),N(1748,6621)	RS(961,2241)
シーツ補正Y RS_Y:2241,96 X:961	G(1714,6706),N(1748,6621)
シーツ補正X lidar(3034,1490),-46	G(1703,6706),N(1749,6633)	RS(960,2223)
シーツ補正Y RS_Y:2223,79 X:960	G(1703,6706),N(1749,6633)
シーツ補正X lidar(3034,1490),-46	G(1703,6706),N(1749,6639)	RS(960,2223)
シーツ補正Y RS_Y:2223,79 X:960	G(1703,6706),N(1749,6639)
シーツ補正X lidar(3034,1490),-46	G(1703,6706),N(1749,6651)	RS(961,2204)
シーツ補正Y RS_Y:2204,61 X:961	G(1703,6706),N(1749,6651)
シーツ補正X lidar(3033,1465),-47	G(1703,6706),N(1750,6663)	RS(961,2204)
シーツ補正Y RS_Y:2204,61 X:961	G(1703,6706),N(1750,6663)
シーツ補正X lidar(3033,1465),-47	G(1704,6706),N(1751,6674)	RS(958,2177)
シーツ補正Y RS_Y:2177,36 X:958	G(1704,6699),N(1751,6674)
シーツ補正X lidar(2915,1439),-165	G(1585,6699),N(1750,6683)	RS(953,2149)
シーツ補正X 無視lidar(2915,1439),-165	G(1900,6699),N(1747,6691)	RS(953,2149)
シーツ補正X lidar(2915,1439),-165	G(1581,6699),N(1746,6695)	RS(952,2126)
シーツ補正X 無視lidar(2029,1426),-1051	G(1900,6699),N(1745,6701)	RS(948,2102)
シーツ補正X 無視lidar(2029,1426),-1051	G(1900,6699),N(1744,6704)	RS(948,2102)
シーツ補正X 無視lidar(1990,1426),-1090	G(1900,6699),N(1744,6706)	RS(946,2079)
シーツ補正X 無視lidar(1990,1426),-1090	G(1900,6699),N(1742,6708)	RS(946,2079)
シーツ補正X 無視lidar(1991,1404),-1089	G(1900,6699),N(1741,6709)	RS(944,2061)
シーツ補正X 無視lidar(1991,1404),-1089	G(1900,6699),N(1741,6710)	RS(943,2050)
シーツ補正X 無視lidar(1992,1403),-1088	G(1900,6699),N(1740,6711)	RS(943,2050)
シーツ補正X 無視lidar(1992,1403),-1088	G(1900,6699),N(1740,6711)	RS(943,2045)
シーツ補正X 無視lidar(1992,1403),-1088	G(1900,6699),N(1740,6711)	RS(943,2043)
シーツ補正X 無視lidar(1992,1393),-1088	G(1900,6699),N(1740,6711)	RS(943,2043)
シーツ補正X 無視lidar(1992,1393),-1088	G(1900,6699),N(1740,6711)	RS(943,2041)
シーツ補正X 無視lidar(1987,1390),-1093	G(1900,6699),N(1740,6712)	RS(943,2041)
シーツ補正X 無視lidar(1987,1390),-1093	G(1900,6699),N(1740,6711)	RS(943,2039)
シーツ補正X 無視lidar(1982,1384),-1098	G(1900,6699),N(1740,6712)	RS(944,2039)
シーツ補正X 無視lidar(1982,1384),-1098	G(1900,6699),N(1740,6712)	RS(944,2039)
シーツ補正X 無視lidar(1980,1391),-1100	G(1900,6699),N(1740,6712)	RS(943,2036)
シーツ補正X 無視lidar(1980,1391),-1100	G(1900,6699),N(1740,6712)	RS(943,2036)
シーツ補正X 無視lidar(1980,1391),-1100	G(1900,6699),N(1740,6712)	RS(941,2032)
シーツ補正X 無視lidar(1983,1389),-1097	G(1900,6699),N(1739,6711)	RS(941,2032)
シーツ補正X 無視lidar(1983,1389),-1097	G(1900,6699),N(1739,6711)	RS(941,2033)
シーツ補正X 無視lidar(1986,1390),-1094	G(1900,6699),N(1740,6711)	RS(939,2032)
シーツ補正X 無視lidar(1986,1390),-1094	G(1900,6699),N(1740,6711)	RS(939,2032)
シーツ補正X 無視lidar(1980,1392),-1100	G(1900,6699),N(1740,6712)	RS(939,2030)
シーツ補正X 無視lidar(1980,1392),-1100	G(1900,6699),N(1741,6711)	RS(939,2030)
シーツ補正X 無視lidar(1979,1392),-1101	G(1900,6699),N(1741,6711)	RS(938,2029)
シーツ補正X 無視lidar(1979,1392),-1101	G(1900,6699),N(1742,6712)	RS(937,2028)
シーツ補正X 無視lidar(1979,1392),-1101	G(1900,6699),N(1744,6712)	RS(937,2028)
シーツ補正X 無視lidar(1982,1389),-1098	G(1900,6699),N(1746,6712)	RS(936,2027)
シーツ補正X 無視lidar(1982,1389),-1098	G(1900,6699),N(1746,6713)	RS(936,2027)
シーツ補正X 無視lidar(1984,1390),-1096	G(1900,6699),N(1749,6714)	RS(936,2031)
シーツ補正X 無視lidar(1984,1390),-1096	G(1900,6699),N(1751,6712)	RS(933,2035)
シーツ補正X 無視lidar(2031,1377),-1049	G(1900,6699),N(1753,6713)	RS(933,2035)
シーツ補正X 無視lidar(2031,1377),-1049	G(1900,6699),N(1755,6712)	RS(930,2035)
シーツ補正X 無視lidar(2031,1377),-1049	G(1900,6699),N(1758,6712)	RS(928,2038)
シーツ補正X 無視lidar(2587,1369),-493	G(1900,6699),N(1761,6711)	RS(928,2038)
シーツ補正X 無視lidar(2587,1369),-493	G(1900,6699),N(1766,6711)	RS(925,2036)
シーツ補正X lidar(2925,1359),-155	G(1613,6699),N(1768,6711)	RS(925,2036)
シーツ補正X lidar(2925,1359),-155	G(1620,6699),N(1775,6710)	RS(917,2030)
シーツ補正X lidar(2925,1359),-155	G(1626,6699),N(1781,6710)	RS(917,2030)
シーツ補正X 無視lidar(2318,1364),-762	G(1900,6699),N(1790,6710)	RS(911,2027)
シーツ補正X 無視lidar(2318,1364),-762	G(1900,6699),N(1799,6708)	RS(905,2027)
シーツ補正X 無視lidar(1920,1368),-1160	G(1900,6699),N(1809,6710)	RS(905,2027)
シーツ補正X 無視lidar(1920,1368),-1160	G(1900,6699),N(1819,6709)	RS(898,2028)
シーツ補正X 無視lidar(1897,1362),-1183	G(1900,6699),N(1824,6708)	RS(898,2028)
シーツ補正X 無視lidar(1897,1362),-1183	G(1900,6699),N(1834,6707)	RS(889,2032)
シーツ補正X 無視lidar(1877,1371),-1203	G(1900,6699),N(1844,6705)	RS(880,2041)
シーツ補正X 無視lidar(1877,1371),-1203	G(1900,6699),N(1855,6702)	RS(880,2041)
シーツ補正Y RS_Y:2041,-93 X:880	G(1900,6611),N(1855,6702)
シーツ補正X 無視lidar(1877,1371),-1203	G(1900,6611),N(1865,6698)	RS(866,2044)
シーツ補正Y RS_Y:2044,-91 X:866	G(1900,6609),N(1865,6698)
シーツ補正X 無視lidar(1858,1381),-1222	G(1900,6609),N(1874,6695)	RS(866,2044)
シーツ補正Y RS_Y:2044,-91 X:866	G(1900,6609),N(1874,6695)
シーツ補正X 無視lidar(1858,1381),-1222	G(1900,6609),N(1882,6691)	RS(850,2048)
シーツ補正Y RS_Y:2048,-86 X:850	G(1900,6608),N(1882,6691)
シーツ補正X 無視lidar(2533,1385),-547	G(1900,6608),N(1886,6689)	RS(830,2048)
シーツ補正Y RS_Y:2048,-86 X:830	G(1900,6602),N(1886,6689)
シーツ補正X 無視lidar(2533,1385),-547	G(1900,6602),N(1892,6685)	RS(830,2048)
シーツ補正Y RS_Y:2048,-86 X:830	G(1900,6602),N(1892,6685)
シーツ補正X lidar(2875,1391),-205	G(1693,6602),N(1898,6683)	RS(813,2052)
シーツ補正X lidar(2875,1391),-205	G(1698,6602),N(1903,6679)	RS(813,2052)
シーツ補正X lidar(2875,1391),-205	G(1701,6602),N(1906,6677)	RS(796,2054)
シーツ補正X lidar(2866,1386),-214	G(1695,6602),N(1909,6673)	RS(784,2060)
シーツ補正X lidar(2866,1386),-214	G(1696,6602),N(1910,6672)	RS(784,2060)
シーツ補正X lidar(2867,1388),-213	G(1698,6602),N(1911,6671)	RS(773,2066)
シーツ補正X lidar(2867,1388),-213	G(1698,6602),N(1911,6670)	RS(773,2066)
シーツ補正X lidar(2867,1388),-213	G(1698,6602),N(1911,6670)	RS(769,2074)
シーツ補正X lidar(2858,1388),-222	G(1689,6602),N(1911,6670)	RS(766,2081)
シーツ補正X lidar(2858,1388),-222	G(1688,6602),N(1910,6671)	RS(766,2081)
シーツ補正X lidar(2866,1388),-214	G(1696,6602),N(1910,6669)	RS(766,2086)
シーツ補正X lidar(2866,1388),-214	G(1695,6602),N(1909,6669)	RS(766,2086)
シーツ補正X lidar(2866,1388),-214	G(1694,6602),N(1908,6667)	RS(766,2089)
シーツ補正X lidar(2865,1395),-215	G(1691,6602),N(1906,6666)	RS(766,2089)
シーツ補正X lidar(2865,1395),-215	G(1689,6602),N(1904,6664)	RS(766,2089)
シーツ補正X lidar(2868,1409),-212	G(1689,6602),N(1901,6662)	RS(767,2089)
シーツ補正X lidar(2868,1409),-212	G(1685,6602),N(1897,6656)	RS(767,2089)
シーツ補正X lidar(2868,1409),-212	G(1682,6602),N(1894,6652)	RS(767,2086)
シーツ補正X lidar(2864,1413),-216	G(1674,6602),N(1890,6646)	RS(767,2086)
シーツ補正X lidar(2864,1413),-216	G(1670,6602),N(1886,6641)	RS(773,2089)
シーツ補正X lidar(2877,1421),-203	G(1681,6602),N(1884,6638)	RS(777,2092)
シーツ補正X lidar(2877,1421),-203	G(1677,6602),N(1880,6631)	RS(777,2092)
シーツ補正X lidar(2877,1421),-203	G(1674,6602),N(1877,6624)	RS(782,2101)
シーツ補正X lidar(2882,1432),-198	G(1677,6602),N(1875,6620)	RS(782,2101)
シーツ補正X lidar(2882,1432),-198	G(1673,6602),N(1871,6610)	RS(789,2113)
シーツ補正X lidar(2895,1451),-185	G(1683,6602),N(1868,6604)	RS(795,2124)
シーツ補正X lidar(2895,1451),-185	G(1681,6602),N(1866,6597)	RS(795,2124)
シーツ補正X lidar(2895,1451),-185	G(1679,6602),N(1864,6594)	RS(801,2140)
シーツ補正X lidar(2903,1464),-177	G(1684,6602),N(1861,6588)	RS(807,2152)
シーツ補正X lidar(2903,1464),-177	G(1680,6602),N(1857,6583)	RS(807,2152)
シーツ補正X lidar(2910,1482),-170	G(1684,6602),N(1854,6580)	RS(813,2163)
シーツ補正X lidar(2910,1482),-170	G(1681,6602),N(1851,6577)	RS(813,2163)
シーツ補正X lidar(2910,1482),-170	G(1679,6602),N(1849,6575)	RS(818,2174)
シーツ補正X lidar(2911,1496),-169	G(1678,6602),N(1847,6572)	RS(818,2174)
シーツ補正X lidar(2911,1496),-169	G(1677,6602),N(1846,6572)	RS(825,2186)
シーツ補正X lidar(2918,1507),-162	G(1683,6602),N(1845,6570)	RS(828,2187)
シーツ補正X lidar(2918,1507),-162	G(1681,6602),N(1843,6569)	RS(828,2187)
シーツ補正X lidar(2918,1507),-162	G(1679,6602),N(1841,6569)	RS(834,2195)
シーツ補正X lidar(2920,1511),-160	G(1679,6602),N(1839,6569)	RS(834,2195)
シーツ補正X lidar(2920,1511),-160	G(1675,6602),N(1835,6569)	RS(837,2200)
シーツ補正X lidar(2924,1511),-156	G(1674,6602),N(1830,6569)	RS(839,2200)
シーツ補正X lidar(2924,1511),-156	G(1668,6602),N(1824,6570)	RS(839,2200)
シーツ補正X 無視lidar(2940,1510),-140	G(1900,6602),N(1820,6570)	RS(839,2197)
シーツ補正X 無視lidar(2940,1510),-140	G(1900,6602),N(1813,6571)	RS(839,2197)
シーツ補正X 無視lidar(2940,1510),-140	G(1900,6602),N(1805,6572)	RS(842,2199)
シーツ補正X 無視lidar(2963,1512),-117	G(1900,6602),N(1798,6572)	RS(845,2195)
シーツ補正X 無視lidar(2963,1512),-117	G(1900,6602),N(1791,6573)	RS(845,2195)
シーツ補正X 無視lidar(2990,1499),-90	G(1900,6602),N(1786,6575)	RS(855,2197)
シーツ補正X 無視lidar(2990,1499),-90	G(1900,6602),N(1782,6576)	RS(855,2197)
シーツ補正X 無視lidar(2990,1499),-90	G(1900,6602),N(1776,6579)	RS(861,2197)
シーツ補正X lidar(2999,1488),-81	G(1688,6602),N(1769,6581)	RS(873,2199)
シーツ補正X lidar(2999,1488),-81	G(1680,6602),N(1761,6584)	RS(873,2199)
シーツ補正X lidar(3016,1488),-64	G(1689,6602),N(1753,6586)	RS(885,2200)
シーツ補正X lidar(3016,1488),-64	G(1682,6602),N(1746,6589)	RS(899,2199)
シーツ補正X lidar(3016,1488),-64	G(1674,6602),N(1738,6593)	RS(899,2199)
シーツ補正X lidar(3033,1491),-47	G(1686,6602),N(1733,6595)	RS(914,2196)
シーツ補正Y RS_Y:2196,53 X:914	G(1686,6648),N(1733,6595)
シーツ補正X lidar(3033,1491),-47	G(1678,6648),N(1725,6598)	RS(914,2196)
シーツ補正Y RS_Y:2196,53 X:914	G(1678,6648),N(1725,6598)
シーツ補正X lidar(3051,1480),-29	G(1688,6648),N(1717,6598)	RS(931,2195)
シーツ補正Y RS_Y:2195,52 X:931	G(1688,6651),N(1717,6598)
シーツ補正X lidar(3051,1480),-29	G(1683,6651),N(1712,6601)	RS(931,2195)
シーツ補正Y RS_Y:2195,52 X:931	G(1683,6651),N(1712,6601)
シーツ補正X lidar(3051,1480),-29	G(1678,6651),N(1707,6603)	RS(947,2192)
シーツ補正Y RS_Y:2192,50 X:947	G(1678,6651),N(1707,6603)
シーツ補正X lidar(3056,1467),-24	G(1680,6651),N(1704,6604)	RS(962,2190)
シーツ補正Y RS_Y:2190,47 X:962	G(1680,6651),N(1704,6604)
シーツ補正X lidar(3056,1467),-24	G(1679,6651),N(1703,6605)	RS(962,2190)
シーツ補正Y RS_Y:2190,47 X:962	G(1679,6651),N(1703,6605)
シーツ補正X lidar(3071,1461),-9	G(1693,6651),N(1702,6605)	RS(971,2181)
シーツ補正Y RS_Y:2181,39 X:971	G(1693,6644),N(1702,6605)
シーツ補正X lidar(3071,1461),-9	G(1693,6644),N(1702,6605)	RS(975,2170)
シーツ補正Y RS_Y:2170,28 X:975	G(1693,6634),N(1702,6605)
シーツ補正X lidar(3071,1461),-9	G(1692,6634),N(1701,6607)	RS(975,2170)
シーツ補正Y RS_Y:2170,28 X:975	G(1692,6634),N(1701,6607)
シーツ補正X lidar(3075,1462),-5	G(1696,6634),N(1701,6605)	RS(978,2165)
シーツ補正Y RS_Y:2165,23 X:978	G(1696,6630),N(1701,6605)
シーツ補正X lidar(3075,1462),-5	G(1696,6630),N(1701,6607)	RS(978,2165)
シーツ補正Y RS_Y:2165,23 X:978	G(1696,6630),N(1701,6607)
シーツ補正X lidar(3075,1464),-5	G(1696,6630),N(1701,6607)	RS(977,2158)
シーツ補正Y RS_Y:2158,17 X:977	G(1696,6626),N(1701,6607)
シーツはじめ lidar(3075,1464) now(1700.836182,6607.486816,-0.362004)	RS(977,2158)	22
干し補正X 無視lidar(3073,1489),1993	G(3880,6602),N(1699,6602)
干し補正Y RS_Y:2164,22	G(3880,6625),N(1699,6602)
干し補正X 無視lidar(3071,1488),1991	G(3880,6625),N(1699,6602)
干し補正X 無視lidar(3071,1488),1991	G(3880,6625),N(1699,6602)
干し補正X 無視lidar(3067,1494),1987	G(3880,6625),N(1699,6602)
干し補正Y RS_Y:2161,20	G(3880,6623),N(1699,6602)
干し補正X 無視lidar(3067,1494),1987	G(3880,6623),N(1699,6602)
干し補正X 無視lidar(3067,1494),1987	G(3880,6623),N(1699,6602)
干し補正Y RS_Y:2161,20	G(3880,6622),N(1699,6602)
干し補正X 無視lidar(3072,1502),1992	G(3880,6622),N(1699,6602)
干し補正X 無視lidar(3072,1502),1992	G(3880,6622),N(1699,6602)
干し補正X 無視lidar(3068,1503),1988	G(3880,6622),N(1699,6602)
干し補正Y RS_Y:2160,19	G(3880,6622),N(1699,6602)
干し補正X 無視lidar(3068,1503),1988	G(3880,6622),N(1699,6603)
干し補正X 無視lidar(3068,1503),1988	G(3880,6622),N(1699,6603)
干し補正Y RS_Y:2161,20	G(3880,6623),N(1699,6603)
干し補正X 無視lidar(3075,1491),1995	G(3880,6623),N(1699,6602)
干し補正X 無視lidar(3075,1491),1995	G(3880,6623),N(1700,6603)
干し補正X 無視lidar(3077,1488),1997	G(3880,6623),N(1702,6603)
干し補正Y RS_Y:2162,21	G(3880,6625),N(1702,6603)
干し補正X 無視lidar(3077,1488),1997	G(3880,6625),N(1704,6603)
干し補正X 無視lidar(3077,1488),1997	G(3880,6625),N(1708,6604)
干し補正Y RS_Y:2160,19	G(3880,6623),N(1708,6604)
干し補正X 無視lidar(3068,1476),1988	G(3880,6623),N(1712,6606)
干し補正X 無視lidar(3068,1476),1988	G(3880,6623),N(1715,6608)
干し補正Y RS_Y:2156,15	G(3880,6624),N(1715,6608)
干し補正X 無視lidar(3057,1486),1977	G(3880,6624),N(1721,6610)
干し補正X 無視lidar(3057,1486),1977	G(3880,6624),N(1727,6613)
干し補正Y RS_Y:2155,14	G(3880,6627),N(1727,6613)
干し補正X 無視lidar(3038,1480),1958	G(3880,6627),N(1733,6615)
干し補正X 無視lidar(3038,1480),1958	G(3880,6627),N(1739,6617)
干し補正X 無視lidar(3038,1480),1958	G(3880,6627),N(1745,6620)
干し補正Y RS_Y:2149,8	G(3880,6627),N(1745,6620)
干し補正X 無視lidar(3022,1464),1942	G(3880,6627),N(1752,6623)
干し補正X 無視lidar(3022,1464),1942	G(3880,6627),N(1755,6625)
干し補正Y RS_Y:2148,7	G(3880,6633),N(1755,6625)
干し補正X 無視lidar(3005,1460),1925	G(3880,6633),N(1762,6628)
干し補正X 無視lidar(3005,1460),1925	G(3880,6633),N(1768,6631)
干し補正X 無視lidar(3005,1460),1925	G(3880,6633),N(1773,6634)
干し補正Y RS_Y:2145,5	G(3880,6639),N(1773,6634)
干し補正X 無視lidar(2990,1458),1910	G(3880,6639),N(1779,6636)
干し補正X 無視lidar(2990,1458),1910	G(3880,6639),N(1785,6638)
干し補正X 無視lidar(2980,1448),1900	G(3880,6639),N(1791,6640)
干し補正Y RS_Y:2142,2	G(3880,6640),N(1791,6640)
干し補正X 無視lidar(2980,1448),1900	G(3880,6640),N(1796,6642)
干し補正X 無視lidar(2967,1439),1887	G(3880,6640),N(1799,6643)
干し補正Y RS_Y:2138,0	G(3880,6642),N(1799,6643)
干し補正X 無視lidar(2967,1439),1887	G(3880,6642),N(1805,6644)
干し補正X 無視lidar(2967,1439),1887	G(3880,6642),N(1811,6645)
干し補正Y RS_Y:2136,-3	G(3880,6641),N(1811,6645)
干し補正X 無視lidar(2962,1428),1882	G(3880,6641),N(1818,6643)
干し補正X 無視lidar(2962,1428),1882	G(3880,6641),N(1824,6642)
干し補正Y RS_Y:2124,-15	G(3880,6627),N(1824,6642)
干し補正X 無視lidar(2941,1424),1861	G(3880,6627),N(1831,6641)
干し補正X 無視lidar(2941,1424),1861	G(3880,6627),N(1838,6640)
干し補正X 無視lidar(2941,1424),1861	G(3880,6627),N(1845,6638)
干し補正X 無視lidar(2920,1426),1840	G(3880,6627),N(1849,6639)
干し補正Y RS_Y:2117,-20	G(3880,6618),N(1849,6639)
干し補正X 無視lidar(2920,1426),1840	G(3880,6618),N(1856,6640)
干し補正X 無視lidar(2905,1428),1825	G(3880,6618),N(1865,6640)
干し補正Y RS_Y:2120,-18	G(3880,6622),N(1865,6640)
干し補正X 無視lidar(2905,1428),1825	G(3880,6622),N(1875,6639)
干し補正X 無視lidar(2905,1428),1825	G(3880,6622),N(1885,6637)
干し補正X 無視lidar(2886,1426),1806	G(3880,6622),N(1896,6637)
干し補正Y RS_Y:2116,-22	G(3880,6616),N(1896,6637)
干し補正X 無視lidar(2886,1426),1806	G(3880,6616),N(1908,6636)
干し補正X 無視lidar(2862,1422),1782	G(3880,6616),N(1914,6634)
干し補正X 無視lidar(2862,1422),1782	G(3880,6616),N(1927,6634)
干し補正Y RS_Y:2116,-22	G(3880,6611),N(1927,6634)
干し補正X 無視lidar(2836,1429),1756	G(3880,6611),N(1940,6632)
干し補正X 無視lidar(2836,1429),1756	G(3880,6611),N(1953,6630)
干し補正X 無視lidar(2836,1429),1756	G(3880,6611),N(1966,6627)
干し補正Y RS_Y:2123,-15	G(3880,6614),N(1966,6627)
干し補正X 無視lidar(2817,1438),1737	G(3880,6614),N(1979,6625)
干し補正X 無視lidar(2817,1438),1737	G(3880,6614),N(1992,6622)
干し補正Y RS_Y:2129,-10	G(3880,6615),N(1992,6622)
干し補正X 無視lidar(2777,1446),1697	G(3880,6615),N(1998,6621)
干し補正X 無視lidar(2777,1446),1697	G(3880,6615),N(2012,6618)
干し補正X 無視lidar(2777,1446),1697	G(3880,6615),N(2025,6616)
干し補正Y RS_Y:2125,-14	G(3880,6603),N(2025,6616)
干し補正X 無視lidar(2752,1451),1672	G(3880,6603),N(2039,6613)
干し補正X 無視lidar(2752,1451),1672	G(3880,6603),N(2053,6611)
干し補正X 無視lidar(2734,1458),1654	G(3880,6603),N(2067,6609)
干し補正Y RS_Y:2131,-7	G(3880,6603),N(2067,6609)
干し補正X 無視lidar(2734,1458),1654	G(3880,6603),N(2081,6608)
干し補正X 無視lidar(2734,1458),1654	G(3880,6603),N(2088,6608)
干し補正Y RS_Y:2141,1	G(3880,6610),N(2088,6608)
干し補正X 無視lidar(2692,1461),1612	G(3880,6610),N(2102,6608)
干し補正X 無視lidar(2692,1461),1612	G(3880,6610),N(2116,6607)
干し補正X 無視lidar(2663,1462),1583	G(3880,6610),N(2129,6607)
干し補正Y RS_Y:2143,3	G(3880,6610),N(2129,6607)
干し補正X 無視lidar(2663,1462),1583	G(3880,6610),N(2143,6608)
干し補正X 無視lidar(2663,1462),1583	G(3880,6610),N(2157,6609)
干し補正Y RS_Y:2150,10	G(3880,6619),N(2157,6609)
干し補正X 無視lidar(2627,1460),1547	G(3880,6619),N(2172,6608)
干し補正X 無視lidar(2627,1460),1547	G(3880,6619),N(2179,6609)
干し補正Y RS_Y:2160,19	G(3880,6628),N(2179,6609)
干し補正X 無視lidar(2602,1454),1522	G(3880,6628),N(2194,6608)
干し補正X 無視lidar(2602,1454),1522	G(3880,6628),N(2210,6609)
干し補正Y RS_Y:2166,25	G(3880,6634),N(2210,6609)
干し補正X 無視lidar(2560,1457),1480	G(3880,6634),N(2226,6610)
干し補正X 無視lidar(2560,1457),1480	G(3880,6634),N(2241,6610)
干し補正X 無視lidar(2560,1457),1480	G(3880,6634),N(2257,6611)
干し補正Y RS_Y:2164,23	G(3880,6633),N(2257,6611)
干し補正X 無視lidar(2526,1461),1446	G(3880,6633),N(2275,6611)
干し補正X 無視lidar(2526,1461),1446	G(3880,6633),N(2291,6614)
干し補正X 無視lidar(2493,1463),1413	G(3880,6633),N(2300,6615)
干し補正Y RS_Y:2171,30	G(3880,6645),N(2300,6615)
干し補正X 無視lidar(2493,1463),1413	G(3880,6645),N(2317,6616)
干し補正X 無視lidar(2493,1463),1413	G(3880,6645),N(2336,6616)
干し補正Y RS_Y:2167,26	G(3880,6643),N(2336,6616)
干し補正X 無視lidar(2446,1463),1366	G(3880,6643),N(2354,6616)
干し補正X 無視lidar(2446,1463),1366	G(3880,6643),N(2373,6619)
干し補正X 無視lidar(2412,1452),1332	G(3880,6643),N(2392,6620)
干し補正Y RS_Y:2167,26	G(3880,6646),N(2392,6620)
干し補正X 無視lidar(2412,1452),1332	G(3880,6646),N(2411,6621)
干し補正X 無視lidar(2373,1443),1293	G(3880,6646),N(2421,6622)
干し補正Y RS_Y:2155,14	G(3880,6636),N(2421,6622)
干し補正X 無視lidar(2373,1443),1293	G(3880,6636),N(2442,6623)
干し補正X 無視lidar(2373,1443),1293	G(3880,6636),N(2463,6624)
干し補正X 無視lidar(2327,1436),1247	G(3880,6636),N(2484,6627)
干し補正X 無視lidar(2327,1436),1247	G(3880,6636),N(2505,6630)
干し補正Y RS_Y:2140,0	G(3880,6629),N(2505,6630)
干し補正X 無視lidar(2279,1432),1199	G(3880,6629),N(2526,6632)
干し補正X 無視lidar(2279,1432),1199	G(3880,6629),N(2546,6633)
干し補正X 無視lidar(2279,1432),1199	G(3880,6629),N(2567,6636)
干し補正X 無視lidar(2228,1429),1148	G(3880,6629),N(2578,6635)
干し補正Y RS_Y:2128,-10	G(3880,6625),N(2578,6635)
干し補正X 無視lidar(2228,1429),1148	G(3880,6625),N(2599,6637)
干し補正X 無視lidar(2188,1417),1108	G(3880,6625),N(2619,6637)
干し補正X 無視lidar(2188,1417),1108	G(3880,6625),N(2639,6635)
干し補正Y RS_Y:2126,-13	G(3880,6621),N(2639,6635)
干し補正X 無視lidar(2153,1417),1073	G(3880,6621),N(2660,6635)
干し補正Y RS_Y:2135,-4	G(3880,6630),N(2660,6635)
干し補正X 無視lidar(2153,1417),1073	G(3880,6630),N(2681,6634)
干し補正X 無視lidar(2153,1417),1073	G(3880,6630),N(2692,6633)
干し補正X 無視lidar(2112,1409),1032	G(3880,6630),N(2713,6630)
干し補正Y RS_Y:2137,-2	G(3880,6628),N(2713,6630)
干し補正X 無視lidar(2112,1409),1032	G(3880,6628),N(2734,6629)
干し補正Y RS_Y:2140,0	G(3880,6629),N(2734,6629)
干し補正X 無視lidar(2079,1417),999	G(3880,6629),N(2755,6626)
干し補正X 無視lidar(2079,1417),999	G(3880,6629),N(2775,6624)
干し補正X 無視lidar(2029,1418),949	G(3880,6629),N(2796,6623)
干し補正Y RS_Y:2150,9	G(3880,6633),N(2796,6623)
干し補正X 無視lidar(2029,1418),949	G(3880,6633),N(2819,6621)
干し補正Y RS_Y:2149,9	G(3880,6632),N(2819,6621)
