10月21日20時42分	赤 予選
シーツ補正X 無視lidar(2847,2344),-183	G(1950,6340),N(1952,5800)	RS(729,3099)
シーツ補正X 無視lidar(2838,2326),-192	G(1950,6340),N(1954,5810)	RS(729,3099)
シーツ補正X 無視lidar(2838,2326),-192	G(1950,6340),N(1953,5830)	RS(732,3085)
シーツ補正X 無視lidar(2829,2293),-201	G(1950,6340),N(1954,5854)	RS(732,3085)
シーツ補正X 無視lidar(2829,2293),-201	G(1950,6340),N(1957,5878)	RS(737,3069)
シーツ補正X 無視lidar(2829,2293),-201	G(1950,6340),N(1956,5902)	RS(738,3050)
シーツ補正X 無視lidar(2817,2253),-213	G(1950,6340),N(1954,5929)	RS(738,3050)
シーツ補正X 無視lidar(2817,2253),-213	G(1950,6340),N(1955,5957)	RS(741,3026)
シーツ補正X 無視lidar(2812,2201),-218	G(1950,6340),N(1955,5973)	RS(741,2997)
シーツ補正X lidar(2812,2201),-218	G(1740,6340),N(1958,6001)	RS(741,2997)
シーツ補正X lidar(2812,2201),-218	G(1739,6340),N(1957,6032)	RS(740,2953)
シーツ補正X lidar(2821,2146),-209	G(1748,6340),N(1957,6062)	RS(738,2915)
シーツ補正X lidar(2821,2146),-209	G(1748,6340),N(1957,6093)	RS(738,2915)
シーツ補正X lidar(2816,2064),-214	G(1742,6340),N(1956,6124)	RS(738,2873)
シーツ補正X lidar(2816,2064),-214	G(1743,6340),N(1957,6156)	RS(738,2873)
シーツ補正X lidar(2808,1987),-222	G(1735,6340),N(1957,6174)	RS(745,2833)
シーツ補正X lidar(2808,1987),-222	G(1734,6340),N(1956,6206)	RS(747,2781)
シーツ補正X lidar(2808,1987),-222	G(1732,6340),N(1954,6236)	RS(747,2781)
シーツ補正X lidar(2805,1921),-225	G(1727,6340),N(1952,6265)	RS(753,2737)
シーツ補正X 無視lidar(2805,1921),-225	G(1950,6340),N(1950,6292)	RS(758,2681)
展開２ lidar(2820,1850) now(1947.067017,6317.496094,3.261123)	RS(758,2681)	8
シーツ補正X 無視lidar(2820,1850),-210	G(1950,6340),N(1947,6317)	RS(758,2681)
シーツ補正X 無視lidar(2820,1850),-210	G(1950,6340),N(1941,6338)	RS(766,2629)
シーツ補正X 無視lidar(2820,1850),-210	G(1950,6340),N(1938,6347)	RS(774,2579)
シーツ補正X 無視lidar(2834,1797),-196	G(1950,6340),N(1934,6361)	RS(774,2579)
シーツ補正X 無視lidar(2834,1797),-196	G(1950,6340),N(1930,6371)	RS(780,2522)
シーツ補正X 無視lidar(2849,1760),-181	G(1950,6340),N(1927,6377)	RS(780,2522)
シーツ補正X 無視lidar(2849,1760),-181	G(1950,6340),N(1926,6380)	RS(782,2482)
シーツ補正X 無視lidar(2849,1760),-181	G(1950,6340),N(1926,6379)	RS(784,2451)
シーツ補正X 無視lidar(2855,1745),-175	G(1950,6340),N(1927,6378)	RS(784,2451)
シーツ補正X 無視lidar(2855,1745),-175	G(1950,6340),N(1926,6377)	RS(783,2424)
シーツ補正X 無視lidar(2851,1744),-179	G(1950,6340),N(1924,6375)	RS(783,2424)
シーツ補正X 無視lidar(2851,1744),-179	G(1950,6340),N(1924,6372)	RS(781,2407)
シーツ補正X 無視lidar(2851,1744),-179	G(1950,6340),N(1925,6369)	RS(783,2409)
シーツ補正X 無視lidar(2856,1742),-174	G(1950,6340),N(1926,6368)	RS(783,2409)
シーツ補正X 無視lidar(2856,1742),-174	G(1950,6340),N(1931,6367)	RS(782,2408)
シーツ補正X 無視lidar(2856,1746),-174	G(1950,6340),N(1930,6366)	RS(782,2408)
シーツ補正X 無視lidar(2856,1746),-174	G(1950,6340),N(1930,6365)	RS(778,2403)
シーツ補正X 無視lidar(2846,1756),-184	G(1950,6340),N(1932,6363)	RS(778,2408)
シーツ補正X 無視lidar(2846,1756),-184	G(1950,6340),N(1933,6361)	RS(778,2408)
シーツ補正X 無視lidar(2846,1756),-184	G(1950,6340),N(1936,6359)	RS(776,2407)
シーツ補正X 無視lidar(2839,1753),-191	G(1950,6340),N(1940,6356)	RS(773,2411)
シーツ補正X lidar(2839,1753),-191	G(1751,6340),N(1942,6355)	RS(773,2411)
シーツ補正X lidar(2841,1753),-189	G(1758,6340),N(1947,6354)	RS(766,2416)
シーツ補正X lidar(2841,1753),-189	G(1762,6340),N(1951,6353)	RS(766,2416)
シーツ補正X lidar(2841,1753),-189	G(1765,6340),N(1954,6352)	RS(759,2420)
シーツ補正X lidar(2818,1751),-212	G(1746,6340),N(1958,6350)	RS(749,2414)
シーツ補正X lidar(2818,1751),-212	G(1752,6340),N(1964,6348)	RS(749,2414)
シーツ補正X lidar(2819,1753),-211	G(1756,6340),N(1967,6346)	RS(741,2420)
シーツ補正X lidar(2819,1753),-211	G(1759,6340),N(1970,6345)	RS(730,2421)
シーツ補正X lidar(2819,1753),-211	G(1759,6340),N(1970,6345)	RS(730,2421)
シーツ補正X lidar(2804,1757),-226	G(1744,6340),N(1970,6345)	RS(721,2423)
シーツ補正X lidar(2804,1757),-226	G(1744,6340),N(1970,6343)	RS(717,2435)
シーツ補正X lidar(2804,1760),-226	G(1744,6340),N(1970,6342)	RS(717,2435)
シーツ補正X lidar(2804,1760),-226	G(1744,6340),N(1970,6340)	RS(715,2443)
シーツ補正X lidar(2804,1760),-226	G(1743,6340),N(1969,6338)	RS(715,2443)
シーツ補正X lidar(2806,1761),-224	G(1744,6340),N(1968,6337)	RS(712,2444)
シーツ補正X lidar(2806,1761),-224	G(1742,6340),N(1966,6335)	RS(712,2444)
シーツ補正X lidar(2812,1765),-218	G(1746,6340),N(1964,6332)	RS(710,2447)
シーツ補正X lidar(2812,1765),-218	G(1742,6340),N(1960,6330)	RS(709,2449)
シーツ補正X lidar(2817,1753),-213	G(1744,6340),N(1957,6329)	RS(709,2449)
シーツ補正X lidar(2817,1753),-213	G(1740,6340),N(1953,6327)	RS(711,2450)
シーツ補正X lidar(2817,1753),-213	G(1729,6340),N(1942,6323)	RS(711,2450)
シーツ補正X lidar(2828,1759),-202	G(1732,6340),N(1934,6320)	RS(717,2459)
シーツ補正X 無視lidar(2828,1759),-202	G(1950,6340),N(1925,6318)	RS(726,2469)
シーツ補正X 無視lidar(2841,1777),-189	G(1950,6340),N(1914,6317)	RS(726,2469)
シーツ補正X 無視lidar(2841,1777),-189	G(1950,6340),N(1902,6318)	RS(736,2482)
シーツ補正X 無視lidar(2841,1777),-189	G(1950,6340),N(1896,6318)	RS(736,2482)
シーツ補正X 無視lidar(2875,1772),-155	G(1950,6340),N(1886,6317)	RS(748,2487)
シーツ補正X 無視lidar(2875,1772),-155	G(1950,6340),N(1879,6318)	RS(762,2487)
シーツ補正X 無視lidar(2893,1772),-137	G(1950,6340),N(1875,6318)	RS(762,2487)
シーツ補正X lidar(2893,1772),-137	G(1736,6340),N(1873,6319)	RS(777,2488)
シーツ補正X lidar(2903,1769),-127	G(1746,6340),N(1873,6322)	RS(777,2488)
シーツ補正X lidar(2903,1769),-127	G(1747,6340),N(1874,6323)	RS(786,2479)
シーツ補正X lidar(2903,1769),-127	G(1747,6340),N(1874,6327)	RS(786,2479)
シーツ補正X lidar(2903,1768),-127	G(1747,6340),N(1874,6329)	RS(791,2468)
シーツ補正X lidar(2903,1768),-127	G(1747,6340),N(1874,6330)	RS(794,2460)
シーツ補正X lidar(2899,1754),-131	G(1743,6340),N(1874,6331)	RS(794,2460)
シーツ補正X lidar(2899,1754),-131	G(1744,6340),N(1875,6331)	RS(798,2456)
シーツ補正X lidar(2899,1754),-131	G(1745,6340),N(1876,6333)	RS(798,2456)
シーツ補正X lidar(2905,1747),-125	G(1751,6340),N(1876,6333)	RS(799,2449)
シーツ補正X lidar(2905,1747),-125	G(1752,6340),N(1877,6333)	RS(799,2449)
シーツ補正X lidar(2893,1754),-137	G(1740,6340),N(1877,6333)	RS(799,2449)
シーツ補正X lidar(2893,1754),-137	G(1739,6340),N(1876,6338)	RS(801,2452)
シーツ補正X lidar(2893,1754),-137	G(1739,6340),N(1876,6340)	RS(802,2455)
シーツ補正X lidar(2887,1751),-143	G(1732,6340),N(1875,6340)	RS(802,2455)
シーツ補正X lidar(2887,1751),-143	G(1732,6340),N(1875,6342)	RS(806,2467)
シーツ補正X lidar(2895,1751),-135	G(1737,6340),N(1872,6345)	RS(806,2467)
シーツ補正X lidar(2895,1751),-135	G(1736,6340),N(1871,6346)	RS(808,2470)
シーツ補正X lidar(2895,1751),-135	G(1731,6340),N(1866,6350)	RS(810,2465)
シーツ補正X lidar(2905,1749),-125	G(1736,6340),N(1861,6355)	RS(810,2465)
シーツ補正X lidar(2905,1749),-125	G(1728,6340),N(1853,6359)	RS(811,2458)
シーツ補正X lidar(2922,1739),-108	G(1736,6340),N(1844,6362)	RS(811,2458)
シーツ補正X lidar(2922,1739),-108	G(1726,6340),N(1834,6369)	RS(816,2450)
シーツ補正X lidar(2922,1739),-108	G(1715,6340),N(1823,6374)	RS(825,2442)
シーツ補正X lidar(2940,1736),-90	G(1728,6340),N(1818,6376)	RS(825,2442)
シーツ補正X lidar(2940,1736),-90	G(1716,6340),N(1806,6376)	RS(838,2430)
シーツ補正X lidar(2967,1732),-63	G(1730,6340),N(1793,6378)	RS(853,2419)
シーツ補正X lidar(2967,1732),-63	G(1719,6340),N(1782,6380)	RS(853,2419)
シーツ補正X lidar(2967,1732),-63	G(1706,6340),N(1769,6379)	RS(871,2414)
シーツ補正X lidar(2993,1726),-37	G(1719,6340),N(1756,6376)	RS(889,2409)
シーツ補正X lidar(2993,1726),-37	G(1709,6340),N(1746,6373)	RS(889,2409)
シーツ補正X lidar(3021,1722),-9	G(1731,6340),N(1740,6372)	RS(905,2402)
シーツ補正X lidar(3021,1722),-9	G(1722,6340),N(1731,6367)	RS(905,2402)
シーツ補正X lidar(3021,1722),-9	G(1714,6340),N(1723,6363)	RS(922,2402)
シーツ補正X lidar(3039,1727),9	G(1725,6340),N(1716,6359)	RS(937,2405)
シーツ補正X lidar(3039,1727),9	G(1720,6340),N(1711,6354)	RS(937,2405)
シーツ補正X lidar(3072,1739),42	G(1749,6340),N(1707,6350)	RS(946,2400)
シーツ補正X lidar(3072,1739),42	G(1746,6340),N(1704,6347)	RS(946,2400)
シーツ補正X lidar(3072,1739),42	G(1744,6340),N(1702,6345)	RS(957,2402)
シーツ補正X lidar(3068,1750),38	G(1739,6340),N(1701,6344)	RS(963,2407)
シーツ補正X lidar(3068,1750),38	G(1739,6340),N(1701,6344)	RS(963,2407)
シーツ補正X lidar(3073,1756),43	G(1744,6340),N(1701,6345)	RS(972,2415)
シーツ補正X lidar(3073,1756),43	G(1744,6340),N(1701,6344)	RS(972,2415)
シーツ補正X lidar(3073,1756),43	G(1744,6340),N(1701,6344)	RS(980,2429)
シーツ補正X lidar(3074,1757),44	G(1746,6340),N(1702,6344)	RS(984,2438)
シーツ補正X lidar(3074,1757),44	G(1746,6340),N(1702,6345)	RS(984,2438)
シーツ補正X lidar(3074,1768),44	G(1746,6340),N(1702,6345)	RS(986,2442)
シーツ補正X lidar(3074,1768),44	G(1747,6340),N(1703,6345)	RS(986,2442)
シーツ補正X lidar(3077,1771),47	G(1751,6340),N(1704,6346)	RS(985,2438)
シーツ補正X lidar(3077,1771),47	G(1752,6340),N(1705,6346)	RS(985,2438)
シーツ補正X lidar(3077,1771),47	G(1753,6340),N(1706,6347)	RS(984,2437)
シーツ補正X lidar(3068,1778),38	G(1745,6340),N(1707,6348)	RS(982,2434)
シーツ補正X lidar(3068,1778),38	G(1747,6340),N(1709,6349)	RS(982,2434)
シーツ補正X lidar(3067,1783),37	G(1747,6340),N(1710,6350)	RS(983,2440)
シーツ補正X lidar(3067,1783),37	G(1749,6340),N(1712,6352)	RS(980,2434)
シーツ補正X lidar(3067,1783),37	G(1751,6340),N(1714,6354)	RS(980,2434)
シーツ補正X lidar(3065,1783),35	G(1753,6340),N(1718,6356)	RS(981,2438)
シーツ補正X lidar(3065,1783),35	G(1756,6340),N(1721,6357)	RS(977,2436)
シーツ補正X lidar(3051,1779),21	G(1745,6340),N(1724,6358)	RS(977,2436)
シーツ補正X lidar(3051,1779),21	G(1747,6340),N(1726,6359)	RS(974,2431)
シーツ補正X lidar(3051,1779),21	G(1748,6340),N(1727,6359)	RS(974,2431)
シーツ補正X lidar(3062,1778),32	G(1760,6340),N(1728,6359)	RS(966,2419)
シーツ補正X lidar(3062,1778),32	G(1761,6340),N(1729,6358)	RS(966,2421)
シーツ補正X lidar(3037,1769),7	G(1736,6340),N(1729,6358)	RS(966,2421)
シーツ補正X lidar(3037,1769),7	G(1736,6340),N(1729,6356)	RS(965,2421)
シーツ補正X lidar(3037,1769),7	G(1736,6340),N(1729,6356)	RS(961,2415)
シーツ補正X lidar(3047,1777),17	G(1747,6340),N(1730,6355)	RS(961,2415)
シーツ補正X lidar(3047,1777),17	G(1747,6340),N(1730,6354)	RS(961,2415)
シーツ補正X lidar(3046,1781),16	G(1747,6340),N(1731,6354)	RS(961,2415)
シーツ補正X lidar(3046,1781),16	G(1746,6340),N(1730,6354)	RS(960,2419)
シーツ補正X lidar(3046,1781),16	G(1748,6340),N(1732,6352)	RS(961,2421)
シーツ補正X lidar(3040,1784),10	G(1742,6340),N(1732,6352)	RS(961,2421)
シーツ補正X lidar(3040,1784),10	G(1743,6340),N(1733,6352)	RS(957,2413)
シーツ補正X lidar(3046,1773),16	G(1750,6340),N(1734,6352)	RS(958,2417)
シーツ補正X lidar(3046,1773),16	G(1751,6340),N(1735,6351)	RS(958,2417)
シーツ補正X lidar(3046,1773),16	G(1752,6340),N(1736,6350)	RS(958,2424)
シーツ補正X lidar(3041,1779),11	G(1750,6340),N(1739,6348)	RS(958,2424)
シーツ補正X lidar(3041,1779),11	G(1752,6340),N(1741,6346)	RS(956,2422)
シーツ補正X lidar(3044,1776),14	G(1757,6340),N(1743,6344)	RS(953,2426)
シーツ補正X lidar(3044,1776),14	G(1758,6340),N(1744,6344)	RS(953,2426)
シーツ補正Y lidar(3044,1776),396	G(1758,6740),N(1744,6344)	RS(953,2426)
シーツ補正X lidar(3044,1776),14	G(1761,6740),N(1747,6342)	RS(953,2435)
シーツ補正Y lidar(3044,1776),396	G(1761,6738),N(1747,6342)	RS(953,2435)
シーツ補正X lidar(3032,1772),2	G(1750,6738),N(1748,6341)	RS(952,2440)
シーツ補正Y lidar(3032,1772),392	G(1750,6733),N(1748,6341)	RS(952,2440)
シーツ補正X lidar(3032,1772),2	G(1753,6733),N(1751,6339)	RS(952,2440)
シーツ補正Y lidar(3032,1772),392	G(1753,6731),N(1751,6339)	RS(952,2440)
シーツ補正X lidar(3029,1769),-1	G(1753,6731),N(1754,6336)	RS(950,2447)
シーツ補正Y lidar(3029,1769),389	G(1753,6725),N(1754,6336)	RS(950,2447)
シーツ補正X lidar(3029,1769),-1	G(1756,6725),N(1757,6334)	RS(950,2447)
シーツ補正Y lidar(3029,1769),389	G(1756,6723),N(1757,6334)	RS(950,2447)
シーツ補正X lidar(3029,1769),-1	G(1757,6723),N(1758,6333)	RS(947,2451)
シーツ補正Y lidar(3029,1769),389	G(1757,6722),N(1758,6333)	RS(947,2451)
シーツ補正X lidar(3015,1768),-15	G(1745,6722),N(1760,6330)	RS(942,2453)
シーツ補正Y lidar(3015,1768),388	G(1745,6718),N(1760,6330)	RS(942,2453)
シーツ補正X lidar(3015,1768),-15	G(1746,6718),N(1761,6329)	RS(942,2453)
シーツ補正Y lidar(3015,1768),388	G(1746,6717),N(1761,6329)	RS(942,2453)
シーツ補正X lidar(3018,1774),-12	G(1749,6717),N(1761,6328)	RS(939,2461)
シーツ補正Y lidar(3018,1774),394	G(1749,6722),N(1761,6328)	RS(939,2461)
シーツ補正X lidar(3018,1774),-12	G(1750,6722),N(1762,6327)	RS(939,2461)
シーツ補正Y lidar(3018,1774),394	G(1750,6721),N(1762,6327)	RS(939,2461)
シーツ補正X lidar(3018,1774),-12	G(1750,6721),N(1762,6327)	RS(937,2468)
シーツ補正Y lidar(3018,1774),394	G(1750,6721),N(1762,6327)	RS(937,2468)
シーツ補正X lidar(3016,1775),-14	G(1749,6721),N(1763,6327)	RS(930,2462)
シーツ補正Y lidar(3016,1775),395	G(1749,6722),N(1763,6327)	RS(930,2462)
シーツ補正X lidar(3016,1775),-14	G(1749,6722),N(1763,6327)	RS(930,2462)
シーツ補正Y lidar(3016,1775),395	G(1749,6722),N(1763,6327)	RS(930,2462)
シーツ補正X lidar(3016,1787),-14	G(1749,6722),N(1763,6327)	RS(930,2472)
シーツ　RS無視 RS_Y:2472,315,6643 X:930	lidar_y:1787,407
シーツ補正X lidar(3016,1787),-14	G(1749,6740),N(1763,6327)	RS(930,2472)
シーツ　RS無視 RS_Y:2472,315,6643 X:930	lidar_y:1787,407
シーツ補正X lidar(3014,1786),-16	G(1748,6740),N(1764,6327)	RS(931,2478)
シーツ　RS無視 RS_Y:2478,321,6649 X:931	lidar_y:1786,406
シーツ補正X lidar(3014,1786),-16	G(1750,6740),N(1766,6328)	RS(931,2478)
シーツ　RS無視 RS_Y:2478,321,6649 X:931	lidar_y:1786,406
シーツ補正X lidar(3014,1786),-16	G(1751,6740),N(1767,6328)	RS(930,2479)
シーツ　RS無視 RS_Y:2479,322,6650 X:930	lidar_y:1786,406
シーツ補正X lidar(3018,1777),-12	G(1755,6740),N(1767,6328)	RS(930,2479)
シーツ補正Y lidar(3018,1777),397	G(1755,6725),N(1767,6328)	RS(930,2479)
シーツ補正X lidar(3018,1777),-12	G(1755,6725),N(1767,6328)	RS(929,2476)
シーツ補正Y lidar(3018,1777),397	G(1755,6725),N(1767,6328)	RS(929,2476)
シーツ補正X lidar(3017,1774),-13	G(1754,6725),N(1767,6328)	RS(929,2476)
シーツ補正Y lidar(3017,1774),394	G(1754,6722),N(1767,6328)	RS(929,2476)
シーツ補正X lidar(3017,1774),-13	G(1754,6722),N(1767,6328)	RS(929,2479)
シーツ補正Y lidar(3017,1774),394	G(1754,6722),N(1767,6328)	RS(929,2479)
シーツ補正X lidar(3017,1774),-13	G(1755,6722),N(1768,6328)	RS(928,2475)
シーツ補正Y lidar(3017,1774),394	G(1755,6722),N(1768,6328)	RS(928,2475)
シーツ補正X lidar(3002,1764),-28	G(1740,6722),N(1768,6328)	RS(928,2475)
シーツ補正Y lidar(3002,1764),384	G(1740,6712),N(1768,6328)	RS(928,2475)
シーツ補正X lidar(3002,1764),-28	G(1741,6712),N(1769,6329)	RS(926,2470)
シーツ補正Y lidar(3002,1764),384	G(1741,6713),N(1769,6329)	RS(926,2470)
シーツ補正X lidar(3003,1780),-27	G(1743,6713),N(1770,6331)	RS(926,2470)
シーツ　RS無視 RS_Y:2470,313,6643 X:926	lidar_y:1780,400
シーツ補正X lidar(3003,1780),-27	G(1744,6740),N(1771,6332)	RS(925,2469)
シーツ　RS無視 RS_Y:2469,312,6643 X:925	lidar_y:1780,400
シーツ補正X lidar(3003,1780),-27	G(1745,6740),N(1772,6335)	RS(925,2473)
シーツ　RS無視 RS_Y:2473,316,6650 X:925	lidar_y:1780,400
シーツ補正X lidar(3004,1772),-26	G(1746,6740),N(1772,6337)	RS(925,2473)
シーツ補正Y lidar(3004,1772),392	G(1746,6729),N(1772,6337)	RS(925,2473)
シーツ補正X lidar(3004,1772),-26	G(1745,6729),N(1771,6341)	RS(925,2476)
シーツ補正Y lidar(3004,1772),392	G(1745,6733),N(1771,6341)	RS(925,2476)
シーツ補正X lidar(2998,1764),-32	G(1739,6733),N(1771,6345)	RS(925,2476)
シーツ補正Y lidar(2998,1764),384	G(1739,6729),N(1771,6345)	RS(925,2476)
シーツ補正X 無視lidar(2998,1764),-32	G(1950,6729),N(1771,6350)	RS(921,2468)
