11月12日21時7分	赤 決勝
シーツ補正前 lidar(3336,2366) RS_Y:3009,X:1379	now(1645.620972,5734.509277,0.389904)	6
シーツ補正X lidar(3243,2374),183	G(1851,6440),N(1668,5731)	RS(1297,3006)
シーツ補正X lidar(3243,2374),183	G(1872,6440),N(1689,5728)	RS(1297,3006)
シーツ補正X RS_X:1201,251 Y:3002	G(1916,6440),N(1709,5724)	lidar(3173,2374)
シーツ補正X RS_X:1201,251 Y:3002	G(1916,6440),N(1739,5719)	lidar(3173,2374)
シーツ補正X RS_X:1145,195 Y:3016	G(1916,6440),N(1751,5718)	lidar(3132,2397)
シーツ補正X RS_X:1145,195 Y:3016	G(1916,6440),N(1760,5717)	lidar(3132,2397)
シーツ補正X RS_X:1100,150 Y:3049	G(1896,6440),N(1767,5717)	lidar(3119,2398)
シーツ補正X RS_X:1053,103 Y:3035	G(1868,6440),N(1775,5719)	lidar(3119,2398)
シーツ補正X RS_X:1053,103 Y:3035	G(1868,6440),N(1775,5722)	lidar(3119,2398)
シーツ補正X RS_X:1031,81 Y:3073	G(1849,6440),N(1775,5723)	lidar(3107,2407)
シーツ補正X RS_X:1031,81 Y:3073	G(1849,6440),N(1774,5729)	lidar(3107,2407)
シーツ補正X RS_X:1017,67 Y:3080	G(1835,6440),N(1774,5732)	lidar(3101,2420)
シーツ補正X RS_X:1017,67 Y:3080	G(1835,6440),N(1774,5737)	lidar(3101,2420)
シーツ補正X RS_X:1003,53 Y:3073	G(1822,6440),N(1775,5742)	lidar(3106,2399)
シーツ補正X RS_X:994,44 Y:3069	G(1817,6440),N(1779,5753)	lidar(3106,2399)
シーツ補正X RS_X:994,44 Y:3069	G(1817,6440),N(1782,5760)	lidar(3104,2370)
シーツ補正X RS_X:994,44 Y:3069	G(1817,6440),N(1786,5766)	lidar(3104,2370)
シーツ補正X RS_X:991,41 Y:3071	G(1827,6440),N(1790,5774)	lidar(3104,2370)
