11月19日16時50分	青 予選
バスタオル1補正X フェンス lidar(2020,2879),10	G(-1925,5340),N(-1935,5327,-0.125215)	RS(0,0)	wait:0	8
バスタオル1補正X フェンス lidar(2020,2879),10	G(-1924,5340),N(-1934,5327,-0.125215)	RS(0,0)	wait:0	8
バスタオル1補正X フェンス lidar(2020,2879),10	G(-1924,5340),N(-1934,5327,-0.121317)	RS(0,0)	wait:0	8
バスタオル1補正X フェンス lidar(2022,2881),12	G(-1921,5340),N(-1933,5328,-0.119324)	RS(0,0)	wait:0	8
バスタオル1補正X フェンス lidar(2022,2881),12	G(-1920,5340),N(-1932,5329,-0.119324)	RS(0,0)	wait:0	8
バスタオル1補正X フェンス lidar(2020,2878),10	G(-1921,5340),N(-1931,5330,-0.130073)	RS(0,0)	wait:0	8
バスタオル1補正X フェンス lidar(2020,2878),10	G(-1919,5340),N(-1929,5331,-0.125753)	RS(0,0)	wait:0	8
バスタオル1補正X フェンス lidar(2020,2886),10	G(-1919,5340),N(-1929,5332,-0.133235)	RS(0,0)	wait:0	8
バスタオル1補正X フェンス lidar(2020,2886),10	G(-1917,5340),N(-1927,5334,-0.124253)	RS(0,0)	wait:0	8
バスタオル1補正X フェンス lidar(2014,2879),4	G(-1923,5340),N(-1927,5334,-0.123791)	RS(0,0)	wait:0	8
バスタオル1補正X OK lidar(2014,2879),RS(0,0),50000	G(-1923,5270),N(-1927,5334,-0.123791)
バスタオル1補正X 無し lidar(2014,2879),4	G(-1923,5270),N(-1926,5335,-0.129588)	RS(0,0)	8
バスタオル1補正Y lidar(2014,2879),-71	G(-1923,5264),N(-1926,5335,-0.129588)	RS(0,0)
バスタオル1補正X 無し lidar(2014,2879),4	G(-1923,5264),N(-1925,5335,-0.124965)	RS(0,0)	8
バスタオル1補正Y lidar(2014,2879),-71	G(-1923,5264),N(-1925,5335,-0.124965)	RS(0,0)
バスタオル1補正X 無し lidar(2013,2870),4	G(-1923,5264),N(-1924,5337,-0.111546)	RS(0,0)	8
バスタオル1補正Y lidar(2013,2870),-80	G(-1923,5257),N(-1924,5337,-0.111546)	RS(0,0)
