11月20日17時13分	青 予選
展開 now(-417.574707,4414.514160,0.167206)	3
展開 now(-411.329071,4610.908691,0.151351)	3
展開 now(-406.857086,4732.169434,0.121326)	3
展開 now(-403.376312,4898.320801,0.246559)	3
展開 now(-406.052368,5095.616699,0.452596)	3
展開 now(-408.931183,5177.573242,0.497694)	4
展開 now(-419.899506,5316.208984,0.337897)	4
展開 now(-432.049896,5379.427734,0.213601)	4
展開 now(-468.001068,5478.221191,-0.113293)	4
展開 now(-508.973755,5534.457031,-0.219184)	4
展開 now(-581.390381,5598.592285,-0.162027)	4
展開 now(-623.708435,5624.894531,-0.160136)	4
展開 now(-720.187073,5670.413574,-0.229013)	4
展開 now(-773.401062,5691.520508,-0.249552)	4
展開 now(-893.576721,5724.151855,-0.213495)	4
展開 now(-992.016296,5741.325195,-0.174163)	5
展開 now(-1098.595703,5752.750977,-0.056550)	5
展開 now(-1212.676270,5756.591309,-0.046535)	5
展開 now(-1376.631592,5758.294434,-0.072687)	5
展開 now(-1457.675415,5758.135254,-0.159427)	5
展開 now(-1613.864746,5751.188965,-0.210903)	5
展開 now(-1718.324341,5742.933594,-0.337249)	5
展開 now(-1810.030640,5732.585449,-0.337707)	5
展開 now(-1883.349365,5720.845703,-0.335694)	5
展開 now(-1949.815552,5708.772949,-0.352311)	5
展開 now(-1969.161255,5705.459473,-0.313956)	6
展開 now(-1982.901611,5698.659668,-0.169021)	6
展開 now(-1982.588867,5698.970215,-0.174041)	6
展開 now(-1981.964478,5699.280273,-0.173055)	6
展開 now(-1981.026489,5700.212402,-0.190605)	6
展開 now(-1981.026489,5700.212402,-0.174898)	6
展開 now(-1981.959717,5700.838379,-0.165285)	6
展開 now(-1985.074219,5702.090820,-0.050652)	6
展開 now(-1990.687500,5705.513672,0.161132)	6
展開 now(-2000.359985,5708.284180,0.199317)	6
展開 now(-2009.714478,5709.819824,0.018647)	7
展開 now(-2018.133301,5709.852051,-0.531563)	7
展開 now(-2020.636597,5708.943359,-0.671192)	7
展開 now(-2022.216431,5707.090820,-0.611485)	7
展開 now(-2021.593140,5707.084473,-0.600774)	7
展開 now(-2021.593140,5707.084473,-0.600774)	7
展開 now(-2021.593140,5707.084473,-0.600774)	7
展開 now(-2021.593140,5707.084473,-0.600774)	7
展開 now(-2021.593140,5707.084473,-0.600774)	7
展開 now(-2021.593140,5707.084473,-0.600774)	7
展開 now(-2021.593140,5707.084473,-0.600774)	8
展開 now(-2021.593140,5707.084473,-0.600774)	8
展開 now(-2021.593140,5707.084473,-0.600774)	8
展開 now(-2021.593140,5707.084473,-0.600774)	8
展開 now(-2021.593140,5707.084473,-0.600774)	8
展開 now(-2021.593140,5707.084473,-0.600774)	8
展開 now(-2021.593140,5707.084473,-0.600774)	8
展開 now(-2021.593140,5707.084473,-0.600774)	8
展開 now(-2021.593140,5707.084473,-0.600774)	8
展開 now(-2021.593140,5707.084473,-0.600774)	8
展開 now(-2021.593140,5707.084473,-0.600774)	9
展開 now(-2021.593140,5707.084473,-0.600774)	9
展開 now(-2021.593140,5707.084473,-0.600774)	9
展開 now(-2021.593140,5707.084473,-0.600774)	9
展開 now(-2021.593140,5707.084473,-0.600774)	9
展開 now(-2021.593140,5707.084473,-0.600774)	9
展開 now(-2021.593140,5707.084473,-0.600774)	9
展開 now(-2021.593140,5707.084473,-0.600774)	9
展開 now(-2021.593140,5707.084473,-0.600774)	9
展開 now(-2021.593140,5707.084473,-0.600774)	9
展開 now(-2021.593140,5707.084473,-0.600774)	10
展開 now(-2021.593140,5707.084473,-0.600774)	10
展開 now(-2021.593140,5707.084473,-0.600774)	10
展開 now(-2021.593140,5707.084473,-0.600774)	10
展開 now(-2021.593140,5707.084473,-0.600774)	10
展開 now(-2021.593140,5707.084473,-0.600774)	10
展開 now(-2021.593140,5707.084473,-0.600774)	10
展開 now(-2021.593140,5707.084473,-0.600774)	10
展開 now(-2021.593140,5707.084473,-0.600774)	10
展開 now(-2021.593140,5707.084473,-0.600774)	10
展開 now(-2021.593140,5707.084473,-0.600774)	11
展開 now(-2021.593140,5707.084473,-0.600774)	11
展開 now(-2021.593140,5707.084473,-0.600774)	11
展開 now(-2021.593140,5707.084473,-0.600774)	11
展開 now(-2021.593140,5707.084473,-0.600774)	11
展開 now(-2021.593140,5707.084473,-0.600774)	11
展開 now(-2021.593140,5707.084473,-0.600774)	11
展開 now(-2021.593140,5707.084473,-0.600774)	11
展開 now(-2021.593140,5707.084473,-0.600774)	11
展開 now(-2021.593140,5707.084473,-0.600774)	11
展開 now(-2021.593140,5707.084473,-0.600774)	12
展開 now(-2021.593140,5707.084473,-0.600774)	12
展開 now(-2021.593140,5707.084473,-0.600774)	12
展開 now(-2021.593140,5707.084473,-0.600774)	12
展開 now(-2021.593140,5707.084473,-0.600774)	12
展開 now(-2021.593140,5707.084473,-0.600774)	12
展開 now(-2021.593140,5707.084473,-0.600774)	12
展開 now(-2021.593140,5707.084473,-0.600774)	12
展開 now(-2021.593140,5707.084473,-0.600774)	12
展開 now(-2021.593140,5707.084473,-0.600774)	12
展開 now(-2021.593140,5707.084473,-0.600774)	13
展開 now(-2021.593140,5707.084473,-0.600774)	13
展開 now(-2021.593140,5707.084473,-0.600774)	13
展開 now(-2021.593140,5707.084473,-0.600774)	13
展開 now(-2021.593140,5707.084473,-0.600774)	13
展開 now(-2021.593140,5707.084473,-0.600774)	13
展開 now(-2021.593140,5707.084473,-0.600774)	13
展開 now(-2021.593140,5707.084473,-0.600774)	13
展開 now(-2021.593140,5707.084473,-0.600774)	13
展開 now(-2021.593140,5707.084473,-0.600774)	13
展開 now(-2021.593140,5707.084473,-0.600774)	14
展開 now(-2021.593140,5707.084473,-0.600774)	14
展開 now(-2021.593140,5707.084473,-0.600774)	14
展開 now(-2021.593140,5707.084473,-0.600774)	14
展開 now(-2021.593140,5707.084473,-0.600774)	14
展開 now(-2021.593140,5707.084473,-0.600774)	14
展開 now(-2021.593140,5707.084473,-0.600774)	14
展開 now(-2021.593140,5707.084473,-0.600774)	14
展開 now(-2021.593140,5707.084473,-0.600774)	14
展開 now(-2021.593140,5707.084473,-0.600774)	14
展開 now(-2021.593140,5707.084473,-0.600774)	15
展開 now(-2021.586548,5707.708008,-0.600774)	15
展開 now(-2021.583252,5708.019531,-0.600775)	15
展開 now(-2021.583252,5708.019531,-0.600775)	15
展開 now(-2021.583252,5708.019531,-0.600775)	15
展開 now(-2021.583252,5708.019531,-0.600775)	15
展開 now(-2021.583252,5708.019531,-0.600775)	15
展開 now(-2021.583252,5708.019531,-0.600775)	15
展開 now(-2021.583252,5708.019531,-0.600775)	15
展開 now(-2021.579956,5708.331055,-0.600775)	15
展開 now(-2021.579956,5708.331055,-0.600775)	16
展開 now(-2021.579956,5708.331055,-0.600775)	16
展開 now(-2021.579956,5708.331055,-0.600775)	16
展開 now(-2021.579956,5708.331055,-0.600775)	16
展開 now(-2021.579956,5708.331055,-0.600775)	16
11月20日17時14分	青 予選
展開 now(-2021.573486,5708.954590,-0.600093)	0
展開 now(-2021.573486,5708.954590,-0.600093)	1
展開 now(-2021.573486,5708.954590,-0.600093)	1
展開 now(-2021.573486,5708.954590,-0.600093)	1
展開 now(-2021.573486,5708.954590,-0.600093)	1
展開 now(-2021.573486,5708.954590,-0.600093)	1
展開 now(-2021.573486,5708.954590,-0.600093)	1
展開 now(-2021.573486,5708.954590,-0.600093)	1
展開 now(-2021.573486,5708.954590,-0.600093)	1
展開 now(-2021.573486,5708.954590,-0.600093)	1
展開 now(-2021.573486,5708.954590,-0.600093)	1
展開 now(-2021.573486,5708.954590,-0.600093)	2
展開 now(-2021.573486,5708.954590,-0.600093)	2
展開 now(-2021.573486,5708.954590,-0.600093)	2
展開 now(-2021.573486,5708.954590,-0.600093)	2
展開 now(-2021.573486,5708.954590,-0.600093)	2
11月20日17時14分	青 予選
展開 now(-2021.560425,5710.201172,-0.600093)	0
展開 now(-2021.560425,5710.201172,-0.600093)	0
展開 now(-2021.560425,5710.201172,-0.600093)	0
展開 now(-2021.560425,5710.201172,-0.600093)	1
展開 now(-2021.560425,5710.201172,-0.600093)	1
展開 now(-2021.560425,5710.201172,-0.600093)	1
展開 now(-2021.560425,5710.201172,-0.600093)	1
展開 now(-2021.560425,5710.201172,-0.600093)	1
展開 now(-2021.560425,5710.201172,-0.600093)	1
展開 now(-2021.560425,5710.201172,-0.600093)	1
展開 now(-2021.560425,5710.201172,-0.600093)	1
展開 now(-2021.560425,5710.201172,-0.600093)	1
展開 now(-2021.560425,5710.201172,-0.600093)	1
