11月16日10時45分	青 予選
シーツ補正X lidar(3799,1763),19	G(-3636,6440),N(-3655,6428)	RS(0,0)
シーツ補正X lidar(3800,1774),20	G(-3635,6440),N(-3655,6429)	RS(0,0)
シーツ補正X lidar(3800,1774),20	G(-3634,6440),N(-3654,6429)	RS(0,0)
シーツ補正X lidar(3802,1771),22	G(-3632,6440),N(-3654,6429)	RS(0,0)
シーツ補正X lidar(3802,1771),22	G(-3632,6440),N(-3654,6429)	RS(0,0)
シーツ補正X lidar(3798,1771),18	G(-3635,6440),N(-3653,6430)	RS(0,0)
シーツ補正X lidar(3798,1771),18	G(-3635,6440),N(-3653,6430)	RS(0,0)
シーツ補正X lidar(3799,1774),19	G(-3634,6440),N(-3653,6431)	RS(0,0)
シーツ補正X lidar(3799,1774),19	G(-3632,6440),N(-3651,6431)	RS(0,0)
シーツ補正X lidar(3799,1774),19	G(-3630,6440),N(-3649,6433)	RS(0,0)
シーツ補正X lidar(3801,1770),21	G(-3627,6440),N(-3648,6434)	RS(0,0)
シーツ補正X lidar(3801,1770),21	G(-3626,6440),N(-3647,6436)	RS(0,0)
シーツ補正X lidar(3794,1765),14	G(-3631,6440),N(-3645,6438)	RS(0,0)
シーツ補正X lidar(3794,1765),14	G(-3626,6440),N(-3640,6441)	RS(0,0)
シーツ補正X lidar(3793,1764),13	G(-3625,6440),N(-3638,6443)	RS(0,0)
シーツ補正X lidar(3793,1764),13	G(-3622,6440),N(-3635,6444)	RS(0,0)
シーツ補正X lidar(3790,1756),10	G(-3620,6440),N(-3630,6446)	RS(0,0)
シーツ補正X lidar(3790,1756),10	G(-3618,6440),N(-3628,6446)	RS(0,0)
シーツ補正X lidar(3790,1756),10	G(-3616,6440),N(-3626,6447)	RS(0,0)
シーツ補正X lidar(3774,1756),-6	G(-3631,6440),N(-3625,6447)	RS(0,0)
シーツ補正X lidar(3774,1756),-6	G(-3629,6440),N(-3623,6447)	RS(0,0)
シーツ補正X lidar(3778,1756),-2	G(-3625,6440),N(-3623,6447)	RS(0,0)
シーツ補正X lidar(3778,1756),-2	G(-3625,6440),N(-3623,6447)	RS(0,0)
シーツ補正X lidar(3774,1754),-6	G(-3629,6440),N(-3623,6447)	RS(0,0)
シーツ補正X lidar(3774,1754),-6	G(-3629,6440),N(-3623,6447)	RS(0,0)
シーツ補正X lidar(3783,1743),3	G(-3620,6440),N(-3623,6447)	RS(0,0)
シーツ補正X lidar(3783,1743),3	G(-3620,6440),N(-3623,6447)	RS(0,0)
シーツ補正X lidar(3783,1743),3	G(-3620,6440),N(-3623,6447)	RS(0,0)
シーツ補正X lidar(3778,1743),-2	G(-3625,6440),N(-3623,6447)	RS(0,0)
シーツ補正X lidar(3778,1743),-2	G(-3625,6440),N(-3623,6447)	RS(0,0)
シーツ補正X lidar(3778,1746),-2	G(-3625,6440),N(-3623,6447)	RS(0,0)
シーツ補正X lidar(3778,1746),-2	G(-3625,6440),N(-3623,6447)	RS(0,0)
