11月16日10時31分	青 予選
11月16日10時31分	青 予選
バスタオル1補正前 lidar(1702,2511) RS_Y:0,X:0	now(-1684.116821,5673.932617,0.142614)	6
バスタオル1移動始め lidar(1702,2511) goal(-2020,5340,0.000000) now(-1684,5673,0.142614)
バスタオル1補正X 無し lidar(1702,2511),1312	G(-2020,5340),N(-1684,5673,0.142614)	RS(0,0)	6
バスタオル1補正X 無し lidar(1803,2507),1413	G(-2020,5340),N(-1718,5674,0.074223)	RS(0,0)	6
バスタオル1補正X 無し lidar(1803,2507),1413	G(-2020,5340),N(-1750,5675,0.032921)	RS(0,0)	6
バスタオル1補正X 無し lidar(1803,2507),1413	G(-2020,5340),N(-1782,5677,-0.006683)	RS(0,0)	6
バスタオル1補正X フェンス lidar(1889,2506),-121	G(-1960,5340),N(-1839,5680,-0.027913)	RS(0,0)	wait:8	6
バスタオル1補正X フェンス lidar(1889,2506),-121	G(-1986,5340),N(-1865,5682,-0.008381)	RS(0,0)	wait:8	6
バスタオル1補正X フェンス lidar(1969,2497),-41	G(-1929,5340),N(-1888,5683,-0.004700)	RS(0,0)	wait:8	6
バスタオル1補正X フェンス lidar(1969,2497),-41	G(-1950,5340),N(-1909,5684,0.015145)	RS(0,0)	wait:8	6
バスタオル1補正X フェンス lidar(2030,2487),20	G(-1922,5340),N(-1942,5685,-0.127082)	RS(0,0)	wait:8	6
バスタオル1補正X フェンス lidar(2030,2487),20	G(-1934,5340),N(-1954,5685,-0.251761)	RS(0,0)	wait:8	6
バスタオル1補正X フェンス lidar(2030,2487),20	G(-1941,5340),N(-1961,5684,-0.449025)	RS(0,0)	wait:8	6
バスタオル1補正X フェンス lidar(2069,2489),59	G(-1905,5340),N(-1964,5683,-0.704369)	RS(0,0)	wait:8	6
バスタオル1補正X フェンス lidar(2069,2489),59	G(-1901,5340),N(-1960,5677,-0.969146)	RS(0,0)	wait:8	6
バスタオル1補正X フェンス lidar(2082,2488),72	G(-1884,5340),N(-1956,5672,-0.900148)	RS(0,0)	wait:0	6
バスタオル1補正X フェンス lidar(2082,2488),72	G(-1879,5340),N(-1951,5667,-0.786310)	RS(0,0)	wait:0	6
バスタオル1補正X フェンス lidar(2077,2502),67	G(-1878,5340),N(-1945,5661,-0.620210)	RS(0,0)	wait:0	6
バスタオル1補正X フェンス lidar(2077,2502),67	G(-1862,5340),N(-1929,5646,-0.092330)	RS(0,0)	wait:0	7
バスタオル1補正X フェンス lidar(2060,2518),50	G(-1870,5340),N(-1920,5637,0.141822)	RS(0,0)	wait:0	7
バスタオル1補正X フェンス lidar(2060,2518),50	G(-1861,5340),N(-1911,5627,0.291099)	RS(0,0)	wait:0	7
バスタオル1補正X フェンス lidar(2060,2518),50	G(-1841,5340),N(-1891,5602,0.315297)	RS(0,0)	wait:0	7
バスタオル1補正X フェンス lidar(2031,2549),21	G(-1860,5340),N(-1881,5589,0.249611)	RS(0,0)	wait:0	7
バスタオル1補正X フェンス lidar(2031,2549),21	G(-1851,5340),N(-1872,5573,0.202560)	RS(0,0)	wait:0	7
バスタオル1補正X フェンス lidar(2007,2549),-3	G(-1867,5340),N(-1864,5557,0.139263)	RS(0,0)	wait:0	7
バスタオル1補正X フェンス lidar(2007,2549),-3	G(-1853,5340),N(-1850,5523,0.006168)	RS(0,0)	wait:0	7
バスタオル1補正X フェンス lidar(1981,2584),-29	G(-1873,5340),N(-1844,5504,-0.003015)	RS(0,0)	wait:0	7
バスタオル1補正X フェンス lidar(1981,2584),-29	G(-1869,5340),N(-1840,5486,0.021805)	RS(0,0)	wait:0	7
バスタオル1補正X フェンス lidar(1968,2633),-42	G(-1878,5340),N(-1836,5467,0.009042)	RS(0,0)	wait:0	7
バスタオル1補正X フェンス lidar(1968,2633),-42	G(-1872,5340),N(-1830,5428,-0.089463)	RS(0,0)	wait:0	7
バスタオル1補正X フェンス lidar(1968,2633),-42	G(-1871,5340),N(-1829,5409,-0.137888)	RS(0,0)	wait:0	7
バスタオル1補正X フェンス lidar(1956,2687),-54	G(-1883,5340),N(-1829,5392,-0.161469)	RS(0,0)	wait:0	7
バスタオル1補正X フェンス lidar(1956,2687),-54	G(-1883,5340),N(-1829,5375,-0.202917)	RS(0,0)	wait:0	7
バスタオル1補正X フェンス lidar(1969,2747),-41	G(-1874,5340),N(-1833,5346,-0.324180)	RS(0,0)	wait:0	7
バスタオル1補正X フェンス lidar(1969,2747),-41	G(-1877,5340),N(-1836,5333,-0.360690)	RS(0,0)	wait:0	7
バスタオル1補正X フェンス lidar(1970,2810),-40	G(-1880,5340),N(-1840,5322,-0.371453)	RS(0,0)	wait:0	7
バスタオル1補正X フェンス lidar(1970,2810),-40	G(-1890,5340),N(-1850,5305,-0.505277)	RS(0,0)	wait:0	7
バスタオル1補正X フェンス lidar(1981,2845),-29	G(-1884,5340),N(-1855,5300,-0.542491)	RS(0,0)	wait:0	7
バスタオル1補正X フェンス lidar(1981,2845),-29	G(-1890,5340),N(-1861,5296,-0.497865)	RS(0,0)	wait:0	7
バスタオル1補正X フェンス lidar(1981,2845),-29	G(-1894,5340),N(-1865,5293,-0.391061)	RS(0,0)	wait:0	7
バスタオル1補正X フェンス lidar(1998,2865),-12	G(-1885,5340),N(-1873,5295,-0.228791)	RS(0,0)	wait:0	7
バスタオル1補正X フェンス lidar(1998,2865),-12	G(-1888,5340),N(-1876,5298,-0.181159)	RS(0,0)	wait:0	7
バスタオル1補正X フェンス lidar(2012,2862),2	G(-1876,5340),N(-1878,5302,-0.111205)	RS(0,0)	wait:0	7
バスタオル1補正X フェンス lidar(2012,2862),2	G(-1879,5340),N(-1881,5305,-0.067027)	RS(0,0)	wait:0	8
