11月7日20時49分	赤 決勝
11月7日20時49分	赤 決勝
シーツ補正前 lidar(3304,2488) RS_Y:0,X:0	now(1606.760864,5695.596191,0.162759)	6
シーツ補正X lidar(3304,2488),244	G(1870,6340),N(1626,5692)	RS(0,0)
シーツ補正X lidar(3250,2497),190	G(1832,6340),N(1642,5690)	RS(0,0)
シーツ補正X lidar(3250,2497),190	G(1848,6340),N(1658,5689)	RS(0,0)
シーツ補正X lidar(3250,2497),190	G(1869,6340),N(1679,5689)	RS(0,0)
シーツ補正X lidar(3198,2498),138	G(1822,6340),N(1684,5690)	RS(0,0)
シーツ補正X lidar(3198,2498),138	G(1823,6340),N(1685,5692)	RS(0,0)
シーツ補正X lidar(3181,2498),121	G(1805,6340),N(1684,5694)	RS(0,0)
シーツ補正X lidar(3181,2498),121	G(1801,6340),N(1680,5698)	RS(0,0)
シーツ補正X lidar(3182,2487),122	G(1800,6340),N(1678,5701)	RS(0,0)
シーツ補正X lidar(3182,2487),122	G(1796,6340),N(1674,5704)	RS(0,0)
シーツ補正X lidar(3195,2476),135	G(1807,6340),N(1672,5707)	RS(0,0)
シーツ補正X lidar(3195,2476),135	G(1801,6340),N(1666,5715)	RS(0,0)
シーツ補正X lidar(3195,2476),135	G(1799,6340),N(1664,5721)	RS(0,0)
シーツ補正X lidar(3202,2476),142	G(1806,6340),N(1664,5726)	RS(0,0)
シーツ補正X lidar(3202,2476),142	G(1807,6340),N(1665,5738)	RS(0,0)
シーツ補正X 無視lidar(3213,2464),153	G(1730,6340),N(1667,5745)	RS(0,0)
シーツ補正X 無視lidar(3213,2464),153	G(1730,6340),N(1671,5752)	RS(0,0)
シーツ補正X 無視lidar(3213,2446),153	G(1730,6340),N(1675,5761)	RS(0,0)
シーツ補正X 無視lidar(3213,2446),153	G(1730,6340),N(1685,5780)	RS(0,0)
シーツ補正X 無視lidar(3201,2420),141	G(1730,6340),N(1691,5791)	RS(0,0)
シーツ補正X 無視lidar(3201,2420),141	G(1730,6340),N(1696,5803)	RS(0,0)
シーツ補正X 無視lidar(3201,2420),141	G(1730,6340),N(1702,5815)	RS(0,0)
シーツ補正X 無視lidar(3187,2383),127	G(1730,6340),N(1715,5844)	RS(0,0)
シーツ補正X 無視lidar(3187,2383),127	G(1730,6340),N(1722,5861)	RS(0,0)
シーツ補正X 無視lidar(3165,2342),105	G(1730,6340),N(1729,5879)	RS(0,0)
シーツ補正X 無視lidar(3165,2342),105	G(1730,6340),N(1735,5898)	RS(0,0)
シーツ補正X 無視lidar(3141,2285),81	G(1730,6340),N(1746,5940)	RS(0,0)
シーツ補正X 無視lidar(3141,2285),81	G(1730,6340),N(1750,5962)	RS(0,0)
シーツ補正X 無視lidar(3129,2217),69	G(1730,6340),N(1753,5985)	RS(0,0)
シーツ補正X 無視lidar(3129,2217),69	G(1730,6340),N(1758,6034)	RS(0,0)
シーツ補正X lidar(3129,2217),69	G(1829,6340),N(1760,6059)	RS(0,0)
シーツ補正X lidar(3110,2144),50	G(1811,6340),N(1761,6084)	RS(0,0)
シーツ補正X lidar(3110,2144),50	G(1811,6340),N(1761,6109)	RS(0,0)
シーツ補正X lidar(3105,2065),45	G(1806,6340),N(1761,6158)	RS(0,0)
