11月3日16時31分	青 決勝
11月3日16時31分	青 決勝
バスタオル1補正X フェンス lidar(2114,2828),-16	G(-2068,5340),N(-2052,5324,0.329309)	RS(-50000,-50000)	8
バスタオル1補正X フェンス lidar(2114,2828),-16	G(-2068,5340),N(-2052,5324,0.329309)	RS(-50000,-50000)	8
バスタオル1補正X フェンス lidar(2114,2828),-16	G(-2068,5340),N(-2052,5324,0.329309)	RS(-50000,-50000)	8
バスタオル1補正X フェンス lidar(2110,2820),-20	G(-2072,5340),N(-2052,5324,0.321266)	RS(-50000,-50000)	8
バスタオル1補正X フェンス lidar(2110,2820),-20	G(-2073,5340),N(-2053,5325,0.294753)	RS(-50000,-50000)	8
バスタオル1補正X フェンス lidar(2103,2829),-27	G(-2081,5340),N(-2054,5325,0.221417)	RS(-50000,-50000)	8
バスタオル1補正X フェンス lidar(2103,2829),-27	G(-2082,5340),N(-2055,5325,0.124759)	RS(-50000,-50000)	8
バスタオル1補正X フェンス lidar(2113,2829),-17	G(-2074,5340),N(-2057,5326,-0.008909)	RS(-50000,-50000)	8
バスタオル1補正X フェンス lidar(2113,2829),-17	G(-2077,5340),N(-2060,5327,-0.250898)	RS(-50000,-50000)	8
バスタオル1補正X フェンス lidar(2124,2820),-6	G(-2068,5340),N(-2062,5329,-0.363718)	RS(-50000,-50000)	8
バスタオル1補正X フェンス lidar(2124,2820),-6	G(-2070,5340),N(-2064,5330,-0.453726)	RS(-50000,-50000)	8
バスタオル1補正X フェンス lidar(2124,2820),-6	G(-2072,5340),N(-2066,5332,-0.523788)	RS(-50000,-50000)	8
バスタオル1補正X フェンス lidar(2136,2812),6	G(-2065,5340),N(-2071,5337,-0.520797)	RS(-50000,-50000)	8
バスタオル1補正X フェンス lidar(2136,2812),6	G(-2067,5340),N(-2073,5338,-0.526934)	RS(-50000,-50000)	8
バスタオル1補正X フェンス lidar(2136,2810),6	G(-2068,5340),N(-2074,5340,-0.536209)	RS(-50000,-50000)	8
バスタオル1補正X フェンス lidar(2136,2810),6	G(-2068,5340),N(-2074,5340,-0.536209)	RS(-50000,-50000)	8
バスタオル1補正X フェンス lidar(2141,2804),11	G(-2063,5340),N(-2074,5340,-0.536209)	RS(-50000,-50000)	9
バスタオル1補正X フェンス lidar(2141,2804),11	G(-2063,5340),N(-2074,5340,-0.536209)	RS(-50000,-50000)	9
バスタオル1補正X フェンス lidar(2141,2804),11	G(-2063,5340),N(-2074,5340,-0.536209)	RS(-50000,-50000)	9
