11月20日17時10分	青 予選
展開 now(-2024.857178,5703.276367,-0.455561)	15
展開 now(-2024.857178,5703.276367,-0.455561)	15
展開 now(-2024.857178,5703.276367,-0.455561)	15
11月20日17時12分	青 予選
展開 now(-416.762115,4451.377441,0.164966)	4
展開 now(-406.286469,4705.748535,0.068713)	4
展開 now(-404.359375,4820.460449,0.199834)	4
展開 now(-401.127625,5028.693848,0.256072)	4
展開 now(-400.709167,5118.468262,0.375779)	4
展開 now(-406.309875,5269.615234,0.316848)	4
展開 now(-417.098236,5368.061523,0.254034)	5
展開 now(-446.972046,5470.547363,-0.012276)	5
展開 now(-469.030609,5510.798828,-0.188209)	5
展開 now(-527.296875,5577.493164,-0.318166)	5
展開 now(-563.309937,5604.803223,-0.298238)	5
展開 now(-645.976135,5653.229980,-0.296890)	5
展開 now(-718.432861,5683.565918,-0.352634)	5
展開 now(-828.873230,5715.799316,-0.415989)	5
展開 now(-890.517944,5726.511230,-0.360231)	5
展開 now(-1023.523865,5744.032227,-0.241029)	5
展開 now(-1095.515259,5747.998535,-0.136067)	6
展開 now(-1251.988403,5749.424316,-0.021026)	6
展開 now(-1373.866577,5747.320801,-0.058986)	6
展開 now(-1534.402710,5743.904785,-0.217253)	6
展開 now(-1611.102173,5739.567871,-0.256262)	6
展開 now(-1746.745361,5728.325195,-0.306265)	6
展開 now(-1806.632690,5721.171875,-0.296425)	6
展開 now(-1902.076538,5709.834961,-0.387377)	6
展開 now(-1947.651489,5702.109375,-0.548841)	6
展開 now(-1970.145508,5696.707520,-0.526340)	6
展開 now(-1973.909424,5693.934570,-0.449629)	7
展開 now(-1972.660278,5694.236816,-0.438157)	7
展開 now(-1972.343872,5694.857910,-0.421361)	7
展開 now(-1972.337524,5695.792969,-0.365050)	7
展開 now(-1973.265259,5697.354980,-0.137084)	7
展開 now(-1978.257446,5700.150879,0.274361)	7
展開 now(-1987.637451,5703.181641,0.766522)	7
展開 now(-2003.278076,5707.016113,0.628048)	7
展開 now(-2010.770020,5708.207520,0.166664)	7
展開 now(-2020.125488,5707.934570,-0.646022)	7
展開 now(-2020.752808,5707.629883,-0.673576)	8
展開 now(-2020.752808,5707.629883,-0.670854)	8
展開 now(-2020.752808,5707.629883,-0.670854)	8
展開 now(-2020.752808,5707.629883,-0.670854)	8
展開 now(-2020.752808,5707.629883,-0.670854)	8
展開 now(-2020.752808,5707.629883,-0.670854)	8
展開 now(-2020.752808,5707.629883,-0.670854)	8
展開 now(-2020.752808,5707.629883,-0.670854)	8
展開 now(-2020.752808,5707.629883,-0.670854)	8
展開 now(-2020.752808,5707.629883,-0.670854)	8
展開 now(-2020.752808,5707.629883,-0.670854)	9
展開 now(-2020.752808,5707.629883,-0.670854)	9
展開 now(-2020.752808,5707.629883,-0.670854)	9
展開 now(-2020.752808,5707.629883,-0.670854)	9
展開 now(-2020.752808,5707.629883,-0.670854)	9
展開 now(-2020.752808,5707.629883,-0.670854)	9
展開 now(-2020.752808,5707.629883,-0.670854)	9
展開 now(-2020.752808,5707.629883,-0.670854)	9
展開 now(-2020.752808,5707.629883,-0.670854)	9
展開 now(-2020.752808,5707.629883,-0.670854)	9
展開 now(-2020.752808,5707.629883,-0.670854)	10
展開 now(-2020.752808,5707.629883,-0.670854)	10
展開 now(-2020.752808,5707.629883,-0.670854)	10
展開 now(-2020.752808,5707.629883,-0.670854)	10
展開 now(-2020.752808,5707.629883,-0.670854)	10
展開 now(-2020.752808,5707.629883,-0.670854)	10
展開 now(-2020.752808,5707.629883,-0.670854)	10
展開 now(-2020.752808,5707.629883,-0.670854)	10
展開 now(-2020.752808,5707.629883,-0.670854)	10
展開 now(-2020.752808,5707.629883,-0.670854)	10
展開 now(-2020.752808,5707.629883,-0.670854)	11
展開 now(-2020.752808,5707.629883,-0.670854)	11
展開 now(-2020.752808,5707.629883,-0.670854)	11
展開 now(-2020.752808,5707.629883,-0.670854)	11
展開 now(-2020.752808,5707.629883,-0.670854)	11
展開 now(-2020.752808,5707.629883,-0.670854)	11
展開 now(-2020.752808,5707.629883,-0.670854)	11
展開 now(-2020.752808,5707.629883,-0.670854)	11
展開 now(-2020.752808,5707.629883,-0.670854)	11
展開 now(-2020.752808,5707.629883,-0.670854)	11
展開 now(-2020.752808,5707.629883,-0.670854)	12
展開 now(-2020.752808,5707.629883,-0.670854)	12
展開 now(-2020.752808,5707.629883,-0.670854)	12
展開 now(-2020.752808,5707.629883,-0.670854)	12
展開 now(-2020.752808,5707.629883,-0.670854)	12
展開 now(-2020.752808,5707.629883,-0.670854)	12
展開 now(-2020.752808,5707.629883,-0.670854)	12
展開 now(-2020.752808,5707.629883,-0.670854)	12
展開 now(-2020.752808,5707.629883,-0.670854)	12
展開 now(-2020.752808,5707.629883,-0.670854)	12
展開 now(-2020.752808,5707.629883,-0.670854)	13
展開 now(-2020.752808,5707.629883,-0.670854)	13
展開 now(-2020.752808,5707.629883,-0.670854)	13
展開 now(-2020.752808,5707.629883,-0.670854)	13
展開 now(-2020.752808,5707.629883,-0.670854)	13
展開 now(-2020.752808,5707.629883,-0.670854)	13
展開 now(-2020.752808,5707.629883,-0.670854)	13
展開 now(-2020.752808,5707.629883,-0.670854)	13
展開 now(-2020.752808,5707.629883,-0.670854)	13
展開 now(-2020.752808,5707.629883,-0.670854)	13
展開 now(-2020.752808,5707.629883,-0.670854)	14
展開 now(-2020.752808,5707.629883,-0.670854)	14
展開 now(-2020.752808,5707.629883,-0.670854)	14
展開 now(-2020.752808,5707.629883,-0.670854)	14
展開 now(-2020.752808,5707.629883,-0.670854)	14
展開 now(-2020.752808,5707.629883,-0.670854)	14
展開 now(-2020.752808,5707.629883,-0.670854)	14
展開 now(-2020.752808,5707.629883,-0.670854)	14
展開 now(-2020.752808,5707.629883,-0.670854)	14
展開 now(-2020.752808,5707.629883,-0.670854)	14
展開 now(-2020.752808,5707.629883,-0.670854)	15
展開 now(-2020.752808,5707.629883,-0.670854)	15
展開 now(-2020.752808,5707.629883,-0.670854)	15
展開 now(-2020.752808,5707.629883,-0.670854)	15
展開 now(-2020.752808,5707.629883,-0.670854)	15
展開 now(-2020.752808,5707.629883,-0.670854)	15
展開 now(-2020.752808,5707.629883,-0.670854)	15
展開 now(-2020.752808,5707.629883,-0.670854)	15
展開 now(-2020.752808,5707.629883,-0.670854)	15
展開 now(-2020.756470,5707.318359,-0.670854)	15
展開 now(-2020.756470,5707.318359,-0.670854)	16
展開 now(-2020.756470,5707.318359,-0.670854)	16
展開 now(-2020.756470,5707.318359,-0.670854)	16
展開 now(-2020.756470,5707.318359,-0.670854)	16
展開 now(-2020.756470,5707.318359,-0.670854)	16
展開 now(-2020.756470,5707.318359,-0.670854)	16
展開 now(-2020.756470,5707.318359,-0.670854)	16
展開 now(-2020.756470,5707.318359,-0.670854)	16
展開 now(-2020.756470,5707.318359,-0.670854)	16
展開 now(-2020.756470,5707.318359,-0.670854)	16
展開 now(-2020.756470,5707.318359,-0.670854)	17
展開 now(-2020.756470,5707.318359,-0.670854)	17
展開 now(-2020.756470,5707.318359,-0.670854)	17
展開 now(-2020.756470,5707.318359,-0.670854)	17
展開 now(-2020.756470,5707.318359,-0.670854)	17
展開 now(-2020.756470,5707.318359,-0.670854)	17
展開 now(-2020.756470,5707.318359,-0.670854)	17
展開 now(-2020.756470,5707.318359,-0.670854)	17
展開 now(-2020.756470,5707.318359,-0.670854)	17
展開 now(-2020.756470,5707.318359,-0.670854)	17
展開 now(-2020.756470,5707.318359,-0.670854)	18
展開 now(-2020.756470,5707.318359,-0.670854)	18
展開 now(-2020.756470,5707.318359,-0.670854)	18
展開 now(-2020.760132,5707.006348,-0.670854)	18
