11月7日21時15分	赤 決勝
11月7日21時15分	赤 決勝
シーツ補正前 lidar(3325,1971) RS_Y:0,X:0	now(1600.094482,5729.375000,0.325300)	6
シーツ補正X lidar(3254,2472),194	G(1834,6440),N(1640,5723)	RS(0,0)
シーツ補正X lidar(3254,2472),194	G(1852,6440),N(1658,5721)	RS(0,0)
シーツ補正X lidar(3193,2473),133	G(1807,6440),N(1674,5719)	RS(0,0)
シーツ補正X lidar(3193,2473),133	G(1821,6440),N(1688,5717)	RS(0,0)
シーツ補正X lidar(3149,2474),89	G(1791,6440),N(1702,5716)	RS(0,0)
シーツ補正X 無視lidar(3149,2474),89	G(1730,6440),N(1703,5716)	RS(0,0)
シーツ補正X 無視lidar(3146,2478),86	G(1730,6440),N(1703,5716)	RS(0,0)
シーツ補正X 無視lidar(3146,2478),86	G(1730,6440),N(1701,5715)	RS(0,0)
シーツ補正X 無視lidar(3146,2478),86	G(1730,6440),N(1697,5715)	RS(0,0)
シーツ補正X 無視lidar(3153,2478),93	G(1730,6440),N(1695,5717)	RS(0,0)
シーツ補正X 無視lidar(3153,2478),93	G(1730,6440),N(1692,5719)	RS(0,0)
シーツ補正X 無視lidar(3161,2471),101	G(1730,6440),N(1688,5725)	RS(0,0)
シーツ補正X 無視lidar(3161,2471),101	G(1730,6440),N(1685,5730)	RS(0,0)
シーツ補正X lidar(3176,2457),116	G(1799,6440),N(1683,5735)	RS(0,0)
シーツ補正X lidar(3176,2457),116	G(1797,6440),N(1681,5740)	RS(0,0)
シーツ補正X lidar(3185,2436),125	G(1804,6440),N(1679,5753)	RS(0,0)
シーツ補正X lidar(3185,2436),125	G(1804,6440),N(1679,5761)	RS(0,0)
シーツ補正X lidar(3185,2436),125	G(1804,6440),N(1679,5770)	RS(0,0)
シーツ補正X lidar(3183,2415),123	G(1803,6440),N(1680,5779)	RS(0,0)
シーツ補正X 無視lidar(3183,2415),123	G(1730,6440),N(1684,5801)	RS(0,0)
シーツ補正X 無視lidar(3180,2415),120	G(1730,6440),N(1689,5814)	RS(0,0)
シーツ補正X 無視lidar(3180,2415),120	G(1730,6440),N(1694,5827)	RS(0,0)
シーツ補正X 無視lidar(3179,2381),119	G(1730,6440),N(1701,5841)	RS(0,0)
シーツ補正X 無視lidar(3179,2381),119	G(1730,6440),N(1716,5871)	RS(0,0)
シーツ補正X 無視lidar(3157,2333),97	G(1730,6440),N(1723,5889)	RS(0,0)
シーツ補正X 無視lidar(3157,2333),97	G(1730,6440),N(1730,5907)	RS(0,0)
シーツ補正X 無視lidar(3157,2333),97	G(1730,6440),N(1736,5926)	RS(0,0)
シーツ補正X 無視lidar(3135,2284),75	G(1730,6440),N(1748,5968)	RS(0,0)
シーツ補正X 無視lidar(3135,2284),75	G(1730,6440),N(1752,5990)	RS(0,0)
シーツ補正X 無視lidar(3118,2222),58	G(1730,6440),N(1756,6012)	RS(0,0)
シーツ補正X lidar(3118,2222),58	G(1821,6440),N(1763,6061)	RS(0,0)
シーツ補正X lidar(3099,2151),39	G(1804,6440),N(1765,6086)	RS(0,0)
シーツ補正X lidar(3099,2151),39	G(1806,6440),N(1767,6112)	RS(0,0)
シーツ補正X lidar(3085,2077),25	G(1793,6440),N(1768,6139)	RS(0,0)
シーツ補正X lidar(3085,2077),25	G(1793,6440),N(1768,6192)	RS(0,0)
シーツ補正X lidar(3085,2077),25	G(1793,6440),N(1768,6217)	RS(0,0)
シーツ補正X lidar(3087,1993),27	G(1795,6440),N(1768,6242)	RS(0,0)
シーツ補正X lidar(3087,1993),27	G(1794,6440),N(1767,6265)	RS(0,0)
シーツ補正X lidar(3087,1917),27	G(1795,6440),N(1768,6308)	RS(0,0)
シーツ補正X lidar(3087,1917),27	G(1796,6440),N(1769,6328)	RS(0,0)
シーツ補正X lidar(3095,1857),35	G(1804,6440),N(1769,6346)	RS(0,0)
シーツ補正X lidar(3095,1857),35	G(1807,6440),N(1772,6379)	RS(0,0)
シーツ補正X lidar(3088,1857),28	G(1801,6440),N(1773,6391)	RS(0,0)
展開２ lidar(3088,1857) now(1775.020874,6402.474609,0.066515)	RS(0,0)	8
シーツ補正X lidar(3088,1857),28	G(1803,6440),N(1775,6402)	RS(0,0)
シーツ補正X lidar(3088,1857),28	G(1804,6440),N(1776,6411)	RS(0,0)
シーツ補正X lidar(3085,1799),25	G(1806,6440),N(1781,6423)	RS(0,0)
シーツ補正X lidar(3085,1799),25	G(1808,6440),N(1783,6426)	RS(0,0)
シーツ補正X lidar(3073,1763),13	G(1798,6440),N(1785,6428)	RS(0,0)
シーツ補正X lidar(3073,1763),13	G(1801,6440),N(1788,6430)	RS(0,0)
シーツ補正X lidar(3069,1751),9	G(1798,6440),N(1789,6430)	RS(0,0)
シーツ補正X lidar(3069,1751),9	G(1798,6440),N(1789,6430)	RS(0,0)
シーツ補正X lidar(3067,1752),7	G(1796,6440),N(1789,6429)	RS(0,0)
シーツ補正X lidar(3067,1752),7	G(1796,6440),N(1789,6428)	RS(0,0)
シーツ補正X lidar(3067,1752),7	G(1797,6440),N(1790,6428)	RS(0,0)
シーツ補正X lidar(3065,1751),5	G(1795,6440),N(1790,6429)	RS(0,0)
シーツ補正X lidar(3065,1751),5	G(1795,6440),N(1790,6429)	RS(0,0)
シーツ補正X lidar(3064,1754),4	G(1794,6440),N(1790,6429)	RS(0,0)
シーツ補正X lidar(3064,1754),4	G(1794,6440),N(1790,6429)	RS(0,0)
シーツ補正X lidar(3071,1749),11	G(1800,6440),N(1789,6429)	RS(0,0)
シーツ補正X lidar(3071,1749),11	G(1800,6440),N(1789,6429)	RS(0,0)
シーツ補正X lidar(3065,1750),5	G(1794,6440),N(1789,6429)	RS(0,0)
シーツ補正X lidar(3065,1750),5	G(1794,6440),N(1789,6429)	RS(0,0)
シーツ補正X lidar(3065,1750),5	G(1794,6440),N(1789,6429)	RS(0,0)
シーツ補正X lidar(3061,1751),1	G(1790,6440),N(1789,6429)	RS(0,0)
シーツ補正X lidar(3061,1751),1	G(1790,6440),N(1789,6429)	RS(0,0)
シーツ補正X lidar(3064,1751),4	G(1793,6440),N(1789,6429)	RS(0,0)
シーツ補正X lidar(3064,1751),4	G(1793,6440),N(1789,6429)	RS(0,0)
シーツ補正X lidar(3066,1750),6	G(1795,6440),N(1789,6429)	RS(0,0)
シーツ補正X lidar(3066,1750),6	G(1795,6440),N(1789,6429)	RS(0,0)
シーツ補正X lidar(3060,1746),0	G(1789,6440),N(1789,6429)	RS(0,0)
シーツ補正X lidar(3060,1746),0	G(1790,6440),N(1790,6429)	RS(0,0)
シーツ補正X lidar(3060,1746),0	G(1790,6440),N(1790,6430)	RS(0,0)
シーツ補正X lidar(3061,1743),1	G(1792,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3061,1743),1	G(1792,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3062,1753),2	G(1793,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3062,1753),2	G(1793,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3059,1740),-1	G(1790,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3059,1740),-1	G(1790,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3057,1741),-3	G(1788,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3057,1741),-3	G(1788,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3057,1741),-3	G(1788,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3066,1741),6	G(1797,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3066,1741),6	G(1797,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3066,1740),6	G(1797,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3066,1740),6	G(1797,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3064,1742),4	G(1795,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3064,1742),4	G(1795,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3065,1742),5	G(1796,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3065,1742),5	G(1796,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3065,1742),5	G(1796,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3063,1747),3	G(1794,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3063,1747),3	G(1794,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3063,1752),3	G(1794,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3063,1752),3	G(1794,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3069,1750),9	G(1800,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3069,1750),9	G(1800,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3060,1751),0	G(1791,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3060,1751),0	G(1791,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3060,1751),0	G(1791,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3060,1750),0	G(1791,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3060,1750),0	G(1791,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3064,1747),4	G(1795,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3064,1747),4	G(1795,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3063,1750),3	G(1794,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3063,1750),3	G(1794,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3062,1748),2	G(1793,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3062,1748),2	G(1793,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3062,1748),2	G(1793,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3060,1751),0	G(1791,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3060,1751),0	G(1791,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3058,1751),-2	G(1789,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3058,1751),-2	G(1789,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3067,1753),7	G(1798,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3067,1753),7	G(1798,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3063,1750),3	G(1794,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3063,1750),3	G(1794,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3063,1750),3	G(1794,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3061,1750),1	G(1792,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3061,1750),1	G(1792,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3055,1751),-5	G(1786,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3055,1751),-5	G(1786,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3063,1751),3	G(1794,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3063,1751),3	G(1794,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3061,1750),1	G(1792,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3061,1750),1	G(1792,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3061,1750),1	G(1792,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3055,1753),-5	G(1786,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3055,1753),-5	G(1786,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3068,1756),8	G(1799,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3068,1756),8	G(1799,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3064,1773),4	G(1795,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3064,1773),4	G(1795,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3060,1773),0	G(1791,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3060,1773),0	G(1791,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3060,1773),0	G(1791,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3067,1768),7	G(1798,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3067,1768),7	G(1798,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3063,1767),3	G(1794,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3063,1767),3	G(1794,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3067,1760),7	G(1798,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3067,1760),7	G(1798,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3064,1762),4	G(1795,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3064,1762),4	G(1795,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3064,1762),4	G(1795,6440),N(1791,6430)	RS(0,0)
シーツ補正X lidar(3070,1759),10	G(1802,6440),N(1792,6430)	RS(0,0)
シーツ補正Y lidar(3070,1759),329	G(1802,6759),N(1792,6430)	RS(0,0)
シーツ補正X lidar(3070,1759),10	G(1802,6759),N(1792,6430)	RS(0,0)
